organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
golgi,1,139.0,28,2.0,2.0,11,4,8,13,5,9
golgi,1,139.0,220,6.0,8.0,13,3,7,15,5,9
golgi,1,139.0,314,15.0,45.0,14,1,6,19,4,9
golgi,1,139.0,611,5.0,6.0,17,7,9,20,8,11
golgi,5,182.0,315,1.0,1.0,15,3,10,16,4,11
golgi,5,182.0,412,24.0,63.0,13,8,1,20,11,4
golgi,5,182.0,500,3.0,4.0,17,2,10,19,3,12
golgi,5,182.0,610,2.0,2.0,18,2,10,20,3,11
golgi,5,182.0,803,4.0,6.0,19,1,10,22,2,12
golgi,6,296.0,221,1.0,1.0,14,5,4,15,6,5
golgi,6,296.0,224,14.0,24.0,12,12,5,18,14,7
golgi,6,296.0,414,2.0,2.0,16,12,6,17,14,7
golgi,6,296.0,504,3.0,4.0,17,13,5,18,15,7
golgi,6,296.0,896,2.0,2.0,20,13,15,22,14,16
golgi,6,296.0,1055,2.0,2.0,23,1,16,24,3,17
golgi,6,296.0,1057,42.0,112.0,21,12,7,28,16,11
golgi,7,168.0,502,3.0,4.0,16,7,7,18,9,8
golgi,7,168.0,1056,8.0,24.0,22,0,4,26,2,7
golgi,7,168.0,1191,2.0,2.0,25,1,4,27,2,5
golgi,7,168.0,1192,1.0,1.0,25,2,3,26,3,4
golgi,8,58.0,720,4.0,8.0,19,1,5,21,3,7
golgi,8,58.0,804,3.0,4.0,19,1,5,21,3,6
golgi,9,114.0,222,1.0,1.0,14,4,4,15,5,5
golgi,9,114.0,223,11.0,24.0,12,5,4,16,8,6
golgi,9,114.0,316,13.0,48.0,12,5,4,18,9,6
golgi,9,114.0,501,3.0,3.0,15,4,4,18,5,5
golgi,9,114.0,1133,5.0,5.0,23,8,3,28,9,4
golgi,10,150.0,68,3.0,4.0,12,8,5,14,9,7
golgi,10,150.0,69,6.0,8.0,11,8,9,15,9,11
golgi,10,150.0,614,5.0,8.0,17,8,6,21,10,7
golgi,10,150.0,898,3.0,4.0,20,8,6,22,10,7
golgi,11,182.0,722,4.0,6.0,19,8,12,22,9,14
golgi,11,182.0,1060,1.0,1.0,23,9,12,24,10,13
golgi,11,182.0,1363,2.0,2.0,28,6,7,29,7,9
golgi,12,63.0,503,1.0,1.0,17,2,2,18,3,3
golgi,12,63.0,1255,1.0,1.0,26,5,0,27,6,1
golgi,12,63.0,1307,2.0,2.0,27,4,0,28,6,1
golgi,13,72.0,721,1.0,1.0,19,2,7,20,3,8
golgi,13,72.0,1253,1.0,1.0,26,3,4,27,4,5
golgi,13,72.0,1306,3.0,4.0,26,3,4,28,4,6
golgi,14,174.0,1193,2.0,2.0,25,2,5,27,3,6
golgi,15,245.0,29,2.0,2.0,10,6,3,12,7,4
golgi,15,245.0,228,6.0,6.0,13,10,5,16,11,7
golgi,15,245.0,415,24.0,63.0,12,8,12,19,11,15
golgi,15,245.0,615,3.0,4.0,17,7,1,19,8,3
golgi,15,245.0,806,3.0,4.0,20,6,3,22,7,5
golgi,15,245.0,967,6.0,12.0,21,5,3,24,7,5
golgi,15,245.0,968,34.0,63.0,18,6,1,25,9,4
golgi,15,245.0,1059,5.0,12.0,22,5,3,25,7,5
golgi,15,245.0,1396,1.0,1.0,29,5,5,30,6,6
golgi,16,149.0,613,8.0,12.0,17,1,5,21,4,6
golgi,16,149.0,897,3.0,4.0,20,3,5,22,4,7
golgi,16,149.0,966,4.0,4.0,21,0,5,23,2,6
golgi,17,95.0,225,5.0,6.0,12,1,6,15,3,7
golgi,17,95.0,317,20.0,36.0,11,1,4,17,3,7
golgi,17,95.0,616,1.0,1.0,18,10,4,19,11,5
golgi,17,95.0,1058,1.0,1.0,23,2,7,24,3,8
golgi,17,95.0,1136,2.0,2.0,23,6,5,25,7,6
golgi,17,95.0,1194,2.0,2.0,25,5,5,27,6,6
golgi,17,95.0,1254,2.0,2.0,26,2,6,27,3,8
golgi,18,243.0,70,1.0,1.0,12,7,5,13,8,6
golgi,18,243.0,226,3.0,3.0,13,7,5,16,8,6
golgi,18,243.0,413,1.0,1.0,16,0,7,17,1,8
golgi,18,243.0,417,11.0,24.0,15,11,9,19,13,12
golgi,18,243.0,612,1.0,1.0,18,0,10,19,1,11
golgi,18,243.0,617,2.0,2.0,18,11,3,20,12,4
golgi,18,243.0,724,6.0,8.0,18,11,10,20,13,12
golgi,18,243.0,805,2.0,2.0,19,0,10,20,2,11
golgi,18,243.0,1134,1.0,1.0,24,5,3,25,6,4
golgi,18,243.0,1364,7.0,8.0,27,4,7,31,5,9
golgi,18,243.0,1365,4.0,4.0,27,7,4,31,8,5
golgi,20,173.0,30,1.0,1.0,11,5,4,12,6,5
golgi,20,173.0,31,15.0,36.0,9,5,8,15,8,10
golgi,20,173.0,137,9.0,20.0,11,6,8,16,8,10
golgi,20,173.0,723,8.0,16.0,18,7,3,22,9,5
golgi,20,173.0,807,8.0,16.0,19,7,3,23,9,5
golgi,20,173.0,899,24.0,45.0,19,5,14,24,8,17
golgi,21,157.0,416,5.0,8.0,14,7,6,18,8,8
golgi,21,157.0,505,6.0,8.0,17,0,1,21,1,3
golgi,21,157.0,969,1.0,1.0,22,6,8,23,7,9
golgi,22,141.0,318,10.0,24.0,14,3,9,18,5,12
golgi,23,154.0,227,3.0,3.0,14,2,9,17,3,10
golgi,23,154.0,506,2.0,2.0,17,2,9,18,3,11
golgi,23,154.0,508,10.0,16.0,16,7,2,20,9,4
golgi,24,138.0,32,4.0,6.0,10,4,6,13,5,8
golgi,25,151.0,139,1.0,1.0,13,8,5,14,9,6
golgi,26,219.0,229,14.0,18.0,12,2,14,18,3,17
golgi,28,80.0,71,1.0,1.0,12,1,3,13,2,4
golgi,28,80.0,509,19.0,30.0,15,0,3,20,2,6
golgi,28,80.0,970,3.0,4.0,22,2,2,24,3,4
golgi,29,201.0,1308,5.0,6.0,26,3,15,29,5,16
golgi,30,200.0,319,2.0,2.0,15,5,11,17,6,12
golgi,30,200.0,618,1.0,1.0,18,5,11,19,6,12
golgi,30,200.0,725,3.0,3.0,18,11,3,21,12,4
golgi,30,200.0,809,4.0,8.0,20,10,2,22,12,4
golgi,30,200.0,901,5.0,12.0,21,10,2,23,12,5
golgi,30,200.0,1061,2.0,2.0,23,6,12,25,7,13
golgi,30,200.0,1065,6.0,6.0,22,12,9,25,13,11
golgi,30,200.0,1424,1.0,1.0,30,5,9,31,6,10
golgi,31,161.0,72,11.0,48.0,11,3,3,15,6,7
golgi,31,161.0,140,2.0,8.0,13,2,6,15,4,8
golgi,31,161.0,141,10.0,48.0,12,3,3,16,7,6
golgi,31,161.0,230,10.0,30.0,12,3,2,17,6,4
golgi,31,161.0,619,22.0,60.0,15,3,1,20,6,5
golgi,31,161.0,808,1.0,1.0,20,1,9,21,2,10
golgi,31,161.0,900,80.0,378.0,14,3,2,23,9,9
golgi,31,161.0,971,7.0,16.0,22,3,1,24,7,3
golgi,31,161.0,1062,15.0,36.0,23,3,1,27,6,4
golgi,31,161.0,1063,16.0,60.0,22,5,2,26,8,7
golgi,31,161.0,1064,15.0,30.0,20,6,5,25,8,8
golgi,33,104.0,9,4.0,6.0,9,2,6,12,4,7
golgi,33,104.0,231,4.0,6.0,13,2,3,15,3,6
golgi,33,104.0,418,2.0,2.0,16,6,8,18,7,9
golgi,33,104.0,726,35.0,72.0,14,4,2,22,7,5
golgi,34,72.0,810,14.0,30.0,18,5,7,23,8,9
golgi,34,72.0,1309,7.0,9.0,26,2,2,29,5,3
golgi,35,227.0,142,2.0,2.0,13,5,3,15,6,4
golgi,35,227.0,235,1.0,1.0,14,18,7,15,19,8
golgi,35,227.0,512,5.0,6.0,17,17,5,20,18,7
golgi,36,138.0,419,2.0,2.0,15,3,12,17,4,13
golgi,36,138.0,420,29.0,96.0,13,5,3,21,8,7
golgi,36,138.0,902,3.0,3.0,20,3,12,23,4,13
golgi,37,130.0,320,21.0,42.0,13,0,4,20,3,6
golgi,39,373.0,143,7.0,16.0,12,5,16,16,7,18
golgi,39,373.0,321,2.0,2.0,15,6,16,17,7,17
golgi,39,373.0,622,1.0,1.0,18,2,15,19,3,16
golgi,39,373.0,626,3.0,3.0,17,7,18,20,8,19
golgi,39,373.0,727,4.0,4.0,18,1,12,20,2,14
golgi,39,373.0,728,1.0,1.0,19,5,4,20,6,5
golgi,39,373.0,732,32.0,54.0,18,15,5,24,18,8
golgi,39,373.0,811,1.0,1.0,20,2,7,21,3,8
golgi,39,373.0,812,24.0,84.0,18,1,12,25,4,16
golgi,39,373.0,906,2.0,2.0,20,18,8,22,19,9
golgi,39,373.0,1067,1.0,1.0,23,16,14,24,17,15
golgi,39,373.0,1140,13.0,20.0,21,8,15,26,10,17
golgi,39,373.0,1198,1.0,1.0,25,17,13,26,18,14
golgi,40,146.0,73,36.0,63.0,10,3,8,17,6,11
golgi,40,146.0,1256,7.0,12.0,24,4,8,28,5,11
golgi,40,146.0,1310,6.0,12.0,27,3,8,30,5,10
golgi,41,172.0,421,11.0,18.0,14,2,6,17,5,8
golgi,41,172.0,510,4.0,6.0,16,3,6,18,4,9
golgi,41,172.0,623,17.0,30.0,16,3,6,21,5,9
golgi,41,172.0,624,7.0,12.0,17,3,9,20,5,11
golgi,42,99.0,625,5.0,12.0,17,5,3,20,7,5
golgi,42,99.0,730,1.0,1.0,19,5,3,20,6,4
golgi,42,99.0,731,7.0,8.0,19,6,3,23,7,5
golgi,42,99.0,972,3.0,3.0,20,5,3,23,6,4
golgi,42,99.0,1137,7.0,18.0,22,3,2,25,6,4
golgi,42,99.0,1195,6.0,12.0,24,4,2,27,6,4
golgi,43,126.0,33,3.0,4.0,11,4,3,13,6,4
golgi,43,126.0,621,1.0,1.0,18,0,4,19,1,5
golgi,43,126.0,905,1.0,1.0,21,8,1,22,9,2
golgi,44,162.0,234,1.0,1.0,14,9,8,15,10,9
golgi,44,162.0,323,6.0,8.0,13,6,4,17,7,6
golgi,44,162.0,729,5.0,6.0,18,2,8,21,4,9
golgi,44,162.0,1397,1.0,1.0,29,5,7,30,6,8
golgi,45,155.0,74,1.0,1.0,12,6,10,13,7,11
golgi,45,155.0,324,2.0,2.0,15,8,10,16,10,11
golgi,45,155.0,903,5.0,6.0,20,3,2,23,4,4
golgi,45,155.0,1066,1.0,1.0,23,3,2,24,4,3
golgi,45,155.0,1138,2.0,2.0,24,2,3,26,3,4
golgi,46,233.0,322,6.0,12.0,15,1,5,18,3,7
golgi,46,233.0,1257,3.0,3.0,25,3,13,28,4,14
golgi,46,233.0,1398,2.0,2.0,28,4,5,30,5,6
golgi,47,106.0,2,5.0,6.0,8,3,7,11,5,8
golgi,47,106.0,144,11.0,30.0,11,3,7,16,5,10
golgi,47,106.0,232,5.0,8.0,14,2,8,16,4,10
golgi,47,106.0,233,2.0,2.0,14,3,8,16,4,9
golgi,47,106.0,904,1.0,1.0,21,3,1,22,4,2
golgi,47,106.0,1139,2.0,2.0,23,3,1,25,4,2
golgi,47,106.0,1196,15.0,36.0,24,0,2,28,3,5
golgi,48,104.0,34,16.0,24.0,8,4,4,14,6,6
golgi,48,104.0,511,4.0,6.0,16,4,3,19,6,4
golgi,48,104.0,627,1.0,1.0,18,4,2,19,5,3
golgi,48,104.0,1141,1.0,1.0,24,6,5,25,7,6
golgi,48,104.0,1197,3.0,3.0,25,6,6,28,7,7
golgi,48,104.0,1258,1.0,1.0,26,7,6,27,8,7
golgi,50,173.0,325,1.0,1.0,15,2,8,16,3,9
golgi,50,173.0,422,4.0,4.0,15,11,7,17,13,8
golgi,50,173.0,973,18.0,30.0,21,0,7,26,2,10
golgi,50,173.0,976,27.0,42.0,19,12,6,26,15,8
golgi,51,68.0,733,14.0,42.0,15,2,1,22,5,3
golgi,52,146.0,628,6.0,8.0,17,0,8,19,2,10
golgi,52,146.0,629,1.0,1.0,18,8,6,19,9,7
golgi,52,146.0,907,3.0,4.0,20,7,7,22,9,8
golgi,52,146.0,974,15.0,24.0,19,0,9,25,2,11
golgi,52,146.0,975,1.0,1.0,22,2,9,23,3,10
golgi,52,146.0,1142,1.0,1.0,24,1,10,25,2,11
golgi,52,146.0,1311,1.0,1.0,27,6,9,28,7,10
golgi,53,167.0,236,1.0,1.0,14,8,3,15,9,4
golgi,54,139.0,3,7.0,16.0,8,2,3,12,4,5
golgi,54,139.0,35,6.0,12.0,10,2,4,13,4,6
golgi,54,139.0,145,8.0,18.0,12,1,3,15,3,6
golgi,54,139.0,146,2.0,2.0,12,3,3,14,4,4
golgi,54,139.0,423,2.0,2.0,15,1,5,17,2,6
golgi,54,139.0,1425,1.0,1.0,30,5,6,31,6,7
golgi,56,180.0,36,6.0,6.0,9,3,6,12,5,7
golgi,56,180.0,147,10.0,12.0,12,3,5,15,5,7
golgi,56,180.0,326,15.0,24.0,13,7,3,17,9,6
golgi,56,180.0,424,5.0,6.0,15,3,5,18,4,7
golgi,56,180.0,425,17.0,30.0,13,8,1,18,10,4
golgi,56,180.0,813,9.0,12.0,19,2,7,25,3,9
golgi,56,180.0,977,2.0,2.0,21,12,4,23,13,5
golgi,56,180.0,1143,16.0,54.0,21,7,8,27,10,11
golgi,56,180.0,1199,2.0,2.0,25,12,7,27,13,8
golgi,56,180.0,1366,9.0,30.0,26,6,8,31,9,10
golgi,58,178.0,514,8.0,18.0,16,6,9,19,8,12
golgi,59,210.0,237,7.0,12.0,13,3,4,15,6,6
golgi,59,210.0,327,16.0,54.0,12,3,5,18,6,8
golgi,59,210.0,513,2.0,2.0,17,3,15,19,4,16
golgi,59,210.0,630,6.0,12.0,17,0,12,20,2,14
golgi,59,210.0,978,1.0,1.0,22,7,2,23,8,3
golgi,59,210.0,1144,2.0,2.0,23,8,2,25,9,3
golgi,59,210.0,1200,2.0,2.0,25,5,4,27,6,5
golgi,59,210.0,1201,1.0,1.0,25,9,2,26,10,3
golgi,60,149.0,148,19.0,45.0,11,6,4,16,9,7
golgi,60,149.0,426,7.0,16.0,15,5,10,19,7,12
golgi,60,149.0,515,4.0,8.0,17,5,10,19,7,12
golgi,60,149.0,814,2.0,2.0,20,3,2,22,4,3
golgi,60,149.0,1399,2.0,2.0,28,7,7,30,8,8
golgi,62,111.0,427,8.0,12.0,15,0,7,18,2,9
golgi,62,111.0,815,10.0,24.0,19,5,7,23,8,9
golgi,62,111.0,1312,2.0,2.0,26,4,6,28,5,7
golgi,62,111.0,1400,8.0,16.0,28,3,6,32,5,8
golgi,62,111.0,1426,2.0,2.0,30,3,6,31,4,8
golgi,63,335.0,38,1.0,1.0,11,15,12,12,16,13
golgi,63,335.0,151,4.0,8.0,12,10,4,14,12,6
golgi,63,335.0,153,3.0,3.0,13,14,6,16,15,7
golgi,63,335.0,240,2.0,2.0,14,14,11,15,15,13
golgi,63,335.0,430,1.0,1.0,16,14,6,17,15,7
golgi,63,335.0,819,2.0,2.0,20,18,6,22,19,7
golgi,63,335.0,1202,1.0,1.0,25,4,16,26,5,17
golgi,63,335.0,1313,1.0,1.0,27,1,13,28,2,14
golgi,63,335.0,1401,1.0,1.0,29,3,8,30,4,9
golgi,65,180.0,150,3.0,3.0,13,8,12,16,9,13
golgi,65,180.0,238,5.0,9.0,13,3,3,16,4,6
golgi,65,180.0,818,2.0,2.0,20,11,6,22,12,7
golgi,65,180.0,979,4.0,4.0,22,5,4,24,7,5
golgi,66,66.0,149,1.0,1.0,13,4,2,14,5,3
golgi,66,66.0,239,8.0,12.0,13,3,5,17,4,8
golgi,66,66.0,428,4.0,6.0,15,3,2,18,5,3
golgi,66,66.0,734,2.0,2.0,19,1,7,20,2,9
golgi,66,66.0,816,11.0,30.0,17,1,6,22,4,8
golgi,66,66.0,1145,2.0,2.0,23,3,3,25,4,4
golgi,67,174.0,37,25.0,54.0,9,5,6,15,8,9
golgi,67,174.0,429,14.0,24.0,14,4,15,20,6,17
golgi,67,174.0,1068,2.0,2.0,23,6,13,24,8,14
golgi,67,174.0,1146,9.0,18.0,23,5,11,26,7,14
golgi,68,101.0,152,3.0,4.0,13,6,5,15,7,7
golgi,68,101.0,328,1.0,1.0,15,6,4,16,7,5
golgi,68,101.0,516,2.0,2.0,17,2,3,19,3,4
golgi,69,147.0,517,1.0,1.0,17,3,4,18,4,5
golgi,69,147.0,817,13.0,20.0,18,2,3,23,4,5
golgi,69,147.0,1203,12.0,20.0,23,6,9,28,8,11
golgi,70,246.0,242,6.0,8.0,13,14,11,17,15,13
golgi,70,246.0,982,15.0,45.0,21,15,10,26,18,13
golgi,70,246.0,1259,26.0,54.0,24,2,4,30,5,7
golgi,70,246.0,1314,4.0,4.0,26,4,4,30,5,5
golgi,71,56.0,737,13.0,30.0,15,2,4,20,5,6
golgi,71,56.0,738,5.0,12.0,18,5,4,21,7,6
golgi,71,56.0,908,11.0,24.0,18,1,4,22,4,6
golgi,71,56.0,909,2.0,2.0,20,6,3,22,7,4
golgi,71,56.0,980,10.0,24.0,20,1,3,24,4,5
golgi,71,56.0,1069,10.0,12.0,23,2,4,26,4,6
golgi,72,161.0,4,6.0,10.0,8,9,9,13,11,10
golgi,72,161.0,740,11.0,24.0,18,9,1,22,11,4
golgi,72,161.0,820,20.0,48.0,17,4,11,25,7,13
golgi,72,161.0,981,2.0,2.0,22,6,11,24,7,12
