organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
peroxisome,1,84.0,998,6.0,9.0,20,7,4,23,8,7
peroxisome,2,99.0,402,2.0,2.0,13,2,8,14,4,9
peroxisome,2,99.0,687,42.0,108.0,15,1,6,24,4,10
peroxisome,3,240.0,922,7.0,16.0,17,13,6,21,15,8
peroxisome,3,240.0,923,8.0,10.0,20,14,8,25,16,9
peroxisome,3,240.0,999,16.0,32.0,18,13,5,26,15,7
peroxisome,3,240.0,1474,18.0,42.0,26,12,10,33,14,13
peroxisome,4,216.0,13,79.0,132.0,1,6,6,12,9,10
peroxisome,4,216.0,73,9.0,20.0,5,4,6,10,6,8
peroxisome,4,216.0,1418,9.0,10.0,26,9,6,31,10,8
peroxisome,4,216.0,1507,11.0,20.0,29,5,10,34,7,12
peroxisome,4,216.0,1584,3.0,4.0,32,6,10,34,7,12
peroxisome,5,167.0,347,14.0,22.0,7,1,10,18,2,12
peroxisome,5,167.0,606,61.0,81.0,12,4,2,21,7,5
peroxisome,6,50.0,607,3.0,3.0,15,4,0,18,5,1
peroxisome,7,127.0,1142,1.0,1.0,23,6,2,24,7,3
peroxisome,8,188.0,33,11.0,24.0,5,5,4,11,7,6
peroxisome,8,188.0,183,1.0,1.0,9,4,11,10,5,12
peroxisome,8,188.0,233,1.0,1.0,10,6,5,11,7,6
peroxisome,8,188.0,470,1.0,1.0,14,3,15,15,4,16
peroxisome,8,188.0,769,6.0,8.0,17,2,8,21,3,10
peroxisome,8,188.0,921,1.0,1.0,20,7,16,21,8,17
peroxisome,9,119.0,688,7.0,12.0,16,6,9,19,8,11
peroxisome,9,119.0,770,1.0,1.0,18,5,10,19,6,11
peroxisome,9,119.0,1201,2.0,2.0,24,5,9,25,7,10
peroxisome,10,193.0,348,16.0,30.0,9,9,5,14,11,8
peroxisome,10,193.0,403,67.0,96.0,10,0,4,22,2,8
peroxisome,10,193.0,545,29.0,72.0,11,8,4,19,11,7
peroxisome,10,193.0,848,37.0,72.0,16,3,0,24,6,3
peroxisome,10,193.0,1144,42.0,99.0,17,4,13,28,7,16
peroxisome,11,88.0,471,82.0,156.0,7,2,1,20,5,5
peroxisome,12,151.0,349,8.0,8.0,8,10,12,16,11,13
peroxisome,12,151.0,1257,58.0,144.0,20,4,2,32,7,6
peroxisome,13,162.0,406,14.0,36.0,10,5,2,16,7,5
