organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
vacuole,2,122.0,0,13.0,16.0,23,0,4,23,4,8
vacuole,4,159.0,0,30.0,36.0,22,0,3,22,6,9
vacuole,5,182.0,0,24.0,30.0,17,4,6,17,10,11
vacuole,6,296.0,0,51.0,81.0,17,1,5,17,10,14
vacuole,9,114.0,0,16.0,20.0,25,0,2,25,5,6
vacuole,11,182.0,0,39.0,63.0,16,1,4,16,8,13
vacuole,12,63.0,0,9.0,9.0,25,3,1,25,6,4
vacuole,14,174.0,0,16.0,16.0,25,4,7,25,8,11
vacuole,17,95.0,0,11.0,12.0,18,1,2,18,5,5
vacuole,19,135.0,0,23.0,25.0,22,2,5,22,7,10
vacuole,22,141.0,0,30.0,36.0,20,2,2,20,8,8
vacuole,23,154.0,0,5.0,6.0,16,2,6,16,5,8
vacuole,24,138.0,0,8.0,9.0,24,3,7,24,6,10
vacuole,25,151.0,0,32.0,36.0,23,3,3,23,9,9
vacuole,26,219.0,0,21.0,25.0,16,6,5,16,11,10
vacuole,27,215.0,0,5.0,6.0,26,18,10,26,21,12
vacuole,29,201.0,0,24.0,30.0,14,2,6,14,8,11
vacuole,30,200.0,0,14.0,20.0,13,7,5,13,11,10
vacuole,31,161.0,0,8.0,12.0,16,2,4,16,5,8
vacuole,32,139.0,0,18.0,24.0,17,1,3,17,5,9
vacuole,33,104.0,0,5.0,6.0,18,2,8,18,5,10
vacuole,35,227.0,0,1.0,1.0,16,12,8,16,13,9
vacuole,36,138.0,0,22.0,25.0,23,0,3,23,5,8
vacuole,37,130.0,0,1.0,1.0,21,4,4,21,5,5
vacuole,39,373.0,0,1.0,1.0,24,7,7,24,8,8
vacuole,40,146.0,0,20.0,25.0,21,0,3,21,5,8
vacuole,41,172.0,0,18.0,20.0,19,7,4,19,11,9
vacuole,43,126.0,0,20.0,25.0,20,4,4,20,9,9
vacuole,44,162.0,0,10.0,16.0,19,5,6,19,9,10
vacuole,47,106.0,0,8.0,9.0,22,3,3,22,6,6
vacuole,48,104.0,0,16.0,20.0,20,1,4,20,5,9
vacuole,52,146.0,0,1.0,1.0,11,4,6,11,5,7
vacuole,53,167.0,0,21.0,25.0,21,4,4,21,9,9
vacuole,54,139.0,0,10.0,12.0,22,2,3,22,6,6
vacuole,56,180.0,0,17.0,25.0,18,3,6,18,8,11
vacuole,57,153.0,0,19.0,25.0,23,4,3,23,9,8
vacuole,59,210.0,0,41.0,56.0,23,1,6,23,8,14
vacuole,60,149.0,0,23.0,30.0,20,1,3,20,6,9
vacuole,62,111.0,0,20.0,30.0,18,1,3,18,7,8
vacuole,64,166.0,0,24.0,30.0,22,1,1,22,6,7
vacuole,67,174.0,0,16.0,20.0,25,4,4,25,8,9
vacuole,68,101.0,0,17.0,20.0,23,2,4,23,6,9
vacuole,69,147.0,0,8.0,9.0,16,3,7,16,6,10
vacuole,70,246.0,0,65.0,96.0,18,3,4,18,15,12
vacuole,73,99.0,0,14.0,16.0,15,3,3,15,7,7
vacuole,74,110.0,0,23.0,30.0,20,2,3,20,7,9
vacuole,75,169.0,0,8.0,9.0,26,7,6,26,10,9
vacuole,76,256.0,0,23.0,30.0,24,4,5,24,9,11
vacuole,77,183.0,0,6.0,6.0,20,9,7,20,11,10
vacuole,78,137.0,0,27.0,30.0,20,2,3,20,8,8
vacuole,79,148.0,0,9.0,9.0,15,2,5,15,5,8
vacuole,80,154.0,0,29.0,36.0,24,0,4,24,6,10
vacuole,82,174.0,0,15.0,20.0,18,5,6,18,10,10
vacuole,85,321.0,0,10.0,12.0,23,4,11,23,7,15
vacuole,86,172.0,0,18.0,25.0,26,6,4,26,11,9
