organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
ER,1,321.0,65535,907.0,10800.0,5,0,2,35,20,20
ER,2,253.0,65535,735.0,10336.0,4,1,0,36,18,19
ER,3,187.0,65535,231.0,5400.0,5,1,0,35,13,15
ER,4,218.0,65535,488.0,7440.0,5,0,3,36,16,18
ER,5,339.0,65535,1180.0,15314.0,5,0,1,36,19,27
ER,6,182.0,65535,562.0,6448.0,6,0,1,37,13,17
ER,7,67.0,65535,161.0,1280.0,14,1,1,34,9,9
ER,8,59.0,65535,144.0,1127.0,7,0,3,30,7,10
ER,9,278.0,65535,435.0,8874.0,5,1,0,34,19,17
ER,10,131.0,65535,441.0,4680.0,5,1,1,35,14,13
ER,11,77.0,65535,168.0,2160.0,6,0,0,30,9,10
ER,12,183.0,65535,456.0,7280.0,0,0,0,35,16,13
ER,13,195.0,65535,564.0,6496.0,6,1,3,35,17,17
ER,14,214.0,65535,690.0,7936.0,5,0,2,36,16,18
ER,15,215.0,65535,575.0,7395.0,5,0,1,34,15,18
ER,16,250.0,65535,654.0,10080.0,6,0,1,36,16,22
ER,17,164.0,65535,519.0,5568.0,5,0,1,34,16,13
ER,18,268.0,65535,914.0,8370.0,5,0,3,36,18,18
ER,19,176.0,65535,558.0,6240.0,5,1,0,35,17,13
ER,20,168.0,65535,655.0,5642.0,5,0,1,36,14,14
ER,21,186.0,65535,650.0,5070.0,5,0,2,35,13,15
ER,22,184.0,65535,384.0,5580.0,4,1,2,35,16,14
ER,23,543.0,65535,1742.0,22320.0,5,0,2,35,31,26
ER,24,209.0,65535,599.0,7395.0,6,0,0,35,15,17
ER,25,183.0,65535,576.0,6510.0,5,1,2,36,16,16
ER,26,210.0,65535,469.0,6525.0,5,0,2,34,15,17
ER,27,184.0,65535,727.0,5642.0,5,0,2,36,13,16
ER,28,77.0,65535,132.0,756.0,14,2,2,35,8,8
ER,29,172.0,65535,448.0,6300.0,5,1,1,35,15,16
ER,30,184.0,65535,443.0,6090.0,6,1,2,35,15,17
ER,31,115.0,65535,355.0,3510.0,4,1,2,34,10,15
ER,32,322.0,65535,905.0,11160.0,5,0,0,36,18,20
ER,33,171.0,65535,615.0,5952.0,5,1,0,36,13,16
ER,34,119.0,65535,308.0,4290.0,5,0,1,35,13,12
ER,35,184.0,65535,527.0,6448.0,5,0,2,36,13,18
ER,36,233.0,65535,630.0,8415.0,2,0,1,35,15,18
ER,37,149.0,65535,309.0,4060.0,5,0,2,34,14,12
ER,38,250.0,65535,4.0,1092.0,17,3,4,31,9,17
ER,39,281.0,65535,1029.0,9424.0,5,1,2,36,20,18
ER,40,96.0,65535,251.0,2430.0,5,2,1,32,11,11
ER,41,143.0,65535,492.0,4320.0,6,0,1,36,12,13
ER,42,132.0,65535,462.0,4147.0,6,0,2,35,11,15
