organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
golgi,1,52.0,2138,23.0,63.0,21,1,2,28,4,5
golgi,4,71.0,23,18.0,36.0,8,1,4,12,4,7
golgi,4,71.0,173,15.0,36.0,11,2,4,15,5,7
golgi,4,71.0,855,4.0,4.0,15,2,2,17,3,4
golgi,4,71.0,1009,8.0,18.0,16,2,2,19,5,4
golgi,4,71.0,1170,7.0,16.0,17,3,2,21,5,4
golgi,4,71.0,1461,1.0,1.0,20,3,2,21,4,3
golgi,7,282.0,24,2.0,2.0,8,5,6,10,6,7
golgi,7,282.0,858,14.0,36.0,13,14,6,17,17,9
golgi,7,282.0,1173,30.0,72.0,16,14,6,22,17,10
golgi,7,282.0,1750,80.0,165.0,16,0,5,27,3,10
golgi,7,282.0,2271,1.0,1.0,26,13,12,27,14,13
golgi,7,282.0,2779,6.0,8.0,29,11,9,33,13,10
golgi,10,206.0,405,13.0,30.0,11,10,6,16,13,8
golgi,10,206.0,1169,11.0,30.0,16,0,5,21,2,8
golgi,10,206.0,1172,4.0,4.0,16,12,7,20,13,8
golgi,10,206.0,1462,1.0,1.0,20,0,7,21,1,8
golgi,10,206.0,1751,1.0,1.0,22,0,6,23,1,7
golgi,10,206.0,1884,5.0,12.0,23,0,6,26,2,8
golgi,10,206.0,1885,2.0,2.0,23,3,10,24,4,12
golgi,10,206.0,2269,20.0,54.0,23,3,10,29,6,13
golgi,10,206.0,2492,10.0,36.0,25,2,10,31,5,12
golgi,10,206.0,2606,3.0,4.0,29,3,11,31,5,12
golgi,10,206.0,2607,2.0,2.0,29,4,10,31,5,11
golgi,10,206.0,2695,3.0,4.0,30,3,11,32,5,12
golgi,10,206.0,2696,3.0,4.0,29,9,8,31,10,10
golgi,10,206.0,2829,16.0,24.0,31,3,10,37,5,12
golgi,11,155.0,82,4.0,4.0,8,3,8,12,4,9
golgi,13,76.0,2393,11.0,36.0,26,1,1,30,4,4
golgi,14,120.0,1171,1.0,1.0,18,1,3,19,2,4
golgi,14,120.0,1886,1.0,1.0,23,6,13,24,7,14
golgi,14,120.0,2014,2.0,2.0,23,5,12,25,6,13
golgi,14,120.0,2270,8.0,12.0,24,5,12,28,8,13
golgi,15,208.0,83,1.0,1.0,10,7,7,11,8,8
golgi,15,208.0,1175,75.0,144.0,11,11,8,23,15,11
golgi,15,208.0,1887,3.0,4.0,23,12,8,25,13,10
golgi,15,208.0,2493,4.0,4.0,27,7,4,31,8,5
golgi,15,208.0,2698,1.0,1.0,30,8,4,31,9,5
golgi,16,142.0,279,1.0,1.0,12,6,8,13,7,9
golgi,16,142.0,856,1.0,1.0,16,4,12,17,5,13
golgi,16,142.0,1010,2.0,2.0,17,3,11,18,4,13
golgi,17,224.0,25,8.0,27.0,8,3,6,11,6,9
golgi,17,224.0,174,14.0,36.0,9,2,5,13,5,8
golgi,17,224.0,404,14.0,36.0,12,1,5,16,4,8
golgi,18,279.0,27,6.0,12.0,9,11,9,12,13,11
golgi,18,279.0,84,3.0,4.0,10,11,9,12,12,11
golgi,18,279.0,407,4.0,8.0,13,12,10,15,14,12
golgi,18,279.0,408,16.0,36.0,10,16,11,16,19,13
golgi,18,279.0,560,3.0,3.0,14,12,11,15,15,12
golgi,18,279.0,561,1.0,1.0,14,14,10,15,15,11
golgi,18,279.0,565,4.0,6.0,14,18,11,17,19,13
golgi,18,279.0,713,1.0,1.0,15,14,11,16,15,12
golgi,18,279.0,714,6.0,6.0,15,17,12,18,19,13
golgi,20,214.0,26,39.0,96.0,6,2,6,12,6,10
golgi,20,214.0,175,1.0,1.0,11,7,10,12,8,11
golgi,20,214.0,280,37.0,80.0,11,2,6,16,6,10
golgi,20,214.0,710,1.0,1.0,15,6,2,16,7,3
golgi,20,214.0,857,1.0,1.0,16,1,8,17,2,9
golgi,20,214.0,1011,22.0,45.0,15,1,6,20,4,9
golgi,20,214.0,1321,7.0,12.0,18,1,6,21,3,8
golgi,20,214.0,1609,31.0,54.0,19,5,1,25,8,4
golgi,20,214.0,2139,4.0,6.0,24,6,1,27,8,2
golgi,21,76.0,1463,27.0,54.0,18,0,3,24,3,6
golgi,21,76.0,1752,2.0,2.0,22,4,2,23,5,4
golgi,21,76.0,2272,4.0,8.0,26,1,5,28,3,7
golgi,21,76.0,2394,7.0,12.0,26,1,5,29,3,7
golgi,21,76.0,2608,7.0,16.0,28,1,5,32,3,7
golgi,21,76.0,2697,3.0,3.0,30,2,6,33,3,7
golgi,21,76.0,2900,2.0,2.0,33,2,6,35,3,7
golgi,22,58.0,1174,13.0,42.0,15,3,6,22,6,8
golgi,23,228.0,1464,5.0,12.0,20,10,12,23,12,14
golgi,24,183.0,3,2.0,2.0,8,4,11,10,5,12
golgi,24,183.0,282,8.0,12.0,12,8,11,15,10,13
golgi,24,183.0,562,3.0,4.0,13,9,12,15,11,13
golgi,24,183.0,859,34.0,63.0,14,9,10,21,12,13
golgi,24,183.0,1611,1.0,1.0,21,8,13,22,9,14
golgi,24,183.0,2140,2.0,2.0,25,10,8,27,11,9
golgi,25,119.0,711,42.0,72.0,11,2,3,19,5,6
golgi,25,119.0,2395,7.0,16.0,26,1,6,30,3,8
golgi,26,251.0,563,10.0,18.0,13,9,12,16,12,14
golgi,26,251.0,564,2.0,2.0,14,11,12,16,12,13
golgi,26,251.0,567,1.0,1.0,14,13,8,15,14,9
golgi,26,251.0,715,5.0,9.0,14,13,8,17,14,11
golgi,26,251.0,860,1.0,1.0,16,13,10,17,14,11
golgi,26,251.0,2830,3.0,4.0,31,9,6,33,10,8
golgi,27,209.0,85,4.0,6.0,9,4,10,11,7,11
golgi,27,209.0,177,12.0,36.0,9,4,10,13,7,13
golgi,27,209.0,2496,2.0,2.0,28,9,4,29,10,6
golgi,27,209.0,2609,1.0,1.0,29,9,4,30,10,5
golgi,28,131.0,281,1.0,1.0,12,3,8,13,4,9
golgi,28,131.0,1177,4.0,6.0,17,6,5,20,8,6
golgi,28,131.0,2699,2.0,2.0,29,4,5,31,5,6
golgi,28,131.0,2780,5.0,12.0,30,4,5,33,6,7
golgi,29,113.0,176,10.0,12.0,11,1,6,14,3,8
golgi,29,113.0,406,9.0,12.0,12,3,1,15,5,3
golgi,29,113.0,712,30.0,42.0,11,0,2,18,2,5
golgi,29,113.0,1179,14.0,24.0,14,10,10,20,12,12
golgi,29,113.0,2015,1.0,1.0,24,10,10,25,11,11
golgi,29,113.0,2141,3.0,4.0,24,10,9,26,11,11
golgi,29,113.0,2494,23.0,60.0,25,2,2,30,5,6
golgi,30,80.0,1176,2.0,2.0,18,1,3,20,2,4
golgi,30,80.0,1178,18.0,36.0,16,6,1,20,9,4
golgi,30,80.0,1465,15.0,36.0,19,7,1,23,10,4
golgi,30,80.0,1610,12.0,24.0,19,1,1,23,3,4
golgi,30,80.0,2495,4.0,4.0,26,2,2,30,3,3
golgi,30,80.0,2700,3.0,3.0,29,4,2,32,5,3
golgi,31,265.0,283,5.0,12.0,11,6,15,13,9,17
golgi,31,265.0,571,10.0,16.0,13,15,4,17,17,6
golgi,31,265.0,1015,13.0,45.0,15,16,5,20,19,8
golgi,31,265.0,1181,4.0,6.0,18,16,7,21,18,8
golgi,31,265.0,1325,1.0,1.0,19,13,9,20,14,10
golgi,31,265.0,1326,3.0,4.0,19,13,9,20,15,11
golgi,31,265.0,1327,26.0,42.0,16,14,3,23,17,5
golgi,31,265.0,1613,2.0,2.0,21,14,10,23,15,11
golgi,31,265.0,1756,3.0,4.0,22,14,3,24,16,4
