organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
peroxisome,1,251.0,131,65.0,144.0,9,0,5,18,4,9
peroxisome,1,251.0,1194,45.0,104.0,20,0,7,33,2,11
peroxisome,1,251.0,1562,2.0,2.0,35,5,7,37,6,8
peroxisome,2,238.0,821,5.0,6.0,20,0,9,23,1,11
peroxisome,2,238.0,823,13.0,24.0,16,4,16,22,6,18
peroxisome,2,238.0,904,23.0,64.0,20,2,16,28,6,18
peroxisome,3,79.0,824,20.0,36.0,19,5,4,25,7,7
peroxisome,3,79.0,993,4.0,4.0,23,6,4,25,7,6
peroxisome,4,101.0,390,1.0,1.0,18,4,0,19,5,1
peroxisome,4,101.0,720,5.0,6.0,20,7,7,23,8,9
peroxisome,5,275.0,474,3.0,4.0,16,8,6,18,9,8
peroxisome,5,275.0,542,9.0,24.0,16,3,10,20,5,13
peroxisome,5,275.0,722,7.0,12.0,19,4,11,22,6,13
peroxisome,5,275.0,725,10.0,42.0,18,6,4,25,8,7
peroxisome,5,275.0,726,15.0,54.0,16,8,5,22,11,8
peroxisome,5,275.0,825,1.0,1.0,21,5,12,22,6,13
peroxisome,5,275.0,909,2.0,2.0,21,10,5,23,11,6
peroxisome,5,275.0,1361,80.0,144.0,24,6,5,36,9,9
peroxisome,6,179.0,472,34.0,72.0,14,5,11,20,9,14
peroxisome,6,179.0,1360,2.0,2.0,29,4,6,30,5,8
peroxisome,7,207.0,633,12.0,28.0,16,0,5,23,2,7
peroxisome,7,207.0,1311,8.0,8.0,23,3,14,31,4,15
peroxisome,9,226.0,473,8.0,12.0,13,0,8,19,1,10
peroxisome,9,226.0,545,3.0,3.0,17,13,11,20,14,12
peroxisome,10,170.0,47,2.0,2.0,10,7,10,12,8,11
peroxisome,10,170.0,199,11.0,27.0,12,8,2,15,11,5
peroxisome,10,170.0,254,1.0,1.0,14,10,4,15,11,5
peroxisome,10,170.0,1062,11.0,36.0,23,6,5,27,9,8
peroxisome,10,170.0,1127,9.0,12.0,25,5,6,29,8,7
peroxisome,14,193.0,255,9.0,10.0,12,5,2,17,6,4
peroxisome,14,193.0,826,20.0,30.0,20,6,1,25,8,4
peroxisome,14,193.0,827,12.0,20.0,18,7,15,23,9,17
peroxisome,14,193.0,912,4.0,6.0,22,7,15,25,9,16
peroxisome,14,193.0,996,19.0,42.0,21,1,4,28,3,7
peroxisome,14,193.0,1128,10.0,16.0,24,6,1,28,8,3
peroxisome,15,158.0,83,1.0,1.0,11,12,8,12,13,9
peroxisome,15,158.0,137,3.0,4.0,11,12,7,13,13,9
peroxisome,15,158.0,1063,3.0,4.0,23,6,4,25,7,6
peroxisome,16,109.0,308,5.0,8.0,13,2,1,17,3,3
peroxisome,17,273.0,19,41.0,72.0,6,9,10,14,12,13
peroxisome,17,273.0,84,11.0,20.0,9,13,6,14,15,8
peroxisome,17,273.0,1312,33.0,81.0,23,2,15,32,5,18
peroxisome,18,143.0,309,2.0,2.0,14,4,5,16,5,6
peroxisome,19,206.0,48,13.0,36.0,8,6,6,14,8,9
peroxisome,19,206.0,139,1.0,1.0,12,6,7,13,7,8
peroxisome,19,206.0,636,1.0,1.0,19,9,5,20,10,6
peroxisome,19,206.0,914,24.0,63.0,19,9,3,26,12,6
peroxisome,19,206.0,998,46.0,96.0,19,2,9,27,5,13
peroxisome,19,206.0,1313,9.0,12.0,24,6,15,30,8,16
peroxisome,19,206.0,1363,10.0,18.0,28,4,10,31,7,12
peroxisome,19,206.0,1478,11.0,45.0,29,5,8,34,8,11
peroxisome,19,206.0,1508,13.0,45.0,30,4,9,35,7,12
peroxisome,20,115.0,256,6.0,6.0,13,1,2,16,2,4
peroxisome,20,115.0,257,40.0,84.0,11,7,0,18,10,4
peroxisome,21,187.0,134,3.0,3.0,11,2,10,14,3,11
peroxisome,21,187.0,135,10.0,30.0,9,2,11,14,4,14
peroxisome,21,187.0,136,9.0,20.0,10,2,12,15,4,14
peroxisome,21,187.0,310,6.0,8.0,13,6,3,17,8,4
peroxisome,21,187.0,475,3.0,4.0,16,6,3,18,8,4
peroxisome,21,187.0,548,5.0,6.0,17,7,3,20,8,5
peroxisome,22,250.0,140,12.0,16.0,10,11,7,14,13,9
