organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
ER,2,2,197.0,65535,593.0,6409.0,0,1,0,29,14,17
ER,2,4,200.0,65535,644.0,7378.0,0,0,1,31,17,15
ER,2,5,221.0,65535,493.0,8100.0,0,0,1,30,18,16
ER,2,6,83.0,65535,275.0,2970.0,2,0,0,29,10,11
ER,2,7,108.0,65535,264.0,2970.0,0,0,1,27,11,11
ER,2,8,177.0,65535,581.0,5880.0,1,0,0,29,15,14
ER,2,9,169.0,65535,581.0,6090.0,0,0,0,29,15,14
ER,2,10,173.0,65535,464.0,5568.0,0,0,1,29,12,17
ER,2,11,162.0,65535,642.0,5850.0,1,0,0,31,13,15
ER,2,12,230.0,65535,868.0,8100.0,0,0,1,30,18,16
ER,2,13,159.0,65535,474.0,5568.0,0,0,1,29,12,17
ER,2,14,195.0,65535,444.0,6720.0,0,0,1,30,14,17
ER,2,15,187.0,65535,507.0,6786.0,1,0,0,30,18,13
ER,2,16,232.0,65535,741.0,8100.0,1,1,1,31,16,19
ER,2,17,347.0,65535,854.0,12006.0,0,1,1,29,24,19
ER,2,18,146.0,65535,609.0,4836.0,0,1,1,31,13,14
ER,2,19,159.0,65535,566.0,4901.0,0,0,1,29,13,14
ER,2,20,171.0,65535,574.0,5655.0,1,1,0,30,14,15
ER,2,21,143.0,65535,415.0,4872.0,2,0,0,31,14,12
ER,2,23,232.0,65535,736.0,8160.0,0,1,0,30,18,16
ER,2,24,206.0,65535,768.0,8192.0,0,0,0,32,16,16
ER,2,26,359.0,65535,1172.0,13224.0,0,0,0,29,19,24
ER,2,27,158.0,65535,339.0,5070.0,0,1,1,30,14,14
ER,2,28,221.0,65535,831.0,7560.0,1,1,1,31,15,19
ER,2,29,164.0,65535,695.0,6240.0,0,0,1,32,13,16
ER,2,30,240.0,65535,1007.0,9792.0,0,0,0,36,17,16
ER,2,31,188.0,65535,120.0,3564.0,2,4,2,29,15,14
ER,2,32,81.0,65535,215.0,2900.0,0,0,0,29,10,10
ER,2,33,234.0,65535,572.0,6720.0,1,0,1,29,15,17
ER,2,35,240.0,65535,792.0,8160.0,0,1,1,30,18,17
ER,2,36,220.0,65535,496.0,7650.0,0,1,1,30,18,16
ER,2,37,184.0,65535,476.0,5684.0,0,1,1,29,15,15
ER,2,38,199.0,65535,814.0,6240.0,0,2,1,30,18,14
ER,2,39,126.0,65535,113.0,2860.0,2,1,1,28,12,11
ER,2,40,240.0,65535,1018.0,8928.0,0,1,1,31,19,17
ER,2,41,167.0,65535,527.0,6240.0,0,1,0,30,17,13
ER,2,42,197.0,65535,921.0,6720.0,0,1,0,30,15,16
