organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
LD,0,3,200.0,178,7.0,16.0,13,1,11,17,3,13
LD,0,5,221.0,71,15.0,30.0,7,8,3,12,11,5
LD,0,5,221.0,179,1.0,1.0,14,16,3,15,17,4
LD,0,5,221.0,220,8.0,16.0,14,15,3,18,17,5
LD,0,7,71.0,72,16.0,24.0,9,2,1,13,5,3
LD,0,11,68.0,200,3.0,4.0,14,2,5,16,3,7
LD,0,11,68.0,221,14.0,28.0,15,1,5,22,3,7
LD,0,11,68.0,296,12.0,30.0,17,1,5,22,4,7
LD,0,12,131.0,73,2.0,2.0,10,9,10,11,11,11
LD,0,13,197.0,180,8.0,18.0,13,5,13,16,8,15
LD,0,14,204.0,47,3.0,4.0,9,4,9,10,6,11
LD,0,15,205.0,1,1.0,1.0,5,9,2,6,10,3
LD,0,17,75.0,74,16.0,30.0,9,5,1,14,8,3
LD,0,17,75.0,249,4.0,8.0,17,5,2,19,7,4
LD,0,17,75.0,281,9.0,16.0,18,5,2,22,7,4
LD,0,19,226.0,48,2.0,2.0,9,4,2,11,5,3
LD,0,19,226.0,201,3.0,3.0,14,4,7,17,5,8
LD,0,19,226.0,222,1.0,1.0,16,4,10,17,5,11
LD,0,20,137.0,49,20.0,60.0,7,10,5,12,13,9
LD,0,20,137.0,75,4.0,4.0,9,3,7,13,4,8
LD,0,20,137.0,76,9.0,12.0,9,12,5,12,14,7
LD,0,20,137.0,96,12.0,24.0,9,3,7,13,5,10
LD,0,20,137.0,97,2.0,2.0,11,12,4,13,13,5
LD,0,20,137.0,250,18.0,36.0,16,8,2,19,12,5
LD,0,20,137.0,282,3.0,4.0,19,7,5,21,9,6
LD,0,20,137.0,283,26.0,75.0,18,7,2,23,12,5
LD,0,20,137.0,297,13.0,24.0,19,5,7,23,7,10
LD,0,20,137.0,308,3.0,4.0,21,6,5,23,7,7
LD,0,20,137.0,309,4.0,6.0,20,7,3,23,8,5
LD,0,25,161.0,223,30.0,72.0,12,0,7,20,3,10
LD,0,26,241.0,50,2.0,2.0,9,6,9,11,7,10
LD,0,26,241.0,77,26.0,45.0,9,7,8,14,10,11
LD,0,26,241.0,325,15.0,30.0,21,9,11,26,11,14
LD,0,26,241.0,331,1.0,1.0,25,10,11,26,11,12
LD,0,28,181.0,149,6.0,6.0,12,6,5,15,7,7
LD,0,28,181.0,225,2.0,2.0,15,12,6,17,13,7
LD,0,33,78.0,224,2.0,2.0,16,2,2,18,3,3
LD,0,33,78.0,226,8.0,10.0,13,3,1,18,5,2
LD,0,33,78.0,266,5.0,6.0,17,3,1,20,5,2
LD,0,33,78.0,298,1.0,1.0,20,4,1,21,5,2
LD,0,36,196.0,78,8.0,12.0,9,9,13,12,11,15
LD,0,39,203.0,284,2.0,2.0,18,8,13,20,9,14
LD,0,39,203.0,299,15.0,36.0,17,3,7,23,6,9
LD,0,39,203.0,310,15.0,32.0,20,4,7,24,8,9
LD,0,39,203.0,332,24.0,36.0,23,5,7,29,8,9
