organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
mitochondria,3,1,241.0,27,3.0,6.0,3,9,10,4,12,12
mitochondria,3,1,241.0,61,1824.0,8100.0,4,1,0,34,16,18
mitochondria,3,1,241.0,145,3.0,3.0,15,3,12,18,4,13
mitochondria,3,1,241.0,166,2.0,2.0,17,9,16,19,10,17
mitochondria,3,1,241.0,181,4.0,18.0,18,11,15,21,14,17
mitochondria,3,1,241.0,225,2.0,2.0,23,4,13,24,6,14
mitochondria,3,1,241.0,233,14.0,60.0,24,12,10,27,16,15
mitochondria,3,2,226.0,25,910.0,5460.0,3,0,3,31,15,16
mitochondria,3,2,226.0,90,1.0,1.0,6,13,3,7,14,4
mitochondria,3,2,226.0,92,16.0,60.0,7,5,13,12,9,16
mitochondria,3,2,226.0,124,1.0,1.0,13,5,9,14,6,10
mitochondria,3,2,226.0,218,74.0,350.0,22,6,3,32,11,10
mitochondria,3,3,194.0,26,1411.0,6750.0,3,0,0,33,15,15
mitochondria,3,3,194.0,93,1.0,1.0,7,10,4,8,11,5
mitochondria,3,3,194.0,134,9.0,16.0,14,7,6,18,9,8
mitochondria,3,3,194.0,167,1.0,1.0,17,9,2,18,10,3
mitochondria,3,3,194.0,188,3.0,6.0,19,6,8,22,7,10
mitochondria,3,4,145.0,61,1396.0,4680.0,4,0,1,34,13,13
mitochondria,3,5,208.0,28,1587.0,6664.0,5,1,1,33,15,18
mitochondria,3,6,154.0,28,1049.0,3960.0,3,1,1,33,12,13
mitochondria,3,6,154.0,146,3.0,4.0,15,2,3,17,4,4
mitochondria,3,7,252.0,62,2568.0,9690.0,4,1,0,34,18,19
mitochondria,3,7,252.0,94,1.0,1.0,7,7,8,8,8,9
mitochondria,3,8,179.0,29,1940.0,6324.0,3,1,0,34,13,17
mitochondria,3,8,179.0,189,1.0,1.0,19,5,10,20,6,11
mitochondria,3,9,205.0,63,1924.0,7308.0,4,0,0,33,18,14
mitochondria,3,10,204.0,64,2137.0,7140.0,4,1,1,34,15,18
mitochondria,3,10,204.0,135,6.0,18.0,14,5,9,17,7,12
mitochondria,3,10,204.0,209,11.0,36.0,21,6,8,25,9,11
