organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
peroxisome,5,8,241.0,58,6.0,6.0,14,3,5,17,4,7
peroxisome,5,8,241.0,209,22.0,24.0,23,1,8,29,3,10
peroxisome,5,11,232.0,113,11.0,30.0,17,4,7,22,6,10
peroxisome,5,12,191.0,42,37.0,72.0,10,9,7,18,12,10
peroxisome,5,12,191.0,60,24.0,28.0,11,5,10,18,7,12
peroxisome,5,12,191.0,130,5.0,5.0,19,12,6,24,13,7
peroxisome,5,16,255.0,43,3.0,3.0,13,12,7,16,13,8
peroxisome,5,16,255.0,228,5.0,8.0,26,11,2,30,12,4
peroxisome,5,16,255.0,248,1.0,1.0,28,7,14,29,8,15
peroxisome,5,18,186.0,160,20.0,36.0,20,1,12,26,4,14
peroxisome,5,21,265.0,249,7.0,16.0,26,1,4,30,3,6
peroxisome,5,21,265.0,250,2.0,2.0,28,3,4,30,4,5
peroxisome,5,23,196.0,9,28.0,42.0,9,5,5,16,7,8
peroxisome,5,23,196.0,83,23.0,48.0,15,0,6,21,2,10
peroxisome,5,24,197.0,84,29.0,90.0,12,2,2,22,5,5
peroxisome,5,26,234.0,161,12.0,24.0,21,7,10,25,10,12
peroxisome,5,28,266.0,86,5.0,5.0,15,5,1,20,6,2
peroxisome,5,28,266.0,87,3.0,4.0,16,11,1,18,12,3
peroxisome,5,28,266.0,179,8.0,16.0,22,15,8,26,17,10
peroxisome,5,28,266.0,229,52.0,108.0,23,12,9,32,16,12
peroxisome,5,28,266.0,251,7.0,8.0,26,4,4,30,5,6
peroxisome,5,31,216.0,162,4.0,4.0,20,15,2,24,16,3
peroxisome,5,31,216.0,213,21.0,54.0,24,0,6,30,3,9
peroxisome,5,33,209.0,25,11.0,24.0,10,4,14,16,6,16
peroxisome,5,33,209.0,61,16.0,63.0,12,3,14,19,6,17
peroxisome,5,33,209.0,118,4.0,4.0,18,3,10,22,4,11
peroxisome,5,34,177.0,44,2.0,2.0,13,7,5,15,8,6
peroxisome,5,35,223.0,45,70.0,120.0,9,11,3,19,15,6
peroxisome,5,42,99.0,119,24.0,63.0,16,2,1,23,5,4
peroxisome,5,46,202.0,62,28.0,84.0,12,4,9,19,7,13
peroxisome,5,46,202.0,72,10.0,24.0,16,4,11,20,7,13
peroxisome,5,46,202.0,232,3.0,3.0,26,14,5,29,15,6
peroxisome,5,50,250.0,11,10.0,24.0,10,10,6,14,12,9
peroxisome,5,50,250.0,12,4.0,6.0,11,12,1,14,13,3
peroxisome,5,51,237.0,215,20.0,30.0,24,15,9,29,17,12
peroxisome,5,53,195.0,2,24.0,54.0,9,8,2,15,11,5
peroxisome,5,54,312.0,64,43.0,96.0,12,16,2,20,19,6
peroxisome,5,56,204.0,233,20.0,32.0,23,5,0,31,7,2
peroxisome,5,56,204.0,234,11.0,36.0,25,4,3,29,7,6
peroxisome,5,63,196.0,5,17.0,54.0,9,10,9,15,13,12
peroxisome,5,65,111.0,27,6.0,20.0,11,4,4,16,6,6
peroxisome,5,65,111.0,47,3.0,3.0,12,3,5,15,4,6
peroxisome,5,65,111.0,65,2.0,2.0,15,3,5,17,4,6
peroxisome,5,67,209.0,236,18.0,54.0,25,4,9,31,7,12
peroxisome,5,68,199.0,66,12.0,36.0,13,7,12,17,10,15
peroxisome,5,68,199.0,73,14.0,30.0,13,11,1,18,14,3
peroxisome,5,68,199.0,132,2.0,2.0,19,5,16,21,6,17
peroxisome,5,68,199.0,146,1.0,1.0,21,5,16,22,6,17
peroxisome,5,70,158.0,28,5.0,6.0,11,1,10,14,3,11
peroxisome,5,70,158.0,49,14.0,24.0,11,1,9,17,3,11
peroxisome,5,70,158.0,191,5.0,5.0,23,4,12,28,5,13
peroxisome,5,71,352.0,50,14.0,20.0,12,10,1,17,12,3
peroxisome,5,71,352.0,216,16.0,36.0,24,16,10,30,19,12
peroxisome,5,71,352.0,237,8.0,10.0,25,6,13,30,8,14
peroxisome,5,71,352.0,239,8.0,12.0,26,11,13,29,13,15
peroxisome,5,71,352.0,240,16.0,24.0,25,11,14,29,13,17
peroxisome,5,73,207.0,29,3.0,3.0,12,5,8,15,6,9
peroxisome,5,73,207.0,133,4.0,4.0,19,4,12,21,6,13
peroxisome,5,73,207.0,167,5.0,6.0,21,13,6,24,15,7
peroxisome,5,73,207.0,238,21.0,24.0,24,7,9,30,9,11
peroxisome,5,74,288.0,14,27.0,72.0,9,8,12,17,11,15
peroxisome,5,74,288.0,74,12.0,30.0,15,4,1,20,7,3
peroxisome,5,75,162.0,147,2.0,4.0,21,0,5,22,2,7
peroxisome,5,75,162.0,148,4.0,4.0,20,3,8,22,4,10
peroxisome,5,76,247.0,166,4.0,6.0,20,9,6,23,11,7
peroxisome,5,77,204.0,241,43.0,135.0,22,5,3,31,8,8
peroxisome,5,78,199.0,1,2.0,2.0,10,5,4,12,6,5
peroxisome,5,78,199.0,16,4.0,6.0,11,12,11,14,13,13
peroxisome,5,78,199.0,121,20.0,30.0,17,1,9,22,3,12
peroxisome,5,78,199.0,182,3.0,3.0,23,1,3,26,2,4
peroxisome,5,79,200.0,30,72.0,144.0,9,11,4,18,15,8
peroxisome,5,79,200.0,192,28.0,72.0,22,10,9,30,13,12
peroxisome,5,80,289.0,149,70.0,144.0,18,5,15,27,9,19
peroxisome,5,83,223.0,103,6.0,6.0,17,9,0,20,10,2
peroxisome,5,85,185.0,76,3.0,3.0,15,2,6,18,3,7
peroxisome,5,85,185.0,102,3.0,4.0,18,1,6,19,3,8
peroxisome,5,85,185.0,253,3.0,3.0,27,4,6,30,5,7
peroxisome,5,88,127.0,90,14.0,36.0,16,5,3,20,8,6
peroxisome,5,93,203.0,77,6.0,8.0,15,1,5,19,2,7
peroxisome,5,93,203.0,91,2.0,2.0,17,1,6,19,2,7
peroxisome,5,93,203.0,242,13.0,24.0,25,2,4,29,4,7
peroxisome,5,93,203.0,243,20.0,36.0,24,2,7,30,4,10
peroxisome,5,99,208.0,94,2.0,2.0,16,2,2,18,3,3
peroxisome,5,99,208.0,185,5.0,12.0,23,1,2,26,3,4
peroxisome,5,99,208.0,186,1.0,1.0,24,13,10,25,14,11
peroxisome,5,100,246.0,124,39.0,54.0,16,12,3,25,14,6
peroxisome,5,100,246.0,187,8.0,12.0,22,10,1,25,12,3
peroxisome,5,100,246.0,195,13.0,20.0,23,10,1,28,12,3
peroxisome,5,102,122.0,154,8.0,16.0,20,5,8,24,7,10
peroxisome,5,103,220.0,32,14.0,16.0,12,13,2,16,15,4
peroxisome,5,103,220.0,125,16.0,30.0,17,10,0,22,13,2
peroxisome,5,103,220.0,244,7.0,12.0,27,10,2,30,12,4
peroxisome,5,104,276.0,33,13.0,24.0,11,12,12,15,14,15
peroxisome,5,105,209.0,31,6.0,10.0,11,6,14,16,8,15
peroxisome,5,105,209.0,51,2.0,2.0,14,6,14,16,7,15
peroxisome,5,105,209.0,155,10.0,12.0,18,12,6,24,13,8
peroxisome,5,106,227.0,52,32.0,63.0,11,6,5,18,9,8
peroxisome,5,106,227.0,188,3.0,3.0,23,12,10,26,13,11
peroxisome,5,106,227.0,221,1.0,1.0,26,6,1,27,7,2
peroxisome,5,107,155.0,106,2.0,2.0,18,4,6,19,6,7
peroxisome,5,107,155.0,126,11.0,16.0,18,4,6,22,6,8
peroxisome,5,107,155.0,156,4.0,8.0,21,4,6,23,6,8
peroxisome,5,108,133.0,172,9.0,10.0,21,2,6,26,4,7
peroxisome,5,111,226.0,18,14.0,36.0,10,10,4,16,13,6
peroxisome,5,112,235.0,196,10.0,20.0,23,0,10,28,2,12
peroxisome,5,113,256.0,95,17.0,54.0,14,2,10,20,5,13
peroxisome,5,113,256.0,134,5.0,12.0,18,3,0,21,5,2
