organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
ER,1,321.0,65535,1276.0,10260.0,5,1,2,35,20,20
ER,2,253.0,65535,1013.0,10336.0,5,1,0,37,18,19
ER,3,187.0,65535,295.0,5400.0,6,1,0,36,13,15
ER,4,218.0,65535,635.0,6720.0,6,0,3,34,16,18
ER,5,339.0,65535,1655.0,15808.0,5,0,1,37,19,27
ER,6,182.0,65535,738.0,5916.0,6,0,0,35,12,17
ER,7,67.0,65535,203.0,1216.0,14,1,1,33,9,9
ER,8,59.0,65535,204.0,1408.0,7,0,2,29,8,10
ER,9,278.0,65535,544.0,8381.0,5,1,0,34,18,17
ER,10,131.0,65535,600.0,4368.0,5,1,1,33,14,13
ER,11,77.0,65535,209.0,2070.0,6,0,0,29,9,10
ER,12,183.0,65535,539.0,5265.0,5,1,0,32,16,13
ER,13,195.0,65535,746.0,6032.0,5,1,3,34,17,16
ER,14,214.0,65535,953.0,7680.0,5,0,2,35,16,18
ER,15,215.0,65535,692.0,7395.0,5,0,1,34,15,18
ER,16,250.0,65535,814.0,9765.0,6,0,1,37,15,22
ER,17,164.0,65535,701.0,5760.0,4,0,1,34,16,13
ER,18,268.0,65535,1161.0,8100.0,5,0,3,35,18,18
ER,19,176.0,65535,722.0,6045.0,5,1,0,36,16,13
ER,20,168.0,65535,812.0,5070.0,6,0,0,36,13,13
ER,21,186.0,65535,888.0,5239.0,4,0,2,35,13,15
ER,22,184.0,65535,536.0,5208.0,4,2,2,35,16,14
ER,23,543.0,65535,2362.0,21600.0,5,0,2,35,30,26
ER,24,209.0,65535,778.0,7395.0,6,0,0,35,15,17
ER,25,183.0,65535,746.0,6944.0,5,0,2,36,16,16
ER,26,210.0,65535,634.0,6525.0,5,0,2,34,15,17
ER,27,184.0,65535,922.0,5642.0,5,0,2,36,13,16
ER,28,77.0,65535,160.0,960.0,14,0,2,34,8,8
ER,29,172.0,65535,684.0,5880.0,5,1,2,35,15,16
ER,30,184.0,65535,625.0,6090.0,6,1,2,35,15,17
ER,31,115.0,65535,472.0,3276.0,6,1,2,34,10,15
ER,32,322.0,65535,1271.0,11718.0,6,0,0,37,18,21
ER,33,171.0,65535,859.0,5400.0,6,1,0,36,13,15
ER,34,119.0,65535,410.0,4004.0,5,0,1,33,13,12
ER,35,184.0,65535,666.0,6240.0,6,0,2,36,13,18
ER,36,233.0,65535,775.0,7830.0,5,0,0,34,15,18
ER,37,149.0,65535,425.0,4060.0,5,0,2,34,14,12
ER,38,250.0,65535,2.0,2.0,17,3,7,19,4,8
ER,39,281.0,65535,1372.0,10336.0,5,1,1,37,20,18
