organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
LD,1,178.0,545,10.0,12.0,10,5,6,13,7,8
LD,1,178.0,989,13.0,48.0,11,6,11,15,9,15
LD,1,178.0,1408,13.0,36.0,10,6,12,16,8,15
LD,1,178.0,1928,1.0,1.0,14,2,13,15,3,14
LD,1,178.0,1930,12.0,20.0,12,11,7,17,13,9
LD,1,178.0,2485,1.0,1.0,15,2,14,16,3,15
LD,1,178.0,3550,1.0,1.0,17,10,4,18,11,5
LD,1,178.0,4154,6.0,8.0,18,2,13,20,4,15
LD,1,178.0,5730,7.0,8.0,21,10,3,23,12,5
LD,1,178.0,6255,72.0,180.0,14,1,7,29,5,10
LD,2,175.0,204,1.0,1.0,10,8,12,11,9,13
LD,2,175.0,546,2.0,2.0,10,7,4,12,8,5
LD,2,175.0,1411,1.0,1.0,13,8,13,14,9,14
LD,2,175.0,1414,23.0,54.0,10,10,6,16,13,9
LD,2,175.0,1929,9.0,12.0,14,4,12,16,6,15
LD,2,175.0,1931,2.0,2.0,14,5,2,15,6,4
LD,2,175.0,1932,2.0,2.0,14,5,10,15,6,12
LD,2,175.0,2486,7.0,12.0,13,1,10,17,2,13
LD,2,175.0,2487,4.0,4.0,12,3,5,16,4,6
LD,2,175.0,2488,1.0,1.0,15,4,12,16,5,13
LD,2,175.0,2489,2.0,2.0,15,9,13,17,10,14
LD,2,175.0,3026,9.0,36.0,14,5,8,18,8,11
LD,2,175.0,3548,9.0,16.0,16,1,11,20,3,13
LD,2,175.0,3549,8.0,18.0,17,1,4,19,4,7
LD,2,175.0,4156,8.0,18.0,17,4,1,20,7,3
LD,2,175.0,4160,10.0,18.0,17,6,7,19,9,10
LD,2,175.0,4165,4.0,8.0,18,11,9,20,13,11
LD,2,175.0,5244,3.0,4.0,19,8,8,21,9,10
LD,2,175.0,5246,3.0,4.0,19,11,3,21,13,4
LD,2,175.0,5731,11.0,30.0,19,4,13,22,9,15
LD,2,175.0,5733,12.0,30.0,19,6,7,24,8,10
LD,2,175.0,5734,43.0,160.0,18,6,6,28,10,10
LD,2,175.0,6738,6.0,12.0,22,4,2,25,6,4
LD,2,175.0,7146,25.0,56.0,22,4,13,29,8,15
LD,2,175.0,7147,12.0,21.0,21,7,12,28,10,13
LD,2,175.0,7565,2.0,2.0,25,2,5,27,3,6
LD,2,175.0,7572,28.0,81.0,22,10,4,31,13,7
LD,2,175.0,7972,2.0,2.0,25,3,10,27,4,11
LD,2,175.0,8640,9.0,12.0,27,6,5,30,8,7
LD,2,175.0,8923,9.0,24.0,28,3,8,32,5,11
LD,3,187.0,1940,5.0,8.0,13,11,3,15,13,5
LD,3,187.0,1941,3.0,4.0,13,12,3,15,13,5
LD,3,187.0,3027,8.0,12.0,16,6,5,18,8,8
LD,3,187.0,3555,1.0,1.0,17,12,3,18,13,4
LD,3,187.0,4155,1.0,1.0,18,1,7,19,2,8
LD,3,187.0,4163,6.0,18.0,17,10,7,20,12,10
LD,3,187.0,4725,1.0,1.0,19,8,1,20,9,2
LD,3,187.0,4730,8.0,12.0,18,13,5,21,15,7
LD,3,187.0,5241,6.0,10.0,18,1,13,23,3,14
LD,3,187.0,5242,12.0,24.0,18,1,13,22,3,16
LD,3,187.0,5245,2.0,2.0,20,9,4,21,11,5
LD,3,187.0,5732,12.0,20.0,18,4,7,23,6,9
LD,3,187.0,6261,2.0,2.0,22,10,8,23,12,9
LD,3,187.0,6736,7.0,18.0,22,1,13,25,3,16
LD,3,187.0,6737,3.0,3.0,22,4,8,25,5,9
LD,3,187.0,6739,3.0,4.0,23,4,3,25,6,4
LD,3,187.0,7566,1.0,1.0,25,3,10,26,4,11
LD,3,187.0,7567,9.0,12.0,25,2,13,27,4,16
LD,3,187.0,7568,4.0,8.0,25,6,11,27,8,13
LD,3,187.0,8312,7.0,8.0,27,4,8,29,6,10
LD,3,187.0,9182,1.0,1.0,30,6,4,31,7,5
LD,3,187.0,9387,1.0,1.0,31,5,8,32,6,9
LD,4,141.0,1409,31.0,96.0,10,2,8,18,5,12
LD,4,141.0,1410,51.0,135.0,10,6,5,19,9,10
LD,4,141.0,1412,3.0,3.0,11,8,5,14,9,6
LD,4,141.0,1938,11.0,36.0,12,8,4,18,11,6
LD,4,141.0,3551,1.0,1.0,17,6,5,18,7,6
LD,4,141.0,4162,6.0,12.0,17,9,12,20,11,14
LD,4,141.0,4164,2.0,2.0,18,9,4,19,11,5
LD,4,141.0,5243,7.0,12.0,19,5,4,22,7,6
LD,4,141.0,5729,13.0,24.0,19,2,10,23,5,12
LD,4,141.0,5736,1.0,1.0,21,10,11,22,11,12
LD,4,141.0,6256,19.0,42.0,18,2,5,25,4,8
LD,4,141.0,6260,6.0,12.0,21,8,5,23,10,8
LD,4,141.0,6263,1.0,1.0,22,10,12,23,11,13
LD,4,141.0,7569,1.0,1.0,25,7,10,26,8,11
LD,4,141.0,8314,1.0,1.0,27,7,4,28,8,5
LD,4,141.0,8924,13.0,45.0,28,5,9,33,8,12
LD,5,110.0,547,17.0,36.0,9,5,5,13,8,8
LD,5,110.0,1413,15.0,45.0,12,5,5,15,10,8
LD,5,110.0,1933,14.0,24.0,13,2,3,17,4,6
LD,5,110.0,1939,14.0,48.0,13,6,4,16,10,8
LD,5,110.0,3025,1.0,1.0,16,2,4,17,3,5
LD,5,110.0,4158,16.0,45.0,17,1,4,22,4,7
LD,5,110.0,4723,5.0,6.0,18,4,8,21,6,9
LD,5,110.0,7145,9.0,12.0,24,1,3,26,4,5
LD,5,110.0,7148,1.0,1.0,24,4,10,25,5,11
LD,5,110.0,8313,1.0,1.0,27,3,9,28,4,10
LD,6,228.0,18,7.0,12.0,8,7,7,11,9,9
LD,6,228.0,206,2.0,2.0,10,9,4,11,11,5
LD,6,228.0,548,2.0,2.0,11,5,5,12,6,7
LD,6,228.0,550,3.0,4.0,10,13,9,12,14,11
LD,6,228.0,990,5.0,12.0,11,7,8,14,9,10
LD,6,228.0,993,4.0,4.0,11,14,8,13,15,10
LD,6,228.0,1415,5.0,8.0,12,7,9,16,9,10
LD,6,228.0,1417,3.0,4.0,13,10,2,14,12,4
LD,6,228.0,1419,1.0,1.0,13,12,13,14,13,14
LD,6,228.0,1420,4.0,8.0,13,13,5,15,15,7
LD,6,228.0,1935,6.0,12.0,13,4,3,15,6,6
LD,6,228.0,1936,1.0,1.0,14,4,16,15,5,17
LD,6,228.0,1942,3.0,4.0,13,9,2,15,11,3
LD,6,228.0,1943,2.0,2.0,14,9,9,15,10,11
LD,6,228.0,2492,7.0,18.0,14,9,14,17,12,16
LD,6,228.0,3028,8.0,12.0,14,11,12,17,13,14
LD,6,228.0,3553,2.0,2.0,16,6,17,18,7,18
LD,6,228.0,3557,1.0,1.0,17,9,11,18,10,12
LD,6,228.0,4157,22.0,36.0,14,1,11,20,3,14
LD,6,228.0,4159,12.0,16.0,17,2,6,21,4,8
LD,6,228.0,4167,8.0,12.0,17,12,2,19,14,5
LD,6,228.0,4724,14.0,36.0,15,3,3,21,6,5
LD,6,228.0,4726,2.0,2.0,19,6,16,20,7,18
LD,6,228.0,4728,19.0,32.0,15,8,8,23,10,10
LD,6,228.0,4729,1.0,1.0,19,10,11,20,11,12
LD,6,228.0,4732,14.0,36.0,18,10,2,21,14,5
LD,6,228.0,4734,41.0,144.0,13,12,11,25,15,15
LD,6,228.0,5250,1.0,1.0,20,15,8,21,16,9
LD,6,228.0,6257,12.0,30.0,21,2,6,26,4,9
LD,6,228.0,6258,9.0,12.0,22,1,12,25,3,14
LD,6,228.0,6259,1.0,1.0,22,5,3,23,6,4
LD,6,228.0,6742,4.0,4.0,22,9,5,26,10,6
LD,6,228.0,6743,5.0,6.0,23,13,12,26,15,13
LD,6,228.0,7151,17.0,48.0,23,9,2,27,12,6
LD,6,228.0,7570,10.0,24.0,21,4,15,27,6,17
