organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
mitochondria,1,188.0,49,1.0,1.0,3,10,10,4,11,11
mitochondria,1,188.0,617,40.0,120.0,5,0,9,8,8,14
mitochondria,1,188.0,620,68.0,396.0,5,5,0,9,16,9
mitochondria,1,188.0,1213,4.0,4.0,7,2,4,8,4,6
mitochondria,1,188.0,1862,36.0,144.0,15,11,0,18,17,8
mitochondria,1,188.0,2225,53.0,486.0,31,8,3,37,17,12
mitochondria,1,188.0,2293,1.0,1.0,32,4,12,33,5,13
mitochondria,1,188.0,2376,8.0,24.0,33,5,7,35,8,11
mitochondria,1,188.0,2460,16.0,72.0,34,4,1,37,8,7
mitochondria,1,188.0,2543,15.0,36.0,35,0,7,37,3,13
mitochondria,1,188.0,2545,4.0,6.0,35,9,0,37,12,1
mitochondria,1,188.0,2628,1.0,1.0,36,11,13,37,12,14
mitochondria,2,959.0,8,1.0,1.0,2,12,34,3,13,35
mitochondria,2,959.0,48,778.0,3640.0,3,3,26,31,16,36
mitochondria,2,959.0,622,3.0,4.0,5,10,27,7,12,28
mitochondria,2,959.0,628,1.0,1.0,5,20,35,6,21,36
mitochondria,2,959.0,631,663.0,5824.0,5,12,1,37,26,14
mitochondria,2,959.0,635,29.0,216.0,5,21,16,11,27,22
mitochondria,2,959.0,980,1.0,1.0,6,4,24,7,5,25
mitochondria,2,959.0,982,647.0,5115.0,6,0,9,37,11,24
mitochondria,2,959.0,985,1.0,1.0,6,10,9,7,11,10
mitochondria,2,959.0,991,166.0,1734.0,6,10,15,12,27,32
mitochondria,2,959.0,994,3.0,4.0,6,21,31,8,22,33
mitochondria,2,959.0,995,165.0,2160.0,6,18,24,14,33,42
mitochondria,2,959.0,1221,1.0,1.0,7,23,1,8,24,2
mitochondria,2,959.0,1368,4.0,8.0,8,10,16,10,12,18
mitochondria,2,959.0,1369,1.0,1.0,8,10,37,9,11,38
