experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
betaEstrodiol,10,3,0,ER,1,255,1469,23552,0,0,1,32,32,24
betaEstrodiol,10,3,0,ER,2,255,958,7140,0,0,0,34,14,15
betaEstrodiol,10,3,0,ER,3,255,1724,18360,0,0,0,34,20,27
betaEstrodiol,10,3,0,ER,4,255,931,8160,0,0,0,34,15,16
betaEstrodiol,10,3,0,ER,5,255,618,3828,5,0,0,34,11,12
betaEstrodiol,10,3,0,ER,6,255,1725,14688,0,0,0,34,24,18
betaEstrodiol,10,3,0,ER,7,255,265,19530,1,2,1,32,23,31
betaEstrodiol,10,3,0,ER,8,255,1346,16038,0,0,1,33,27,19
betaEstrodiol,10,3,0,ER,9,255,475,3240,0,0,0,27,12,10
betaEstrodiol,10,3,0,ER,10,255,1537,11016,0,1,0,34,19,18
betaEstrodiol,10,3,0,ER,11,255,1068,14112,0,1,1,32,22,22
betaEstrodiol,10,3,0,ER,12,255,181,2320,0,1,1,29,9,11
betaEstrodiol,10,3,0,ER,13,255,522,4312,5,0,0,33,11,14
betaEstrodiol,10,3,0,ER,14,255,1377,9180,0,0,0,34,18,15
betaEstrodiol,10,3,0,ER,15,255,2393,17952,0,0,1,34,22,25
betaEstrodiol,10,3,0,ER,16,255,1274,6825,0,2,0,35,17,13
betaEstrodiol,10,3,0,ER,17,255,361,11776,2,3,0,34,19,23
betaEstrodiol,10,3,0,ER,18,255,2148,15640,0,0,0,34,23,20
betaEstrodiol,10,3,0,ER,19,255,406,23680,1,1,1,33,21,38
betaEstrodiol,10,3,0,ER,20,255,5039,54560,0,1,1,31,45,41
betaEstrodiol,10,3,0,ER,21,255,563,27528,0,1,1,31,38,25
betaEstrodiol,10,3,0,ER,22,255,1464,11424,0,0,2,34,16,23
betaEstrodiol,10,3,0,ER,23,255,1615,34848,0,8,0,33,41,32
betaEstrodiol,10,3,0,ER,24,255,631,9280,3,1,1,32,17,21
betaEstrodiol,10,3,0,ER,25,255,639,4147,4,0,0,33,13,11
betaEstrodiol,10,3,0,ER,26,255,907,25056,0,2,1,32,29,30
betaEstrodiol,10,3,0,ER,27,255,93,1127,4,8,2,27,15,9
betaEstrodiol,10,3,0,ER,28,255,1515,10200,0,0,0,34,20,15
betaEstrodiol,10,3,0,ER,29,255,515,8835,2,4,0,33,23,15
betaEstrodiol,10,3,0,ER,30,255,263,2025,7,0,0,32,9,9
betaEstrodiol,10,3,0,ER,31,255,2251,14490,0,1,0,35,24,18
betaEstrodiol,10,3,0,ER,32,255,3529,86800,2,2,2,33,52,58
betaEstrodiol,10,3,0,ER,33,255,1631,15504,0,0,0,34,24,19
betaEstrodiol,10,3,0,ER,34,255,2332,17500,0,1,0,35,26,20
betaEstrodiol,10,3,0,ER,35,255,1542,12420,0,1,0,36,24,15
betaEstrodiol,10,3,0,ER,36,255,710,4576,0,0,0,32,13,11
betaEstrodiol,10,3,0,ER,37,255,1428,11016,0,1,0,34,19,18
betaEstrodiol,10,3,0,ER,38,255,895,4433,1,2,0,32,15,11
betaEstrodiol,10,3,0,ER,39,255,2037,23664,0,1,0,34,30,24
betaEstrodiol,10,3,0,ER,40,255,1757,13090,0,0,0,35,22,17
betaEstrodiol,10,3,0,ER,41,255,2151,20790,0,1,0,33,31,21
betaEstrodiol,10,3,0,ER,42,255,2798,23460,0,0,1,34,30,24
betaEstrodiol,10,3,0,ER,43,255,2613,16320,0,0,1,34,32,16
betaEstrodiol,10,3,0,ER,44,255,203,2016,0,11,4,32,18,13
betaEstrodiol,10,3,0,ER,45,255,1284,8160,0,0,1,34,20,13
betaEstrodiol,10,3,0,ER,46,255,2758,26588,0,1,0,34,24,34
betaEstrodiol,10,3,0,ER,47,255,902,6188,0,1,0,34,15,13
betaEstrodiol,10,3,0,ER,48,255,1025,8960,0,0,0,32,20,14
betaEstrodiol,10,3,0,ER,49,255,1985,14364,0,0,0,36,21,19
betaEstrodiol,10,3,0,ER,50,255,1944,24128,5,2,1,31,34,30
betaEstrodiol,10,3,0,ER,51,255,3159,30566,0,0,0,34,29,31
betaEstrodiol,10,3,0,ER,52,255,2340,16660,0,2,0,35,30,17
betaEstrodiol,10,3,0,ER,53,255,2268,22330,0,0,0,35,29,22
betaEstrodiol,10,3,0,ER,54,255,1528,37758,3,2,2,34,44,31
betaEstrodiol,10,3,0,ER,55,255,343,2808,5,0,1,31,12,10
betaEstrodiol,10,3,0,ER,56,255,279,2916,5,6,1,32,18,10
betaEstrodiol,10,3,0,ER,57,255,3783,27404,0,1,1,34,32,27
betaEstrodiol,10,3,0,ER,58,255,1089,21112,2,3,0,31,29,28
betaEstrodiol,10,3,0,ER,59,255,292,3861,3,0,0,30,11,13
betaEstrodiol,10,3,0,ER,60,255,2952,35224,0,1,0,37,35,28
betaEstrodiol,10,3,0,ER,61,255,67,312,8,2,4,21,6,10
betaEstrodiol,10,3,0,ER,62,255,1806,10659,2,0,1,35,17,20
betaEstrodiol,10,3,0,ER,63,255,2620,21560,1,0,0,36,22,28
betaEstrodiol,10,3,0,ER,64,255,1797,11760,2,0,0,37,14,24
betaEstrodiol,10,3,0,ER,65,255,2026,16380,2,1,0,37,19,26
betaEstrodiol,10,3,0,ER,66,255,1683,12240,2,3,0,36,18,24
betaEstrodiol,10,3,0,ER,67,255,1041,10710,2,0,1,37,18,18
betaEstrodiol,10,3,0,ER,68,255,1227,8976,4,0,0,37,17,16
