experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
betaEstrodiol,0,3,4,LD,1,330,5,6,8,10,5,11,11,7
betaEstrodiol,0,3,4,LD,1,519,11,24,9,3,10,13,6,12
betaEstrodiol,0,3,4,LD,1,688,2,2,11,6,3,13,7,4
betaEstrodiol,0,3,4,LD,1,850,1,1,12,5,3,13,6,4
betaEstrodiol,0,3,4,LD,1,1237,11,24,12,13,2,16,16,4
betaEstrodiol,0,3,4,LD,1,1398,16,45,13,4,6,18,7,9
betaEstrodiol,0,3,4,LD,1,1575,4,6,16,6,6,19,7,8
betaEstrodiol,0,3,4,LD,1,1576,8,16,14,10,7,18,12,9
betaEstrodiol,0,3,4,LD,1,1737,4,6,17,5,6,20,7,7
betaEstrodiol,0,3,4,LD,1,1738,4,8,17,14,2,19,16,4
betaEstrodiol,0,3,4,LD,1,2080,1,1,19,7,6,20,8,7
betaEstrodiol,0,3,4,LD,1,2221,3,4,20,6,6,22,8,7
betaEstrodiol,0,3,4,LD,1,2522,10,16,20,8,1,24,10,3
betaEstrodiol,0,3,4,LD,2,66,6,12,5,7,8,9,8,11
betaEstrodiol,0,3,4,LD,2,333,3,3,8,8,13,11,9,14
betaEstrodiol,0,3,4,LD,2,335,6,12,9,15,9,11,18,11
betaEstrodiol,0,3,4,LD,2,689,4,6,11,6,7,14,7,9
betaEstrodiol,0,3,4,LD,2,691,32,112,7,12,1,14,16,5
betaEstrodiol,0,3,4,LD,2,854,7,12,11,17,2,14,19,4
betaEstrodiol,0,3,4,LD,2,1041,2,2,12,11,6,14,12,7
betaEstrodiol,0,3,4,LD,2,1043,1,1,13,14,12,14,15,13
betaEstrodiol,0,3,4,LD,2,1044,29,54,11,15,3,14,18,9
betaEstrodiol,0,3,4,LD,2,1238,2,2,14,13,12,16,14,13
betaEstrodiol,0,3,4,LD,2,1402,10,36,13,11,6,17,14,9
betaEstrodiol,0,3,4,LD,2,1403,6,8,15,16,2,17,18,4
betaEstrodiol,0,3,4,LD,2,1740,4,6,16,6,11,19,7,13
betaEstrodiol,0,3,4,LD,2,1744,105,520,12,15,2,25,19,12
betaEstrodiol,0,3,4,LD,2,1922,12,32,16,15,1,24,17,3
betaEstrodiol,0,3,4,LD,2,2371,4,6,19,9,3,22,10,5
betaEstrodiol,0,3,4,LD,2,2524,14,36,20,9,2,26,11,5
betaEstrodiol,0,3,4,LD,2,2525,2,2,22,15,2,24,16,3
betaEstrodiol,0,3,4,LD,2,2866,18,63,21,11,6,28,14,9
betaEstrodiol,0,3,4,LD,3,7,10,20,5,10,12,10,12,14
betaEstrodiol,0,3,4,LD,3,64,16,32,6,5,9,10,7,13
betaEstrodiol,0,3,4,LD,3,65,3,3,6,6,13,9,7,14
betaEstrodiol,0,3,4,LD,3,332,6,12,8,5,9,11,7,11
betaEstrodiol,0,3,4,LD,3,852,4,8,12,14,2,14,16,4
betaEstrodiol,0,3,4,LD,3,855,1,1,12,17,18,13,18,19
betaEstrodiol,0,3,4,LD,3,856,6,8,10,20,15,14,22,16
betaEstrodiol,0,3,4,LD,3,1049,4,4,13,21,14,15,22,16
betaEstrodiol,0,3,4,LD,3,1399,94,336,9,2,2,23,6,8
betaEstrodiol,0,3,4,LD,3,1405,7,12,14,18,18,17,20,20
betaEstrodiol,0,3,4,LD,3,1408,23,42,12,21,10,19,23,13
betaEstrodiol,0,3,4,LD,3,1577,48,240,11,1,4,23,6,8
betaEstrodiol,0,3,4,LD,3,1739,9,24,15,4,12,19,7,14
betaEstrodiol,0,3,4,LD,3,1741,7,10,16,7,0,21,9,1
betaEstrodiol,0,3,4,LD,3,1745,3,3,16,18,5,19,19,6
betaEstrodiol,0,3,4,LD,3,1923,27,32,13,14,2,21,16,4
betaEstrodiol,0,3,4,LD,3,2081,13,24,19,3,2,21,6,6
betaEstrodiol,0,3,4,LD,3,2222,7,12,19,4,13,22,6,15
betaEstrodiol,0,3,4,LD,3,2223,4,6,20,8,1,23,10,2
betaEstrodiol,0,3,4,LD,3,2227,2,2,19,19,6,21,20,7
betaEstrodiol,0,3,4,LD,3,2229,1,1,20,20,16,21,21,17
betaEstrodiol,0,3,4,LD,3,2369,16,45,21,3,5,26,6,8
betaEstrodiol,0,3,4,LD,3,2372,8,10,20,8,19,25,10,20
betaEstrodiol,0,3,4,LD,3,2523,25,60,21,3,2,26,6,6
betaEstrodiol,0,3,4,LD,3,2526,17,30,20,17,16,25,20,18
betaEstrodiol,0,3,4,LD,3,2706,3,3,23,2,2,26,3,3
betaEstrodiol,0,3,4,LD,3,3014,9,10,23,16,10,28,18,11
betaEstrodiol,0,3,4,LD,3,3115,12,24,22,7,9,28,9,11
betaEstrodiol,0,3,4,LD,4,1,3,4,5,13,9,7,15,10
betaEstrodiol,0,3,4,LD,4,67,1,1,7,6,19,8,7,20
betaEstrodiol,0,3,4,LD,4,68,1,1,7,14,5,8,15,6
betaEstrodiol,0,3,4,LD,4,70,9,10,5,17,8,10,18,10
betaEstrodiol,0,3,4,LD,4,175,6,18,7,4,18,10,7,20
betaEstrodiol,0,3,4,LD,4,176,3,4,7,5,18,9,7,19
betaEstrodiol,0,3,4,LD,4,181,2,2,7,14,3,9,15,4
betaEstrodiol,0,3,4,LD,4,182,3,3,7,14,9,10,15,10
betaEstrodiol,0,3,4,LD,4,331,6,12,8,2,15,11,4,17
betaEstrodiol,0,3,4,LD,4,334,2,2,8,5,7,10,6,8
betaEstrodiol,0,3,4,LD,4,339,13,30,8,15,2,13,18,4
betaEstrodiol,0,3,4,LD,4,520,16,54,7,1,11,13,4,14
betaEstrodiol,0,3,4,LD,4,521,6,12,9,2,15,12,4,17
betaEstrodiol,0,3,4,LD,4,522,2,2,10,4,19,12,5,20
betaEstrodiol,0,3,4,LD,4,523,3,4,9,5,6,11,6,8
betaEstrodiol,0,3,4,LD,4,527,28,72,7,10,19,13,14,22
betaEstrodiol,0,3,4,LD,4,528,2,2,9,13,5,11,14,6
betaEstrodiol,0,3,4,LD,4,531,10,24,9,17,12,13,19,15
betaEstrodiol,0,3,4,LD,4,853,4,6,11,11,2,14,12,4
betaEstrodiol,0,3,4,LD,4,857,1,1,12,18,12,13,19,13
betaEstrodiol,0,3,4,LD,4,1048,1,1,13,17,2,14,18,3
betaEstrodiol,0,3,4,LD,4,1241,6,6,13,18,15,16,19,17
betaEstrodiol,0,3,4,LD,4,1400,7,8,13,1,17,17,3,18
betaEstrodiol,0,3,4,LD,4,1409,7,16,14,19,11,18,21,13
betaEstrodiol,0,3,4,LD,4,1924,9,20,16,14,19,21,16,21
betaEstrodiol,0,3,4,LD,4,2082,1,1,19,5,20,20,6,21
betaEstrodiol,0,3,4,LD,4,2230,5,8,19,20,8,23,21,10
betaEstrodiol,0,3,4,LD,4,2530,12,24,20,17,3,24,19,6
