experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
betaEstrodiol,10,3,2,1,124,18.637096774193548,425.0,13,419,26,432,0.2995608429582425
betaEstrodiol,10,3,2,2,495,34.85858585858586,435.09090909090907,21,424,50,447,0.584952551023596
betaEstrodiol,10,3,2,3,281,55.07473309608541,444.0391459074733,47,434,64,455,0.6157710745136311
betaEstrodiol,10,3,2,4,52,52.75,428.61538461538464,49,425,57,433,0.4085136414683458
betaEstrodiol,10,3,2,5,212,63.60849056603774,124.77358490566037,56,117,72,134,0.43291208167837913
betaEstrodiol,10,3,2,6,471,75.11252653927814,256.70063694267515,63,245,88,269,0.3747726528500585
betaEstrodiol,10,3,2,7,207,76.15458937198068,355.5845410628019,68,349,86,363,0.623934771017983
betaEstrodiol,10,3,2,8,375,81.56,233.10933333333332,72,222,92,246,0.5502978552929887
betaEstrodiol,10,3,2,9,411,91.97323600973236,342.5669099756691,83,329,103,358,0.7470727943505091
betaEstrodiol,10,3,2,10,431,125.74709976798144,101.20185614849188,115,89,137,115,0.550274399744772
betaEstrodiol,10,3,2,11,352,137.5028409090909,81.29545454545455,125,73,153,91,0.7883388142251684
betaEstrodiol,10,3,2,12,416,142.65384615384616,121.48557692307692,132,110,153,135,0.5148527112854338
betaEstrodiol,10,3,2,13,53,140.45283018867926,104.64150943396227,137,101,145,109,0.43056188979018273
betaEstrodiol,10,3,2,14,973,197.71736896197328,163.44295991778006,180,146,217,181,0.40007871548685076
betaEstrodiol,10,3,2,15,534,201.0,191.0374531835206,186,180,217,203,0.7198674082526216
betaEstrodiol,10,3,2,16,949,210.9704952581665,134.20337197049525,188,120,232,149,0.7636422105808959
betaEstrodiol,10,3,2,17,311,203.10610932475885,268.83279742765274,192,260,216,278,0.7931759837239775
betaEstrodiol,10,3,2,18,430,215.45116279069768,289.4325581395349,205,277,226,304,0.6390758025500074
betaEstrodiol,10,3,2,19,796,227.06155778894473,169.71859296482413,214,148,241,192,0.8815223516312357
betaEstrodiol,10,3,2,20,587,231.86371379897784,203.6695059625213,214,193,252,215,0.8914998860234385
betaEstrodiol,10,3,2,21,500,241.124,227.266,227,215,256,241,0.8439930615153286
betaEstrodiol,10,3,2,22,1093,250.9377859103385,134.48947849954254,232,114,272,156,0.7744675908937924
betaEstrodiol,10,3,2,23,272,246.18382352941177,79.77941176470588,237,71,257,90,0.53554943298687
betaEstrodiol,10,3,2,24,216,256.10185185185185,195.18055555555554,248,187,265,205,0.7596646856410852
betaEstrodiol,10,3,2,25,598,266.59866220735785,93.29431438127091,252,81,282,106,0.5759978324433551
betaEstrodiol,10,3,2,26,273,265.28205128205127,207.98534798534797,254,200,277,216,0.7500079293379658
betaEstrodiol,10,3,2,27,381,267.6666666666667,226.0262467191601,257,215,279,238,0.6237878209340318
betaEstrodiol,10,3,2,28,306,273.76797385620915,140.30718954248366,264,131,285,151,0.7301735952435792
betaEstrodiol,10,3,2,29,432,281.1666666666667,312.57175925925924,269,301,295,325,0.8078477081703866
betaEstrodiol,10,3,2,30,503,281.85487077534793,116.36779324055667,271,102,294,131,0.6576015108180501
betaEstrodiol,10,3,2,31,105,276.4190476190476,196.23809523809524,271,191,283,203,0.3550405305034448
betaEstrodiol,10,3,2,32,94,285.7340425531915,426.59574468085106,281,421,292,432,0.3495131303175361
betaEstrodiol,10,3,2,33,517,292.49709864603483,339.568665377176,282,325,303,356,0.7390750121364252
betaEstrodiol,10,3,2,34,417,302.43884892086334,415.1438848920863,290,402,314,429,0.8262574677853252
betaEstrodiol,10,3,2,35,175,304.4114285714286,320.09714285714284,297,313,312,329,0.6332089486105267
betaEstrodiol,10,3,2,36,371,320.0485175202156,386.4043126684636,312,373,329,401,0.7996233207091659
betaEstrodiol,10,3,2,37,563,330.6252220248668,412.56483126110123,315,400,348,424,0.7866623845686406
betaEstrodiol,10,3,2,38,654,334.4480122324159,438.9663608562691,322,425,349,455,0.46426779378685107
betaEstrodiol,10,3,2,39,219,342.3150684931507,316.83561643835617,334,309,352,325,0.5337835206576086
betaEstrodiol,10,3,2,40,367,359.01089918256133,426.850136239782,347,418,372,438,0.7709375921330018
betaEstrodiol,10,3,2,41,532,361.28195488721803,328.18045112781954,349,314,374,343,0.5695846031169948
betaEstrodiol,10,3,2,42,77,360.2857142857143,130.5974025974026,356,126,366,136,0.3619968801517115
betaEstrodiol,10,3,2,43,314,365.4331210191083,146.14331210191082,356,136,375,158,0.5409469245149628
betaEstrodiol,10,3,2,44,211,364.41706161137444,443.1563981042654,356,435,374,451,0.5337851644944582
betaEstrodiol,10,3,2,45,339,380.60766961651916,434.14454277286137,371,423,391,446,0.6458449048156372
betaEstrodiol,10,3,2,46,345,431.0405797101449,266.09565217391304,419,258,444,275,0.715929926057532
betaEstrodiol,10,3,2,47,120,425.2583333333333,147.1,420,141,432,154,0.21563983096541647
betaEstrodiol,10,3,2,48,399,435.56390977443607,179.08020050125313,424,168,448,192,0.7455494725943569
betaEstrodiol,10,3,2,49,356,440.82022471910113,158.58988764044943,429,149,454,169,0.7498624777923791
betaEstrodiol,10,3,2,50,892,458.3542600896861,256.0437219730942,444,237,473,276,0.6834186189015756
betaEstrodiol,10,3,2,51,139,454.2661870503597,178.87769784172662,448,173,462,186,0.5025488495606553
