experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
betaEstrodiol,10,3,7,golgi,1,3,6,12,13,5,4,16,7,6
betaEstrodiol,10,3,7,golgi,1,14,7,18,14,5,3,17,7,6
betaEstrodiol,10,3,7,golgi,1,40,2,2,16,17,26,17,19,27
betaEstrodiol,10,3,7,golgi,1,76,4,6,16,6,3,19,7,5
betaEstrodiol,10,3,7,golgi,1,77,12,36,16,17,26,20,20,29
betaEstrodiol,10,3,7,golgi,1,125,33,72,15,1,7,21,4,11
betaEstrodiol,10,3,7,golgi,1,127,4,6,17,12,0,20,13,2
betaEstrodiol,10,3,7,golgi,1,128,2,2,17,22,17,19,23,18
betaEstrodiol,10,3,7,golgi,1,199,4,6,18,9,19,21,10,21
betaEstrodiol,10,3,7,golgi,1,201,3,4,19,19,27,21,20,29
betaEstrodiol,10,3,7,golgi,1,203,17,24,16,22,23,22,24,25
betaEstrodiol,10,3,7,golgi,1,266,14,27,18,17,8,21,20,11
betaEstrodiol,10,3,7,golgi,1,268,2,2,19,23,19,21,24,20
betaEstrodiol,10,3,7,golgi,1,340,7,8,20,15,1,22,17,3
betaEstrodiol,10,3,7,golgi,1,342,39,108,18,17,6,27,20,10
betaEstrodiol,10,3,7,golgi,1,345,5,6,20,23,19,23,24,21
betaEstrodiol,10,3,7,golgi,1,443,28,36,20,2,8,26,4,11
betaEstrodiol,10,3,7,golgi,1,444,6,8,22,8,13,26,10,14
betaEstrodiol,10,3,7,golgi,1,447,14,36,21,13,0,24,17,3
betaEstrodiol,10,3,7,golgi,1,449,9,16,21,19,27,25,21,29
betaEstrodiol,10,3,7,golgi,1,584,5,6,23,8,12,26,9,14
betaEstrodiol,10,3,7,golgi,2,16,2,2,15,21,7,17,22,8
betaEstrodiol,10,3,7,golgi,2,78,5,8,15,14,13,19,15,15
betaEstrodiol,10,3,7,golgi,2,126,17,20,16,4,11,21,6,13
betaEstrodiol,10,3,7,golgi,2,131,16,63,15,24,9,22,27,12
betaEstrodiol,10,3,7,golgi,2,202,5,6,18,16,2,21,18,3
betaEstrodiol,10,3,7,golgi,2,267,5,12,19,13,14,22,15,16
betaEstrodiol,10,3,7,golgi,2,341,24,36,19,11,9,25,13,12
betaEstrodiol,10,3,7,golgi,2,343,5,12,20,12,14,23,14,16
betaEstrodiol,10,3,7,golgi,2,346,4,6,19,17,2,22,19,3
betaEstrodiol,10,3,7,golgi,2,350,36,80,18,22,11,28,26,13
betaEstrodiol,10,3,7,golgi,2,351,5,6,20,24,3,23,26,4
betaEstrodiol,10,3,7,golgi,2,445,30,54,18,3,15,27,5,18
betaEstrodiol,10,3,7,golgi,2,448,4,8,22,12,15,24,14,17
betaEstrodiol,10,3,7,golgi,2,450,1,1,22,16,8,23,17,9
betaEstrodiol,10,3,7,golgi,2,451,25,63,19,16,18,26,19,21
betaEstrodiol,10,3,7,golgi,2,583,2,2,24,2,13,26,3,14
betaEstrodiol,10,3,7,golgi,2,585,3,4,24,12,16,26,14,17
betaEstrodiol,10,3,7,golgi,2,586,35,72,20,18,0,28,21,3
betaEstrodiol,10,3,7,golgi,2,629,1,1,25,15,8,26,16,9
betaEstrodiol,10,3,7,golgi,3,15,8,10,13,11,3,18,13,4
betaEstrodiol,10,3,7,golgi,3,39,2,2,16,1,4,18,2,5
betaEstrodiol,10,3,7,golgi,3,42,18,36,14,11,7,20,14,9
betaEstrodiol,10,3,7,golgi,3,200,42,81,15,6,8,24,9,11
betaEstrodiol,10,3,7,golgi,3,446,6,12,21,3,9,24,5,11
betaEstrodiol,10,3,7,golgi,3,516,1,1,23,3,10,24,4,11
betaEstrodiol,10,3,7,golgi,3,517,3,3,23,13,6,26,14,7
betaEstrodiol,10,3,7,golgi,4,41,14,42,13,2,7,20,5,9
betaEstrodiol,10,3,7,golgi,4,79,6,12,16,10,5,19,12,7
betaEstrodiol,10,3,7,golgi,4,133,8,9,16,20,2,19,23,3
betaEstrodiol,10,3,7,golgi,4,204,22,42,18,7,13,25,10,15
betaEstrodiol,10,3,7,golgi,4,206,6,9,18,17,10,21,18,13
betaEstrodiol,10,3,7,golgi,4,209,18,54,16,20,2,22,23,5
betaEstrodiol,10,3,7,golgi,4,273,29,84,17,21,3,24,24,7
betaEstrodiol,10,3,7,golgi,4,344,3,4,20,3,7,22,4,9
betaEstrodiol,10,3,7,golgi,4,347,1,1,21,10,2,22,11,3
betaEstrodiol,10,3,7,golgi,4,348,8,24,18,10,5,22,12,8
betaEstrodiol,10,3,7,golgi,4,452,13,36,20,10,5,26,12,8
betaEstrodiol,10,3,7,golgi,4,454,29,45,20,14,11,25,17,14
betaEstrodiol,10,3,7,golgi,4,457,4,4,21,23,8,25,24,9
betaEstrodiol,10,3,7,golgi,5,43,1,1,16,4,15,17,5,16
betaEstrodiol,10,3,7,golgi,5,47,7,16,14,13,8,18,15,10
betaEstrodiol,10,3,7,golgi,5,271,16,30,18,11,14,23,13,17
betaEstrodiol,10,3,7,golgi,5,272,10,16,18,14,8,22,16,10
betaEstrodiol,10,3,7,golgi,5,352,3,4,21,11,16,23,13,17
betaEstrodiol,10,3,7,golgi,5,354,2,2,21,13,4,23,14,5
betaEstrodiol,10,3,7,golgi,5,355,2,2,21,14,9,22,16,10
betaEstrodiol,10,3,7,golgi,5,453,6,12,21,7,11,24,9,13
betaEstrodiol,10,3,7,golgi,5,519,4,6,22,4,16,25,5,18
betaEstrodiol,10,3,7,golgi,5,522,4,6,22,13,13,25,15,14
betaEstrodiol,10,3,7,golgi,5,587,1,1,24,4,17,25,5,18
betaEstrodiol,10,3,7,golgi,5,588,2,2,23,6,4,25,7,5
betaEstrodiol,10,3,7,golgi,5,591,6,10,23,13,6,28,14,8
betaEstrodiol,10,3,7,golgi,6,45,11,20,12,5,2,17,7,4
betaEstrodiol,10,3,7,golgi,6,46,14,36,13,5,10,19,7,13
betaEstrodiol,10,3,7,golgi,6,80,29,84,14,4,2,21,7,6
betaEstrodiol,10,3,7,golgi,6,129,4,4,17,0,9,21,1,10
