experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
betaEstrodiol,10,3,3,mitochondria,1,3,2288,12144,7,2,1,29,26,24
betaEstrodiol,10,3,3,mitochondria,1,48,5,6,12,10,10,14,13,11
betaEstrodiol,10,3,3,mitochondria,1,53,5,8,13,15,9,15,17,11
betaEstrodiol,10,3,3,mitochondria,1,59,2,2,14,11,7,15,12,9
betaEstrodiol,10,3,3,mitochondria,1,72,18,30,17,13,14,22,15,17
betaEstrodiol,10,3,3,mitochondria,1,74,16,80,18,12,7,23,16,11
betaEstrodiol,10,3,3,mitochondria,2,4,1635,7942,7,3,0,29,22,19
betaEstrodiol,10,3,3,mitochondria,2,54,1,1,13,13,13,14,14,14
betaEstrodiol,10,3,3,mitochondria,2,83,1,1,19,16,9,20,17,10
betaEstrodiol,10,3,3,mitochondria,3,1,2399,8400,7,0,0,28,20,20
betaEstrodiol,10,3,3,mitochondria,3,5,9,18,7,14,4,9,17,7
betaEstrodiol,10,3,3,mitochondria,3,12,12,16,8,7,1,12,11,2
betaEstrodiol,10,3,3,mitochondria,4,1,1877,6256,6,1,1,29,17,18
betaEstrodiol,10,3,3,mitochondria,5,6,871,3696,7,3,0,29,15,14
betaEstrodiol,10,3,3,mitochondria,5,107,2,2,26,9,12,27,11,13
betaEstrodiol,10,3,3,mitochondria,6,6,1808,10920,7,1,0,28,21,26
betaEstrodiol,10,3,3,mitochondria,6,32,50,140,10,10,13,14,15,20
betaEstrodiol,10,3,3,mitochondria,6,75,22,54,18,7,17,24,10,20
betaEstrodiol,10,3,3,mitochondria,7,8,1937,10962,7,1,0,28,19,29
betaEstrodiol,10,3,3,mitochondria,7,76,3,6,18,5,10,21,6,12
betaEstrodiol,10,3,3,mitochondria,7,87,10,18,20,7,13,23,9,16
betaEstrodiol,10,3,3,mitochondria,8,7,1559,5610,7,2,1,29,17,18
betaEstrodiol,10,3,3,mitochondria,8,108,1,1,26,7,11,27,8,12
betaEstrodiol,10,3,3,mitochondria,9,2,2186,13984,6,2,0,29,21,32
betaEstrodiol,10,3,3,mitochondria,9,73,22,30,17,11,6,22,14,8
betaEstrodiol,10,3,3,mitochondria,9,91,1,1,22,8,22,23,9,23
betaEstrodiol,10,3,3,mitochondria,10,2,785,4116,8,3,0,29,17,14
betaEstrodiol,10,3,3,mitochondria,10,39,2,2,11,8,5,13,9,6
betaEstrodiol,10,3,3,mitochondria,10,49,2,2,12,10,7,14,11,8
betaEstrodiol,10,3,3,mitochondria,10,60,1,1,14,6,6,15,7,7
betaEstrodiol,10,3,3,mitochondria,11,13,1174,4320,9,2,1,27,17,17
betaEstrodiol,10,3,3,mitochondria,12,10,974,4800,8,2,0,28,18,15
betaEstrodiol,10,3,3,mitochondria,12,50,1,1,12,8,5,13,9,6
betaEstrodiol,10,3,3,mitochondria,12,92,10,24,22,15,8,26,17,11
betaEstrodiol,10,3,3,mitochondria,12,106,7,45,25,2,3,28,5,8
betaEstrodiol,10,3,3,mitochondria,12,110,1,1,27,5,6,28,6,7
betaEstrodiol,10,3,3,mitochondria,13,14,971,5472,8,2,1,27,18,19
