experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
betaEstrodiol,10,3,4,peroxisome,1,7,19,24,11,10,6,17,12,8
betaEstrodiol,10,3,4,peroxisome,1,22,63,99,10,16,6,21,19,9
betaEstrodiol,10,3,4,peroxisome,1,52,26,45,11,7,15,16,10,18
betaEstrodiol,10,3,4,peroxisome,1,57,22,30,11,22,5,16,24,8
betaEstrodiol,10,3,4,peroxisome,1,105,22,54,13,24,10,19,27,13
betaEstrodiol,10,3,4,peroxisome,1,147,18,36,16,7,15,20,10,18
betaEstrodiol,10,3,4,peroxisome,1,148,1,1,17,12,17,18,13,18
betaEstrodiol,10,3,4,peroxisome,1,150,23,54,15,21,4,21,24,7
betaEstrodiol,10,3,4,peroxisome,1,151,16,30,14,25,8,19,27,11
betaEstrodiol,10,3,4,peroxisome,1,189,4,6,17,12,15,19,13,18
betaEstrodiol,10,3,4,peroxisome,1,221,3,4,18,26,10,20,28,11
betaEstrodiol,10,3,4,peroxisome,1,253,4,4,18,21,17,22,22,18
betaEstrodiol,10,3,4,peroxisome,1,282,24,48,19,11,7,23,14,11
betaEstrodiol,10,3,4,peroxisome,1,285,36,80,17,25,5,27,27,9
betaEstrodiol,10,3,4,peroxisome,1,314,8,24,21,23,10,27,25,12
betaEstrodiol,10,3,4,peroxisome,1,365,47,128,22,10,7,30,14,11
betaEstrodiol,10,3,4,peroxisome,1,370,18,36,20,20,13,26,23,15
betaEstrodiol,10,3,4,peroxisome,1,415,54,90,20,2,12,30,5,15
betaEstrodiol,10,3,4,peroxisome,1,416,47,81,20,3,5,29,6,8
betaEstrodiol,10,3,4,peroxisome,1,417,136,390,18,7,12,31,13,17
betaEstrodiol,10,3,4,peroxisome,2,2,3,3,10,9,6,13,10,7
betaEstrodiol,10,3,4,peroxisome,2,8,12,24,10,7,5,14,10,7
betaEstrodiol,10,3,4,peroxisome,2,19,15,45,12,0,11,17,3,14
betaEstrodiol,10,3,4,peroxisome,2,20,41,120,9,5,2,19,8,6
betaEstrodiol,10,3,4,peroxisome,2,21,37,81,9,6,14,18,9,17
betaEstrodiol,10,3,4,peroxisome,2,53,23,54,13,7,5,19,10,8
betaEstrodiol,10,3,4,peroxisome,2,187,5,12,17,6,14,20,8,16
betaEstrodiol,10,3,4,peroxisome,2,311,2,2,22,3,12,24,4,13
betaEstrodiol,10,3,4,peroxisome,2,367,104,180,16,10,12,31,13,16
betaEstrodiol,10,3,4,peroxisome,3,56,148,336,8,13,2,22,17,8
betaEstrodiol,10,3,4,peroxisome,3,283,54,128,16,7,0,24,11,4
betaEstrodiol,10,3,4,peroxisome,3,284,2,2,21,12,1,23,13,2
betaEstrodiol,10,3,4,peroxisome,3,313,23,45,18,12,5,23,15,8
betaEstrodiol,10,3,4,peroxisome,3,366,35,63,17,4,31,24,7,34
betaEstrodiol,10,3,4,peroxisome,3,368,166,272,14,7,22,31,11,26
betaEstrodiol,10,3,4,peroxisome,3,371,90,132,20,14,2,31,17,6
betaEstrodiol,10,3,4,peroxisome,3,418,127,384,15,1,29,31,7,33
betaEstrodiol,10,3,4,peroxisome,3,419,39,84,23,12,5,30,15,9
betaEstrodiol,10,3,4,peroxisome,3,464,31,45,24,4,31,29,7,34
betaEstrodiol,10,3,4,peroxisome,3,465,35,72,24,7,1,30,11,4
betaEstrodiol,10,3,4,peroxisome,4,54,33,48,10,8,6,16,12,8
betaEstrodiol,10,3,4,peroxisome,4,58,5,8,12,15,5,16,16,7
betaEstrodiol,10,3,4,peroxisome,4,103,11,30,14,5,1,19,7,4
betaEstrodiol,10,3,4,peroxisome,4,104,94,256,10,8,4,26,12,8
betaEstrodiol,10,3,4,peroxisome,4,106,11,30,13,14,7,18,16,10
betaEstrodiol,10,3,4,peroxisome,4,152,23,42,16,14,5,23,16,8
