experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
betaEstrodiol,10,3,7,vacuole,1,0,60,88,18,11,12,18,19,23
betaEstrodiol,10,3,7,vacuole,2,0,1,1,23,15,5,23,16,6
betaEstrodiol,10,3,7,vacuole,3,0,16,20,18,8,2,18,12,7
betaEstrodiol,10,3,7,vacuole,4,0,19,25,21,3,8,21,8,13
betaEstrodiol,10,3,7,vacuole,5,0,21,28,16,7,9,16,11,16
betaEstrodiol,10,3,7,vacuole,6,0,28,42,21,15,10,21,21,17
betaEstrodiol,10,3,7,vacuole,7,0,1,1,13,10,2,13,11,3
betaEstrodiol,10,3,7,vacuole,8,0,185,330,17,4,2,17,26,17
betaEstrodiol,10,3,7,vacuole,9,0,1,1,12,2,2,12,3,3
betaEstrodiol,10,3,7,vacuole,10,0,8,12,15,4,9,15,8,12
betaEstrodiol,10,3,7,vacuole,12,0,21,40,19,2,5,19,10,10
betaEstrodiol,10,3,7,vacuole,13,0,249,540,13,3,4,13,30,24
betaEstrodiol,10,3,7,vacuole,14,0,120,168,21,1,3,21,15,15
betaEstrodiol,10,3,7,vacuole,15,0,1,1,18,8,4,18,9,5
betaEstrodiol,10,3,7,vacuole,16,0,1,1,22,18,18,22,19,19
betaEstrodiol,10,3,7,vacuole,17,0,36,48,14,4,10,14,10,18
betaEstrodiol,10,3,7,vacuole,18,0,32,40,18,7,1,18,15,6
betaEstrodiol,10,3,7,vacuole,19,0,17,24,18,4,10,18,10,14
betaEstrodiol,10,3,7,vacuole,20,0,53,80,20,3,1,20,13,9
betaEstrodiol,10,3,7,vacuole,21,0,22,36,15,6,11,15,12,17
betaEstrodiol,10,3,7,vacuole,22,0,1,1,20,15,29,20,16,30
betaEstrodiol,10,3,7,vacuole,23,0,28,49,20,7,8,20,14,15
betaEstrodiol,10,3,7,vacuole,24,0,35,54,14,10,10,14,19,16
betaEstrodiol,10,3,7,vacuole,25,0,1,1,22,6,5,22,7,6
betaEstrodiol,10,3,7,vacuole,27,0,32,48,17,13,8,17,21,14
betaEstrodiol,10,3,7,vacuole,28,0,137,240,22,6,4,22,21,20
betaEstrodiol,10,3,7,vacuole,29,0,22,30,18,4,5,18,9,11
betaEstrodiol,10,3,7,vacuole,30,0,21,25,13,6,4,13,11,9
betaEstrodiol,10,3,7,vacuole,31,0,30,50,17,5,21,17,15,26
betaEstrodiol,10,3,7,vacuole,32,0,181,256,20,2,0,20,18,16
betaEstrodiol,10,3,7,vacuole,33,0,150,360,21,7,3,21,27,21
betaEstrodiol,10,3,7,vacuole,34,0,1,1,14,3,6,14,4,7
betaEstrodiol,10,3,7,vacuole,35,0,62,99,20,1,11,20,12,20
betaEstrodiol,10,3,7,vacuole,36,0,46,90,24,6,2,24,15,12
betaEstrodiol,10,3,7,vacuole,37,0,48,56,20,6,0,20,13,8
betaEstrodiol,10,3,7,vacuole,38,0,108,196,21,3,1,21,17,15
betaEstrodiol,10,3,7,vacuole,39,0,31,42,20,19,12,20,25,19
betaEstrodiol,10,3,7,vacuole,40,0,191,306,23,10,1,23,28,18
betaEstrodiol,10,3,7,vacuole,41,0,130,225,15,9,5,15,24,20
betaEstrodiol,10,3,7,vacuole,42,0,30,48,24,3,5,24,11,11
betaEstrodiol,10,3,7,vacuole,43,0,53,70,24,5,7,24,15,14
betaEstrodiol,10,3,7,vacuole,44,0,38,80,25,5,12,25,15,20
betaEstrodiol,10,3,7,vacuole,45,0,13,15,21,6,13,21,11,16
betaEstrodiol,10,3,7,vacuole,46,0,6,9,16,4,7,16,7,10
betaEstrodiol,10,3,7,vacuole,47,0,1,1,14,3,4,14,4,5
betaEstrodiol,10,3,7,vacuole,48,0,144,285,21,5,2,21,20,21
betaEstrodiol,10,3,7,vacuole,49,0,79,110,22,6,8,22,17,18
betaEstrodiol,10,3,7,vacuole,50,0,8,9,22,8,6,22,11,9
betaEstrodiol,10,3,7,vacuole,51,0,36,110,21,7,4,21,18,14
betaEstrodiol,10,3,7,vacuole,52,0,151,300,21,4,3,21,19,23
betaEstrodiol,10,3,7,vacuole,53,0,31,56,23,6,2,23,13,10
