experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
1nmpp1,0,3,1,ER,1,255,840,6048,0,1,0,27,17,14
1nmpp1,0,3,1,ER,4,255,957,7140,0,0,1,34,14,16
1nmpp1,0,3,1,ER,5,255,992,6480,0,0,0,27,15,16
1nmpp1,0,3,1,ER,6,255,721,4563,0,0,0,27,13,13
1nmpp1,0,3,1,ER,7,255,653,4368,0,0,1,24,13,15
1nmpp1,0,3,1,ER,8,255,502,4704,0,0,0,24,14,14
1nmpp1,0,3,1,ER,9,255,824,6048,0,0,0,27,16,14
1nmpp1,0,3,1,ER,10,255,807,4875,0,0,0,25,15,13
1nmpp1,0,3,1,ER,11,255,871,5952,0,1,0,31,13,16
1nmpp1,0,3,1,ER,12,255,672,4680,0,1,0,26,13,15
1nmpp1,0,3,1,ER,13,255,462,3120,0,0,1,26,10,13
1nmpp1,0,3,1,ER,14,255,232,1600,0,0,0,25,8,8
1nmpp1,0,3,1,ER,15,255,821,5850,0,1,0,26,16,15
1nmpp1,0,3,1,ER,16,255,1035,6630,0,0,1,26,17,16
1nmpp1,0,3,1,ER,17,255,994,7344,0,0,0,27,17,16
1nmpp1,0,3,1,ER,18,255,1069,7980,0,0,0,30,19,14
1nmpp1,0,3,1,ER,19,255,961,6375,0,0,0,25,15,17
1nmpp1,0,3,1,ER,20,255,759,5096,0,1,0,28,15,13
1nmpp1,0,3,1,ER,21,255,787,4368,0,0,0,24,13,14
1nmpp1,0,3,1,ER,22,255,689,4500,0,0,0,25,12,15
1nmpp1,0,3,1,ER,23,255,286,1872,0,1,0,26,9,9
1nmpp1,0,3,1,ER,24,255,905,4732,0,1,1,26,14,15
1nmpp1,0,3,1,ER,25,255,933,5460,0,0,0,28,13,15
1nmpp1,0,3,1,ER,26,255,718,6000,0,1,0,25,16,16
1nmpp1,0,3,1,ER,27,255,917,5600,0,0,0,25,14,16
1nmpp1,0,3,1,ER,28,255,808,6188,0,0,0,26,17,14
1nmpp1,0,3,1,ER,29,255,646,5460,0,1,0,30,15,13
1nmpp1,0,3,1,ER,30,255,275,1800,0,0,0,25,9,8
1nmpp1,0,3,1,ER,31,255,765,4225,0,0,0,25,13,13
1nmpp1,0,3,1,ER,32,255,839,4875,0,0,0,25,15,13
1nmpp1,0,3,1,ER,33,255,941,6422,0,1,0,26,20,13
1nmpp1,0,3,1,ER,34,255,840,4732,0,1,0,28,14,13
1nmpp1,0,3,1,ER,36,255,687,4056,0,0,0,26,12,13
1nmpp1,0,3,1,ER,37,255,832,5600,0,1,1,25,17,15
1nmpp1,0,3,1,ER,38,255,875,4896,0,1,0,24,18,12
1nmpp1,0,3,1,ER,39,255,549,3456,0,1,0,24,13,12
1nmpp1,0,3,1,ER,40,255,255,1680,0,1,0,21,11,8
1nmpp1,0,3,1,ER,42,255,567,3432,0,0,0,24,11,13
1nmpp1,0,3,1,ER,43,255,1068,6240,0,0,0,26,16,15
1nmpp1,0,3,1,ER,44,255,1082,9504,0,1,0,33,17,18
1nmpp1,0,3,1,ER,45,255,882,6240,0,1,0,26,17,15
1nmpp1,0,3,1,ER,47,255,816,5250,0,1,0,25,15,15
1nmpp1,0,3,1,ER,48,255,192,1863,0,1,0,23,10,9
1nmpp1,0,3,1,ER,49,255,893,6375,0,2,0,25,19,15
1nmpp1,0,3,1,ER,50,255,747,3872,0,1,0,22,17,11
1nmpp1,0,3,1,ER,51,255,367,2600,0,0,0,26,10,10
1nmpp1,0,3,1,ER,52,255,571,5376,0,0,0,24,16,14
1nmpp1,0,3,1,ER,53,255,650,4200,0,0,0,25,14,12
1nmpp1,0,3,1,ER,54,255,787,8640,0,0,0,36,15,16
1nmpp1,0,3,1,ER,55,255,880,5200,0,0,1,25,13,17
1nmpp1,0,3,1,ER,56,255,469,4680,0,1,0,30,13,13
1nmpp1,0,3,1,ER,58,255,1023,6048,0,0,0,27,16,14
1nmpp1,0,3,1,ER,59,255,864,5625,0,1,1,25,16,16
1nmpp1,0,3,1,ER,60,255,940,5880,0,1,0,28,16,14
1nmpp1,0,3,1,ER,61,255,750,6930,0,0,0,33,15,14
1nmpp1,0,3,1,ER,62,255,256,1760,0,1,0,22,9,10
1nmpp1,0,3,1,ER,63,255,1093,7695,0,3,0,27,18,19
