experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
1nmpp1,3000,3,5,LD,2,212,5,6,6,5,5,9,7,6
1nmpp1,3000,3,5,LD,2,326,2,2,9,6,7,10,8,8
1nmpp1,3000,3,5,LD,2,484,10,12,9,6,6,12,8,8
1nmpp1,3000,3,5,LD,2,655,8,12,10,1,4,12,3,7
1nmpp1,3000,3,5,LD,2,853,8,18,11,4,7,13,7,10
1nmpp1,3000,3,5,LD,2,1804,24,60,13,0,3,18,3,7
1nmpp1,3000,3,5,LD,2,1805,3,4,16,4,1,18,6,2
1nmpp1,3000,3,5,LD,2,1806,46,135,11,5,6,20,8,11
1nmpp1,3000,3,5,LD,2,2354,17,36,18,0,3,21,3,7
1nmpp1,3000,3,5,LD,2,2355,2,2,17,5,1,19,6,2
1nmpp1,3000,3,5,LD,2,2629,4,8,18,5,8,20,7,10
1nmpp1,3000,3,5,LD,2,3441,16,20,19,4,0,24,6,2
1nmpp1,3000,3,5,LD,2,3687,96,420,16,3,4,30,8,10
1nmpp1,3000,3,5,LD,4,213,5,12,7,6,3,10,8,5
1nmpp1,3000,3,5,LD,4,1283,74,280,7,4,1,21,9,5
1nmpp1,3000,3,5,LD,4,1538,6,8,15,8,2,17,10,4
1nmpp1,3000,3,5,LD,4,2074,9,16,17,7,2,21,9,4
1nmpp1,3000,3,5,LD,4,3442,1,1,22,9,2,23,10,3
1nmpp1,3000,3,5,LD,7,93,16,54,4,8,10,10,11,13
1nmpp1,3000,3,5,LD,7,94,4,4,6,10,10,10,11,11
1nmpp1,3000,3,5,LD,7,214,11,20,5,9,5,10,11,7
1nmpp1,3000,3,5,LD,7,328,2,2,9,9,6,10,11,7
1nmpp1,3000,3,5,LD,7,329,24,54,6,13,6,12,16,9
1nmpp1,3000,3,5,LD,7,486,8,18,10,15,6,13,17,9
1nmpp1,3000,3,5,LD,7,1540,2,2,14,8,6,16,9,7
1nmpp1,3000,3,5,LD,7,1541,3,4,14,9,1,16,10,3
1nmpp1,3000,3,5,LD,7,1544,1,1,15,15,11,16,16,12
1nmpp1,3000,3,5,LD,7,1807,9,18,15,5,11,18,8,13
1nmpp1,3000,3,5,LD,7,1808,12,24,14,9,1,18,12,3
1nmpp1,3000,3,5,LD,7,2075,3,3,17,5,3,20,6,4
1nmpp1,3000,3,5,LD,7,2356,18,45,14,8,4,19,11,7
1nmpp1,3000,3,5,LD,7,2630,5,6,19,9,11,21,12,12
1nmpp1,3000,3,5,LD,7,2632,3,4,18,12,10,20,13,12
1nmpp1,3000,3,5,LD,7,2920,3,4,20,4,3,22,6,4
1nmpp1,3000,3,5,LD,7,2922,1,1,20,10,4,21,11,5
1nmpp1,3000,3,5,LD,7,3196,18,45,17,5,10,22,8,13
1nmpp1,3000,3,5,LD,7,3197,1,1,21,10,5,22,11,6
1nmpp1,3000,3,5,LD,7,3198,3,4,21,11,5,23,12,7
1nmpp1,3000,3,5,LD,7,3443,8,16,20,12,10,24,14,12
1nmpp1,3000,3,5,LD,7,3688,5,12,22,9,4,24,11,7
1nmpp1,3000,3,5,LD,7,3692,5,12,22,11,2,25,13,4
1nmpp1,3000,3,5,LD,7,3973,68,250,21,4,7,31,9,12
