experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
1nmpp1,1500,3,4,1,145,8.717241379310344,274.0344827586207,3,267,15,282,0.6002475663534804
1nmpp1,1500,3,4,2,69,11.347826086956522,323.7826086956522,7,320,17,328,0.6044008411967691
1nmpp1,1500,3,4,3,221,16.56561085972851,390.579185520362,8,383,26,399,0.43211397628443354
1nmpp1,1500,3,4,4,134,17.03731343283582,169.78358208955223,11,163,24,177,0.681127758914331
1nmpp1,1500,3,4,5,206,19.00485436893204,454.40291262135923,11,447,29,463,0.6008809904255039
1nmpp1,1500,3,4,6,83,17.542168674698797,404.1927710843373,13,400,23,410,0.22823919047771318
1nmpp1,1500,3,4,7,145,21.09655172413793,365.5310344827586,15,359,28,373,0.5134177083137585
1nmpp1,1500,3,4,8,227,26.36123348017621,424.22907488986783,18,417,36,433,0.599361444062214
1nmpp1,1500,3,4,9,168,24.738095238095237,253.30357142857142,19,245,32,262,0.6016675347030335
1nmpp1,1500,3,4,10,131,24.740458015267176,474.39694656488547,19,468,31,482,0.5824897639814343
1nmpp1,1500,3,4,11,251,28.92828685258964,322.47808764940237,21,314,39,332,0.32515084113620685
1nmpp1,1500,3,4,12,276,30.369565217391305,273.05797101449275,22,263,41,283,0.39041898137512066
1nmpp1,1500,3,4,13,183,32.78688524590164,80.88524590163935,25,74,42,88,0.5829539396392808
1nmpp1,1500,3,4,14,262,33.95038167938932,173.06106870229007,25,165,44,182,0.2988777700547727
1nmpp1,1500,3,4,15,135,36.903703703703705,158.72592592592594,30,153,45,165,0.7313592804129228
1nmpp1,1500,3,4,16,140,39.48571428571429,246.75714285714287,33,240,46,254,0.611369999253854
1nmpp1,1500,3,4,17,269,41.79182156133829,335.57620817843866,33,324,52,345,0.3796057551719414
1nmpp1,1500,3,4,18,129,40.48837209302326,259.48837209302326,34,254,48,267,0.6704432862182479
1nmpp1,1500,3,4,19,338,44.80177514792899,288.3195266272189,35,278,55,300,0.46878399069637944
1nmpp1,1500,3,4,20,52,40.17307692307692,314.59615384615387,36,311,45,320,0.37281431530904735
1nmpp1,1500,3,4,22,144,50.71527777777778,46.31944444444444,44,40,58,54,0.6461702328603471
1nmpp1,1500,3,4,23,233,51.39914163090129,168.54077253218884,44,160,60,178,0.5038227734508605
1nmpp1,1500,3,4,24,220,58.52272727272727,255.62272727272727,50,247,68,265,0.6992752626418873
1nmpp1,1500,3,4,25,165,61.07878787878788,112.83030303030303,55,105,68,121,0.544979114276872
1nmpp1,1500,3,4,26,253,70.35177865612648,145.91304347826087,62,137,79,156,0.4742413902492528
1nmpp1,1500,3,4,27,277,73.22382671480145,245.45126353790613,65,236,83,256,0.5223830639629508
1nmpp1,1500,3,4,28,196,75.03571428571429,225.71938775510205,68,218,83,235,0.4438814767519533
1nmpp1,1500,3,4,29,181,80.95027624309392,131.49171270718233,73,125,90,139,0.5450478748167109
1nmpp1,1500,3,4,31,158,80.70886075949367,177.54430379746836,74,171,88,185,0.5913125191022888
1nmpp1,1500,3,4,32,118,81.94067796610169,161.76271186440678,77,155,88,169,0.6377627682895214
1nmpp1,1500,3,4,33,140,82.72142857142858,259.6714285714286,77,253,90,267,0.5904004261074433
1nmpp1,1500,3,4,34,165,83.96969696969697,363.6242424242424,77,357,92,372,0.5674099306846493
1nmpp1,1500,3,4,35,315,89.38412698412698,147.26349206349207,80,138,100,158,0.34625398043735556
1nmpp1,1500,3,4,36,114,85.34210526315789,237.2982456140351,80,230,91,246,0.7807874640424111
1nmpp1,1500,3,4,37,218,90.23853211009174,326.8348623853211,83,319,99,336,0.4004022553417577
1nmpp1,1500,3,4,38,110,87.98181818181818,486.7,83,481,95,494,0.5471675739207961
1nmpp1,1500,3,4,40,136,92.40441176470588,251.38235294117646,87,244,98,260,0.7410999234040135
1nmpp1,1500,3,4,41,291,96.70790378006873,37.65979381443299,88,27,106,49,0.6001487519140687
1nmpp1,1500,3,4,42,213,95.5774647887324,168.7699530516432,88,161,104,177,0.3744193662782791
1nmpp1,1500,3,4,43,264,98.52272727272727,234.4810606060606,90,224,108,245,0.6718808464026789
1nmpp1,1500,3,4,44,334,102.44610778443113,495.4850299401198,92,486,113,506,0.2906292508040815
1nmpp1,1500,3,4,45,76,96.90789473684211,181.21052631578948,93,177,102,187,0.4386825119994238
1nmpp1,1500,3,4,46,234,106.16666666666667,253.85470085470087,99,246,115,263,0.3340331666067545
1nmpp1,1500,3,4,47,175,107.34857142857143,429.8857142857143,100,423,116,438,0.6140959109815348
1nmpp1,1500,3,4,48,259,110.9034749034749,162.84169884169884,103,154,120,173,0.4838352811559844
1nmpp1,1500,3,4,49,128,112.0625,33.171875,106,28,119,40,0.4896769296979423
