experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
1nmpp1,1500,3,5,golgi,2,955,1,1,22,5,11,23,6,12
1nmpp1,1500,3,5,golgi,2,1051,2,2,23,5,2,24,7,3
1nmpp1,1500,3,5,golgi,2,1201,1,1,25,2,9,26,3,10
1nmpp1,1500,3,5,golgi,2,1202,23,60,24,6,0,29,10,3
1nmpp1,1500,3,5,golgi,2,1377,19,36,26,3,9,30,6,12
1nmpp1,1500,3,5,golgi,2,1378,7,16,26,6,1,30,8,3
1nmpp1,1500,3,5,golgi,2,1611,7,8,29,4,3,33,5,5
1nmpp1,1500,3,5,golgi,2,1612,25,72,27,4,8,33,8,11
1nmpp1,1500,3,5,golgi,4,242,1,1,14,3,3,15,4,4
1nmpp1,1500,3,5,golgi,4,591,1,1,18,3,4,19,4,5
1nmpp1,1500,3,5,golgi,4,868,1,1,21,1,5,22,2,6
1nmpp1,1500,3,5,golgi,4,869,1,1,21,8,1,22,9,2
1nmpp1,1500,3,5,golgi,4,1052,4,6,22,11,6,25,12,8
1nmpp1,1500,3,5,golgi,4,1614,8,18,29,5,6,32,8,8
1nmpp1,1500,3,5,golgi,4,1675,4,6,30,5,6,33,6,8
1nmpp1,1500,3,5,golgi,4,1787,15,30,32,5,6,37,8,8
1nmpp1,1500,3,5,golgi,6,153,1,1,13,1,5,14,2,6
1nmpp1,1500,3,5,golgi,6,405,7,10,15,0,7,20,1,9
1nmpp1,1500,3,5,golgi,6,592,2,2,17,4,9,19,5,10
1nmpp1,1500,3,5,golgi,6,1380,7,12,26,2,3,29,4,5
1nmpp1,1500,3,5,golgi,6,1613,6,12,28,2,3,31,4,5
1nmpp1,1500,3,5,golgi,6,1676,7,16,30,2,3,34,4,5
1nmpp1,1500,3,5,golgi,6,1736,5,6,31,7,3,34,8,5
1nmpp1,1500,3,5,golgi,7,91,4,6,11,5,5,14,7,6
1nmpp1,1500,3,5,golgi,7,155,3,4,12,6,5,14,8,6
1nmpp1,1500,3,5,golgi,7,782,4,6,19,8,1,21,9,4
1nmpp1,1500,3,5,golgi,7,870,2,2,21,9,15,23,10,16
1nmpp1,1500,3,5,golgi,7,1121,6,10,21,4,4,26,5,6
1nmpp1,1500,3,5,golgi,7,1282,1,1,26,1,6,27,2,7
1nmpp1,1500,3,5,golgi,7,1379,3,3,26,1,7,29,2,8
1nmpp1,1500,3,5,golgi,7,1381,2,2,26,9,15,28,10,16
1nmpp1,1500,3,5,golgi,9,154,4,4,12,2,0,14,3,2
1nmpp1,1500,3,5,golgi,9,244,97,224,9,5,5,23,9,9
1nmpp1,1500,3,5,golgi,9,593,3,3,18,10,10,21,11,11
1nmpp1,1500,3,5,golgi,10,156,11,20,10,3,6,15,5,8
1nmpp1,1500,3,5,golgi,10,157,4,4,12,10,4,14,11,6
1nmpp1,1500,3,5,golgi,10,243,3,4,14,3,5,16,4,7
1nmpp1,1500,3,5,golgi,10,690,2,2,19,12,6,20,13,8
1nmpp1,1500,3,5,golgi,10,783,32,63,18,6,12,25,9,15
1nmpp1,1500,3,5,golgi,10,872,5,5,20,12,6,25,13,7
1nmpp1,1500,3,5,golgi,10,1469,3,3,27,8,5,30,9,6
1nmpp1,1500,3,5,golgi,11,784,3,3,19,7,3,22,8,4
1nmpp1,1500,3,5,golgi,12,248,18,32,11,8,11,19,10,13
1nmpp1,1500,3,5,golgi,12,342,7,12,14,12,7,17,14,9
1nmpp1,1500,3,5,golgi,12,507,3,4,16,12,7,18,14,8
1nmpp1,1500,3,5,golgi,12,508,3,4,17,11,15,19,13,16
1nmpp1,1500,3,5,golgi,12,594,39,72,13,3,7,21,6,10
1nmpp1,1500,3,5,golgi,12,694,11,16,17,12,7,21,14,9
1nmpp1,1500,3,5,golgi,12,871,22,48,21,3,7,25,6,11
1nmpp1,1500,3,5,golgi,12,1283,1,1,26,4,8,27,5,9
1nmpp1,1500,3,5,golgi,12,1286,6,8,26,10,10,30,12,11
1nmpp1,1500,3,5,golgi,13,11,10,18,9,10,4,11,13,7
1nmpp1,1500,3,5,golgi,13,43,12,27,10,9,1,13,12,4
1nmpp1,1500,3,5,golgi,13,162,1,1,13,11,2,14,12,3
1nmpp1,1500,3,5,golgi,13,250,34,72,11,10,4,17,14,7
1nmpp1,1500,3,5,golgi,13,251,2,2,13,12,2,15,13,3
1nmpp1,1500,3,5,golgi,13,343,23,54,15,11,1,18,14,7
1nmpp1,1500,3,5,golgi,13,407,1,1,16,11,1,17,12,2
1nmpp1,1500,3,5,golgi,13,596,4,4,16,3,11,20,4,12
1nmpp1,1500,3,5,golgi,13,876,46,144,18,11,3,27,15,7
1nmpp1,1500,3,5,golgi,13,962,21,48,22,10,3,28,14,5
1nmpp1,1500,3,5,golgi,13,1473,11,16,27,10,3,31,12,5
1nmpp1,1500,3,5,golgi,13,1532,16,20,28,4,13,33,6,15
1nmpp1,1500,3,5,golgi,13,1534,3,4,29,10,11,31,12,12
1nmpp1,1500,3,5,golgi,13,1737,13,30,30,2,7,35,5,9
1nmpp1,1500,3,5,golgi,13,1827,9,16,33,2,7,37,4,9
1nmpp1,1500,3,5,golgi,14,158,5,6,12,4,4,15,5,6
1nmpp1,1500,3,5,golgi,14,408,40,90,11,10,0,21,13,3
1nmpp1,1500,3,5,golgi,14,597,7,8,17,3,2,21,5,3
1nmpp1,1500,3,5,golgi,14,695,6,12,19,10,1,22,12,3
1nmpp1,1500,3,5,golgi,14,873,4,4,21,6,13,23,7,15
1nmpp1,1500,3,5,golgi,14,957,10,20,20,3,1,25,5,3
1nmpp1,1500,3,5,golgi,14,1203,2,2,24,6,13,26,7,14
1nmpp1,1500,3,5,golgi,14,1285,6,8,25,6,13,29,7,15
1nmpp1,1500,3,5,golgi,14,1789,1,1,33,11,1,34,12,2
1nmpp1,1500,3,5,golgi,15,39,9,16,10,4,7,14,6,9
1nmpp1,1500,3,5,golgi,15,246,3,4,14,3,2,16,4,4
1nmpp1,1500,3,5,golgi,15,249,4,6,13,8,7,16,10,8
1nmpp1,1500,3,5,golgi,15,340,7,10,12,4,11,17,5,13
1nmpp1,1500,3,5,golgi,15,505,8,16,16,4,11,20,6,13
1nmpp1,1500,3,5,golgi,15,599,1,1,18,3,3,19,4,4
1nmpp1,1500,3,5,golgi,15,691,2,2,18,4,2,20,5,3
1nmpp1,1500,3,5,golgi,15,956,8,10,20,2,3,25,4,4
1nmpp1,1500,3,5,golgi,16,92,14,36,9,1,7,13,4,10
1nmpp1,1500,3,5,golgi,16,159,1,1,13,6,6,14,7,7
1nmpp1,1500,3,5,golgi,16,339,21,45,13,1,7,18,4,10
1nmpp1,1500,3,5,golgi,16,406,4,4,15,6,6,19,7,7
1nmpp1,1500,3,5,golgi,16,1284,12,30,23,1,3,28,4,5
1nmpp1,1500,3,5,golgi,16,1470,1,1,28,3,11,29,4,12
1nmpp1,1500,3,5,golgi,16,1677,4,4,29,7,2,33,8,3
