experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
1nmpp1,0,3,6,mitochondria,2,39,1060,9180,1,1,0,35,19,15
1nmpp1,0,3,6,mitochondria,2,205,17,42,3,15,4,6,17,11
1nmpp1,0,3,6,mitochondria,2,206,1,1,3,15,12,4,16,13
1nmpp1,0,3,6,mitochondria,2,455,217,1782,6,4,11,33,15,17
1nmpp1,0,3,6,mitochondria,2,456,2,2,6,18,8,7,19,10
1nmpp1,0,3,6,mitochondria,2,499,12,30,9,16,3,12,18,8
1nmpp1,0,3,6,mitochondria,2,517,28,84,10,16,8,17,19,12
1nmpp1,0,3,6,mitochondria,2,735,4,4,20,17,9,22,19,10
1nmpp1,0,3,6,mitochondria,2,837,1,1,24,12,3,25,13,4
1nmpp1,0,3,6,mitochondria,2,993,1,1,30,3,9,31,4,10
1nmpp1,0,3,6,mitochondria,3,96,583,3696,2,7,1,35,15,15
1nmpp1,0,3,6,mitochondria,3,203,42,216,3,3,2,12,7,8
1nmpp1,0,3,6,mitochondria,3,314,61,192,4,14,6,16,18,10
1nmpp1,0,3,6,mitochondria,3,399,1,1,5,2,12,6,3,13
1nmpp1,0,3,6,mitochondria,3,498,4,4,9,1,5,13,2,6
1nmpp1,0,3,6,mitochondria,3,557,2,2,12,1,10,14,2,11
1nmpp1,0,3,6,mitochondria,3,558,49,300,12,5,0,24,10,5
1nmpp1,0,3,6,mitochondria,3,647,105,390,17,0,5,30,5,11
1nmpp1,0,3,6,mitochondria,3,788,2,2,22,11,0,24,12,1
1nmpp1,0,3,6,mitochondria,3,1044,3,4,32,8,2,34,10,3
1nmpp1,0,3,6,mitochondria,4,99,601,2600,3,1,0,29,11,10
1nmpp1,0,3,6,mitochondria,4,453,1,1,6,2,9,7,3,10
1nmpp1,0,3,6,mitochondria,4,757,5,6,21,2,5,24,3,7
1nmpp1,0,3,6,mitochondria,4,861,4,4,25,8,8,29,9,9
1nmpp1,0,3,6,mitochondria,4,897,13,16,26,2,5,30,4,7
1nmpp1,0,3,6,mitochondria,4,974,14,24,29,6,4,33,8,7
1nmpp1,0,3,6,mitochondria,5,98,7,16,2,9,5,6,11,7
1nmpp1,0,3,6,mitochondria,5,204,745,4992,3,1,0,35,14,12
1nmpp1,0,3,6,mitochondria,5,626,142,288,16,1,13,34,5,17
1nmpp1,0,3,6,mitochondria,5,627,9,30,16,7,11,21,10,13
1nmpp1,0,3,6,mitochondria,5,699,3,4,19,0,7,21,2,8
1nmpp1,0,3,6,mitochondria,5,1016,2,2,31,13,7,32,14,9
1nmpp1,0,3,6,mitochondria,6,97,1236,7840,2,0,0,37,16,14
1nmpp1,0,3,6,mitochondria,6,860,1,1,25,6,12,26,7,13
1nmpp1,0,3,6,mitochondria,7,94,800,5460,2,0,0,37,13,12
1nmpp1,0,3,6,mitochondria,7,312,1,1,4,7,6,5,8,7
1nmpp1,0,3,6,mitochondria,7,454,1,1,6,1,9,7,2,10
1nmpp1,0,3,6,mitochondria,7,1045,4,4,32,8,10,34,9,12
1nmpp1,0,3,6,mitochondria,7,1064,3,3,33,4,8,34,5,11
1nmpp1,0,3,6,mitochondria,8,95,834,4488,2,0,2,36,12,13
1nmpp1,0,3,6,mitochondria,8,559,2,2,12,1,5,13,2,7
1nmpp1,0,3,6,mitochondria,8,700,4,8,19,3,11,21,5,13
1nmpp1,0,3,6,mitochondria,8,758,4,4,21,8,12,23,9,14
1nmpp1,0,3,6,mitochondria,9,99,855,5040,2,1,1,37,13,13
1nmpp1,0,3,6,mitochondria,9,313,1,1,4,8,12,5,9,13
1nmpp1,0,3,6,mitochondria,9,400,2,2,5,2,12,6,4,13
1nmpp1,0,3,6,mitochondria,9,701,2,2,19,7,5,20,8,7
1nmpp1,0,3,6,mitochondria,9,736,12,48,20,10,1,28,13,3
1nmpp1,0,3,6,mitochondria,10,40,622,4488,1,0,1,35,12,12
1nmpp1,0,3,6,mitochondria,10,401,1,1,5,3,10,6,4,11
1nmpp1,0,3,6,mitochondria,10,560,5,12,12,11,2,15,13,4
1nmpp1,0,3,6,mitochondria,10,677,5,12,18,8,1,21,10,3
1nmpp1,0,3,6,mitochondria,10,921,1,1,27,5,3,28,6,4
1nmpp1,0,3,6,mitochondria,10,951,62,308,28,1,2,35,12,6
1nmpp1,0,3,6,mitochondria,10,1065,3,4,33,13,7,35,14,9
1nmpp1,0,3,6,mitochondria,11,1,2,2,0,9,11,1,11,12
1nmpp1,0,3,6,mitochondria,11,100,1210,6930,2,1,0,35,15,15
1nmpp1,0,3,6,mitochondria,11,759,19,42,21,14,6,28,16,9
1nmpp1,0,3,6,mitochondria,11,975,2,2,29,14,7,30,15,9
1nmpp1,0,3,6,mitochondria,12,101,145,693,2,2,0,13,11,7
1nmpp1,0,3,6,mitochondria,12,315,1,1,4,9,8,5,10,9
1nmpp1,0,3,6,mitochondria,12,476,1,1,7,10,8,8,11,9
1nmpp1,0,3,6,mitochondria,12,477,654,4060,7,1,0,36,15,10
1nmpp1,0,3,6,mitochondria,12,500,1,1,9,4,8,10,5,9
1nmpp1,0,3,6,mitochondria,12,678,1,1,18,5,10,19,6,11
1nmpp1,0,3,6,mitochondria,13,402,17,60,5,3,0,9,6,5
1nmpp1,0,3,6,mitochondria,13,518,550,1750,10,0,0,35,7,10
1nmpp1,0,3,6,mitochondria,14,102,1031,7840,2,1,0,30,15,20
1nmpp1,0,3,6,mitochondria,14,811,14,27,23,3,10,26,6,13
1nmpp1,0,3,6,mitochondria,14,922,226,1440,27,1,3,37,13,15
1nmpp1,0,3,6,mitochondria,14,994,1,1,30,11,14,31,12,15
1nmpp1,0,3,6,mitochondria,14,1131,1,1,36,8,16,37,9,17
1nmpp1,0,3,6,mitochondria,15,41,1274,8925,1,0,0,36,17,15
1nmpp1,0,3,6,mitochondria,15,1066,1,1,33,3,12,34,4,13
1nmpp1,0,3,6,mitochondria,16,2,786,3456,0,1,0,36,9,12
1nmpp1,0,3,6,mitochondria,16,535,104,912,11,3,7,30,11,13
1nmpp1,0,3,6,mitochondria,16,628,1,1,17,9,12,18,10,13
1nmpp1,0,3,6,mitochondria,16,862,1,1,25,7,11,26,8,12
1nmpp1,0,3,6,mitochondria,16,863,5,6,25,8,3,28,9,5
1nmpp1,0,3,6,mitochondria,17,42,1298,6630,1,1,1,35,16,14
1nmpp1,0,3,6,mitochondria,17,612,1,1,15,8,0,16,9,1
1nmpp1,0,3,6,mitochondria,17,864,4,4,25,8,1,27,9,3
1nmpp1,0,3,6,mitochondria,17,865,1,1,25,12,11,26,13,12
1nmpp1,0,3,6,mitochondria,18,103,380,1064,2,2,0,21,9,8
1nmpp1,0,3,6,mitochondria,18,579,2,2,13,4,0,14,6,1
1nmpp1,0,3,6,mitochondria,18,679,6,18,18,4,0,21,6,3
1nmpp1,0,3,6,mitochondria,18,789,25,96,22,3,1,28,7,5
1nmpp1,0,3,6,mitochondria,18,1046,2,2,33,2,4,34,4,5
1nmpp1,0,3,6,mitochondria,18,1047,6,8,32,3,0,34,5,2
1nmpp1,0,3,6,mitochondria,18,1048,1,1,32,5,3,33,6,4
1nmpp1,0,3,6,mitochondria,19,104,844,4896,2,0,1,36,12,13
1nmpp1,0,3,6,mitochondria,19,403,2,2,5,5,13,7,6,14
1nmpp1,0,3,6,mitochondria,19,408,2,2,5,12,9,7,13,10
1nmpp1,0,3,6,mitochondria,19,477,2,2,14,2,10,16,3,11
1nmpp1,0,3,6,mitochondria,19,536,3,3,11,6,0,14,7,1
1nmpp1,0,3,6,mitochondria,19,628,29,72,16,5,0,25,9,2
1nmpp1,0,3,6,mitochondria,20,3,1140,7560,0,1,0,36,16,14
1nmpp1,0,3,6,mitochondria,20,210,3,3,3,11,14,6,12,15
1nmpp1,0,3,6,mitochondria,20,790,5,8,22,3,0,24,5,2
1nmpp1,0,3,6,mitochondria,20,812,5,12,23,7,2,26,9,4
1nmpp1,0,3,6,mitochondria,20,899,2,2,26,11,12,27,13,13
