experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
1nmpp1,1500,3,5,peroxisome,2,1042,2,2,32,7,8,34,8,9
1nmpp1,1500,3,5,peroxisome,2,1043,68,90,27,7,2,37,10,5
1nmpp1,1500,3,5,peroxisome,2,1090,2,2,33,7,7,35,8,8
1nmpp1,1500,3,5,peroxisome,2,1122,4,6,34,7,7,37,9,8
1nmpp1,1500,3,5,peroxisome,4,854,47,72,24,9,0,36,12,2
1nmpp1,1500,3,5,peroxisome,6,619,1,1,24,6,6,25,7,7
1nmpp1,1500,3,5,peroxisome,6,762,85,168,20,0,8,34,4,11
1nmpp1,1500,3,5,peroxisome,6,904,2,2,30,6,6,32,7,7
1nmpp1,1500,3,5,peroxisome,7,134,5,5,11,1,8,16,2,9
1nmpp1,1500,3,5,peroxisome,7,181,14,24,11,0,11,17,2,13
1nmpp1,1500,3,5,peroxisome,7,182,62,176,10,2,12,21,6,16
1nmpp1,1500,3,5,peroxisome,7,277,9,16,17,0,11,21,2,13
1nmpp1,1500,3,5,peroxisome,7,572,28,48,16,1,4,24,3,7
1nmpp1,1500,3,5,peroxisome,7,617,23,54,24,1,4,33,3,7
1nmpp1,1500,3,5,peroxisome,7,618,2,2,23,2,14,25,3,15
1nmpp1,1500,3,5,peroxisome,7,668,58,192,19,12,8,31,16,12
1nmpp1,1500,3,5,peroxisome,7,763,15,16,25,1,14,29,3,16
1nmpp1,1500,3,5,peroxisome,7,802,12,24,28,13,8,32,15,11
1nmpp1,1500,3,5,peroxisome,7,853,7,12,29,1,14,32,3,16
1nmpp1,1500,3,5,peroxisome,7,905,26,56,24,8,10,31,10,14
1nmpp1,1500,3,5,peroxisome,7,998,65,156,24,8,11,37,12,14
1nmpp1,1500,3,5,peroxisome,9,620,31,63,21,3,6,28,6,9
1nmpp1,1500,3,5,peroxisome,9,997,50,81,28,1,1,37,4,4
1nmpp1,1500,3,5,peroxisome,10,365,19,20,16,4,12,21,6,14
1nmpp1,1500,3,5,peroxisome,10,460,4,8,21,4,12,23,6,14
1nmpp1,1500,3,5,peroxisome,10,1000,74,132,26,12,5,37,15,9
1nmpp1,1500,3,5,peroxisome,10,1046,59,120,27,9,10,37,12,14
1nmpp1,1500,3,5,peroxisome,10,1157,33,60,32,9,1,37,12,5
1nmpp1,1500,3,5,peroxisome,11,183,37,96,11,5,2,19,8,6
1nmpp1,1500,3,5,peroxisome,12,186,19,36,11,13,4,20,15,6
1nmpp1,1500,3,5,peroxisome,12,234,128,340,7,9,7,24,14,11
1nmpp1,1500,3,5,peroxisome,12,857,9,12,26,15,6,32,16,8
1nmpp1,1500,3,5,peroxisome,12,1047,28,45,31,5,5,36,8,8
1nmpp1,1500,3,5,peroxisome,12,1050,7,10,32,15,7,37,16,9
1nmpp1,1500,3,5,peroxisome,12,1158,11,24,35,5,5,37,8,9
1nmpp1,1500,3,5,peroxisome,13,233,63,160,13,6,2,21,10,7
1nmpp1,1500,3,5,peroxisome,13,280,52,81,13,13,3,22,16,6
1nmpp1,1500,3,5,peroxisome,13,366,77,168,12,0,8,26,3,12
1nmpp1,1500,3,5,peroxisome,13,1045,77,132,26,0,8,37,3,12
1nmpp1,1500,3,5,peroxisome,13,1123,44,63,30,7,11,37,10,14
1nmpp1,1500,3,5,peroxisome,14,2,18,28,7,2,5,14,4,7
1nmpp1,1500,3,5,peroxisome,14,48,21,42,9,3,1,16,6,3
1nmpp1,1500,3,5,peroxisome,14,50,28,54,9,11,6,15,14,9
1nmpp1,1500,3,5,peroxisome,14,185,12,36,12,9,0,18,12,2
1nmpp1,1500,3,5,peroxisome,14,279,13,21,14,7,0,21,10,1
1nmpp1,1500,3,5,peroxisome,14,463,49,90,17,1,13,27,4,16
1nmpp1,1500,3,5,peroxisome,14,575,49,90,19,9,13,29,12,16
1nmpp1,1500,3,5,peroxisome,14,803,1,1,28,10,13,29,11,14
1nmpp1,1500,3,5,peroxisome,15,14,3,3,10,3,7,13,4,8
1nmpp1,1500,3,5,peroxisome,15,237,28,72,12,9,7,18,13,10
1nmpp1,1500,3,5,peroxisome,15,329,40,72,17,10,7,25,13,10
1nmpp1,1500,3,5,peroxisome,15,806,4,4,26,13,6,30,14,7
1nmpp1,1500,3,5,peroxisome,15,908,3,3,30,13,6,33,14,7
1nmpp1,1500,3,5,peroxisome,15,1160,27,54,31,6,8,37,9,11
1nmpp1,1500,3,5,peroxisome,16,184,76,260,9,2,9,22,7,13
1nmpp1,1500,3,5,peroxisome,16,367,76,165,15,2,10,26,7,13
1nmpp1,1500,3,5,peroxisome,16,369,3,3,17,9,4,20,10,5
1nmpp1,1500,3,5,peroxisome,17,47,18,45,10,1,4,15,4,7
1nmpp1,1500,3,5,peroxisome,17,279,9,16,14,6,7,22,8,8
1nmpp1,1500,3,5,peroxisome,17,406,34,84,16,3,1,23,6,5
