experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
1nmpp1,500,3,5,vacuole,1,0,8,9,13,4,3,13,7,6
1nmpp1,500,3,5,vacuole,2,0,9,9,11,3,3,11,6,6
1nmpp1,500,3,5,vacuole,4,0,1,1,13,4,10,13,5,11
1nmpp1,500,3,5,vacuole,5,0,22,30,27,4,4,27,9,10
1nmpp1,500,3,5,vacuole,7,0,15,30,18,5,3,18,11,8
1nmpp1,500,3,5,vacuole,8,0,12,16,25,2,3,25,6,7
1nmpp1,500,3,5,vacuole,10,0,15,20,22,5,6,22,10,10
1nmpp1,500,3,5,vacuole,11,0,22,36,25,2,2,25,8,8
1nmpp1,500,3,5,vacuole,13,0,16,20,27,8,8,27,12,13
1nmpp1,500,3,5,vacuole,14,0,29,36,17,2,5,17,8,11
1nmpp1,500,3,5,vacuole,15,0,3,4,12,3,5,12,5,7
1nmpp1,500,3,5,vacuole,16,0,24,30,25,7,3,25,13,8
1nmpp1,500,3,5,vacuole,17,0,15,20,28,1,3,28,6,7
1nmpp1,500,3,5,vacuole,18,0,12,16,12,4,5,12,8,9
1nmpp1,500,3,5,vacuole,19,0,24,36,21,6,6,21,12,12
1nmpp1,500,3,5,vacuole,20,0,14,20,13,4,2,13,8,7
1nmpp1,500,3,5,vacuole,21,0,9,12,20,6,5,20,9,9
1nmpp1,500,3,5,vacuole,22,0,4,4,22,7,11,22,9,13
1nmpp1,500,3,5,vacuole,24,0,6,9,21,2,0,21,5,3
1nmpp1,500,3,5,vacuole,25,0,54,81,26,2,2,26,11,11
1nmpp1,500,3,5,vacuole,26,0,4,4,21,4,10,21,6,12
1nmpp1,500,3,5,vacuole,27,0,24,30,21,7,9,21,13,14
1nmpp1,500,3,5,vacuole,28,0,1,1,18,4,8,18,5,9
1nmpp1,500,3,5,vacuole,30,0,13,15,17,8,6,17,11,11
1nmpp1,500,3,5,vacuole,31,0,3,4,13,6,2,13,8,4
1nmpp1,500,3,5,vacuole,32,0,5,6,17,10,5,17,13,7
1nmpp1,500,3,5,vacuole,33,0,16,20,26,1,3,26,6,7
1nmpp1,500,3,5,vacuole,34,0,33,42,19,3,3,19,10,9
1nmpp1,500,3,5,vacuole,37,0,15,20,13,7,9,13,11,14
1nmpp1,500,3,5,vacuole,39,0,19,24,13,6,5,13,10,11
1nmpp1,500,3,5,vacuole,41,0,52,81,18,6,3,18,15,12
1nmpp1,500,3,5,vacuole,42,0,45,56,16,10,8,16,18,15
1nmpp1,500,3,5,vacuole,43,0,31,36,19,1,1,19,7,7
1nmpp1,500,3,5,vacuole,45,0,8,9,17,3,6,17,6,9
1nmpp1,500,3,5,vacuole,47,0,16,25,17,5,2,17,10,7
1nmpp1,500,3,5,vacuole,48,0,25,35,21,7,4,21,12,11
1nmpp1,500,3,5,vacuole,49,0,1,1,18,6,6,18,7,7
1nmpp1,500,3,5,vacuole,50,0,26,30,26,2,1,26,8,6
1nmpp1,500,3,5,vacuole,51,0,33,70,26,3,2,26,10,12
1nmpp1,500,3,5,vacuole,52,0,4,6,23,6,2,23,8,5
1nmpp1,500,3,5,vacuole,53,0,21,25,28,1,2,28,6,7
1nmpp1,500,3,5,vacuole,54,0,6,6,19,2,1,19,4,4
1nmpp1,500,3,5,vacuole,55,0,29,35,21,2,5,21,7,12
1nmpp1,500,3,5,vacuole,56,0,33,42,26,9,6,26,15,13
1nmpp1,500,3,5,vacuole,58,0,5,6,19,2,3,19,5,5
1nmpp1,500,3,5,vacuole,59,0,7,12,27,6,2,27,10,5
1nmpp1,500,3,5,vacuole,60,0,16,16,21,2,4,21,6,8
1nmpp1,500,3,5,vacuole,61,0,21,25,25,7,4,25,12,9
1nmpp1,500,3,5,vacuole,62,0,28,42,26,3,7,26,10,13
1nmpp1,500,3,5,vacuole,63,0,15,16,19,6,6,19,10,10
1nmpp1,500,3,5,vacuole,64,0,10,12,11,2,5,11,6,8
1nmpp1,500,3,5,vacuole,65,0,60,88,22,2,2,22,13,10
1nmpp1,500,3,5,vacuole,66,0,36,42,26,2,1,26,8,8
1nmpp1,500,3,5,vacuole,67,0,16,16,14,2,5,14,6,9
1nmpp1,500,3,5,vacuole,68,0,13,16,26,4,3,26,8,7
1nmpp1,500,3,5,vacuole,69,0,27,36,21,1,4,21,7,10
1nmpp1,500,3,5,vacuole,70,0,11,12,20,2,1,20,5,5
1nmpp1,500,3,5,vacuole,71,0,6,8,14,2,5,14,6,7
1nmpp1,500,3,5,vacuole,72,0,30,48,18,2,8,18,10,14
1nmpp1,500,3,5,vacuole,73,0,28,42,24,5,3,24,12,9
1nmpp1,500,3,5,vacuole,75,0,34,72,21,2,0,21,10,9
1nmpp1,500,3,5,vacuole,76,0,13,16,16,8,4,16,12,8
1nmpp1,500,3,5,vacuole,77,0,1,1,21,5,5,21,6,6
1nmpp1,500,3,5,vacuole,78,0,23,25,22,5,4,22,10,9
1nmpp1,500,3,5,vacuole,79,0,21,30,19,6,8,19,11,14
1nmpp1,500,3,5,vacuole,81,0,19,30,25,1,1,25,6,7
1nmpp1,500,3,5,vacuole,82,0,11,12,19,3,2,19,7,5
1nmpp1,500,3,5,vacuole,83,0,34,48,22,7,3,22,13,11
1nmpp1,500,3,5,vacuole,84,0,15,16,19,9,5,19,13,9
1nmpp1,500,3,5,vacuole,85,0,16,20,18,5,9,18,10,13
1nmpp1,500,3,5,vacuole,86,0,7,9,22,2,0,22,5,3
1nmpp1,500,3,5,vacuole,88,0,42,60,26,8,0,26,14,10
1nmpp1,500,3,5,vacuole,89,0,1,1,18,13,10,18,14,11
1nmpp1,500,3,5,vacuole,90,0,19,25,22,7,4,22,12,9
1nmpp1,500,3,5,vacuole,91,0,7,9,23,5,8,23,8,11
1nmpp1,500,3,5,vacuole,93,0,1,1,11,5,4,11,6,5
1nmpp1,500,3,5,vacuole,94,0,8,9,30,3,3,30,6,6
1nmpp1,500,3,5,vacuole,96,0,10,12,11,3,4,11,6,8
1nmpp1,500,3,5,vacuole,97,0,6,6,11,2,2,11,5,4
1nmpp1,500,3,5,vacuole,98,0,20,25,11,4,2,11,9,7
1nmpp1,500,3,5,vacuole,99,0,12,12,14,3,8,14,7,11
1nmpp1,500,3,5,vacuole,101,0,7,9,11,3,8,11,6,11
1nmpp1,500,3,5,vacuole,102,0,17,20,21,7,5,21,11,10
1nmpp1,500,3,5,vacuole,103,0,7,9,22,3,1,22,6,4
1nmpp1,500,3,5,vacuole,104,0,16,20,25,3,2,25,7,7
1nmpp1,500,3,5,vacuole,105,0,8,9,25,3,4,25,6,7
1nmpp1,500,3,5,vacuole,106,0,7,9,10,2,2,10,5,5
1nmpp1,500,3,5,vacuole,107,0,45,54,21,5,8,21,14,14
1nmpp1,500,3,5,vacuole,108,0,24,30,16,7,9,16,12,15
1nmpp1,500,3,5,vacuole,109,0,13,16,20,3,1,20,7,5
1nmpp1,500,3,5,vacuole,110,0,17,18,12,6,9,12,12,12
1nmpp1,500,3,5,vacuole,112,0,35,45,20,9,3,20,14,12
1nmpp1,500,3,5,vacuole,115,0,28,36,16,5,2,16,11,8
1nmpp1,500,3,5,vacuole,116,0,13,16,15,2,2,15,6,6
1nmpp1,500,3,5,vacuole,117,0,6,6,20,7,1,20,9,4
1nmpp1,500,3,5,vacuole,118,0,11,12,14,3,2,14,7,5
1nmpp1,500,3,5,vacuole,119,0,20,30,18,2,7,18,7,13
1nmpp1,500,3,5,vacuole,121,0,23,25,16,7,3,16,12,8
1nmpp1,500,3,5,vacuole,122,0,59,99,20,3,2,20,12,13
1nmpp1,500,3,5,vacuole,123,0,12,12,28,9,9,28,13,12
1nmpp1,500,3,5,vacuole,124,0,7,8,17,5,5,17,7,9
1nmpp1,500,3,5,vacuole,127,0,12,12,17,3,3,17,6,7
1nmpp1,500,3,5,vacuole,128,0,7,9,29,5,4,29,8,7
1nmpp1,500,3,5,vacuole,129,0,2,2,22,2,1,22,4,2
1nmpp1,500,3,5,vacuole,130,0,3,4,22,1,7,22,3,9
1nmpp1,500,3,5,vacuole,131,0,9,9,17,4,9,17,7,12
1nmpp1,500,3,5,vacuole,132,0,10,12,19,1,4,19,4,8
1nmpp1,500,3,5,vacuole,133,0,28,54,29,4,3,29,10,12
1nmpp1,500,3,5,vacuole,134,0,36,63,20,3,4,20,12,11
1nmpp1,500,3,5,vacuole,135,0,1,1,27,6,3,27,7,4
1nmpp1,500,3,5,vacuole,136,0,18,30,14,5,2,14,11,7
1nmpp1,500,3,5,vacuole,137,0,18,24,21,3,2,21,9,6
1nmpp1,500,3,5,vacuole,138,0,1,1,18,4,5,18,5,6
1nmpp1,500,3,5,vacuole,139,0,10,12,32,4,6,32,8,9
1nmpp1,500,3,5,vacuole,140,0,33,49,30,4,9,30,11,16
1nmpp1,500,3,5,vacuole,142,0,31,63,20,5,2,20,12,11
1nmpp1,500,3,5,vacuole,143,0,8,12,21,7,4,21,11,7
1nmpp1,500,3,5,vacuole,144,0,53,70,29,2,5,29,12,12
1nmpp1,500,3,5,vacuole,145,0,12,15,24,2,8,24,7,11
1nmpp1,500,3,5,vacuole,147,0,23,25,26,5,4,26,10,9
1nmpp1,500,3,5,vacuole,150,0,9,9,11,3,1,11,6,4
1nmpp1,500,3,5,vacuole,151,0,24,36,14,3,2,14,9,8
1nmpp1,500,3,5,vacuole,153,0,21,36,23,1,1,23,7,7
1nmpp1,500,3,5,vacuole,154,0,33,36,32,3,2,32,9,8
1nmpp1,500,3,5,vacuole,155,0,12,12,29,0,3,29,3,7
1nmpp1,500,3,5,vacuole,157,0,28,42,16,4,2,16,10,9
1nmpp1,500,3,5,vacuole,158,0,20,24,17,3,2,17,9,6
1nmpp1,500,3,5,vacuole,160,0,7,8,12,7,3,12,9,7
1nmpp1,500,3,5,vacuole,161,0,7,9,16,3,2,16,6,5
1nmpp1,500,3,5,vacuole,162,0,36,42,20,6,7,20,13,13
1nmpp1,500,3,5,vacuole,163,0,6,6,29,7,10,29,9,13
1nmpp1,500,3,5,vacuole,165,0,7,8,15,2,4,15,6,6
1nmpp1,500,3,5,vacuole,166,0,14,20,19,5,2,19,10,6
1nmpp1,500,3,5,vacuole,167,0,51,96,17,2,1,17,14,9
1nmpp1,500,3,5,vacuole,168,0,9,12,24,4,1,24,8,4
1nmpp1,500,3,5,vacuole,169,0,1,1,22,2,2,22,3,3
1nmpp1,500,3,5,vacuole,170,0,1,1,33,7,1,33,8,2
1nmpp1,500,3,5,vacuole,171,0,9,12,19,6,4,19,10,7
1nmpp1,500,3,5,vacuole,172,0,13,16,19,2,4,19,6,8
1nmpp1,500,3,5,vacuole,174,0,19,20,16,8,1,16,13,5
1nmpp1,500,3,5,vacuole,175,0,1,1,19,7,4,19,8,5
1nmpp1,500,3,5,vacuole,177,0,8,9,20,9,8,20,12,11
1nmpp1,500,3,5,vacuole,179,0,10,12,21,6,4,21,9,8
1nmpp1,500,3,5,vacuole,180,0,1,1,10,4,3,10,5,4
1nmpp1,500,3,5,vacuole,182,0,58,80,22,3,8,22,13,16
1nmpp1,500,3,5,vacuole,184,0,24,30,25,5,12,25,10,18
1nmpp1,500,3,5,vacuole,185,0,16,16,25,6,7,25,10,11
1nmpp1,500,3,5,vacuole,186,0,1,1,16,8,3,16,9,4
