experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,0,ER,2,255,1322,11232,0,0,0,26,18,24
glu,0-5,3,0,ER,4,255,877,6786,0,0,0,29,18,13
glu,0-5,3,0,ER,5,255,901,7650,0,0,0,25,17,18
glu,0-5,3,0,ER,6,255,1433,11799,0,0,0,27,23,19
glu,0-5,3,0,ER,7,255,1471,10692,0,0,0,27,22,18
glu,0-5,3,0,ER,8,255,565,3000,0,0,1,25,10,13
glu,0-5,3,0,ER,9,255,60,440,1,1,0,23,5,5
glu,0-5,3,0,ER,10,255,1317,11025,0,0,0,25,21,21
glu,0-5,3,0,ER,11,255,1158,11704,0,0,0,28,22,19
glu,0-5,3,0,ER,12,255,1088,6885,0,0,0,27,15,17
glu,0-5,3,0,ER,13,255,785,5184,0,0,0,27,12,16
glu,0-5,3,0,ER,14,255,434,3025,0,0,0,25,11,11
glu,0-5,3,0,ER,15,255,1094,8960,0,0,0,28,20,16
glu,0-5,3,0,ER,16,255,1336,12600,0,0,0,25,24,21
glu,0-5,3,0,ER,17,255,1023,8424,0,0,0,26,18,18
glu,0-5,3,0,ER,18,255,513,3360,0,1,0,28,11,12
glu,0-5,3,0,ER,19,255,1058,8100,0,0,0,27,20,15
glu,0-5,3,0,ER,20,255,145,2964,2,1,0,21,13,13
glu,0-5,3,0,ER,21,255,1026,8303,0,0,0,23,19,19
glu,0-5,3,0,ER,22,255,1230,10764,0,0,0,26,23,18
glu,0-5,3,0,ER,23,255,1323,9408,0,0,0,28,21,16
glu,0-5,3,0,ER,24,255,1527,11232,0,0,0,26,24,18
glu,0-5,3,0,ER,25,255,1264,9152,0,0,0,26,22,16
glu,0-5,3,0,ER,26,255,525,3750,0,0,0,25,10,15
glu,0-5,3,0,ER,27,255,823,5408,0,0,0,26,13,16
glu,0-5,3,0,ER,28,255,831,6885,0,0,0,27,15,17
glu,0-5,3,0,ER,29,255,1099,7125,0,0,0,25,19,15
glu,0-5,3,0,ER,31,255,645,3696,0,0,0,22,12,14
glu,0-5,3,0,ER,32,255,476,3795,0,0,0,23,11,15
glu,0-5,3,0,ER,33,255,1355,9639,0,0,0,27,21,17
glu,0-5,3,0,ER,34,255,1153,9500,0,0,0,25,19,20
glu,0-5,3,0,ER,35,255,1411,10692,0,0,0,27,22,18
glu,0-5,3,0,ER,36,255,1364,10450,0,0,0,25,22,19
glu,0-5,3,0,ER,38,255,1666,10925,0,0,0,25,23,19
glu,0-5,3,0,ER,39,255,1201,8892,0,0,0,26,18,19
glu,0-5,3,0,ER,40,255,1025,7488,0,0,0,26,18,16
glu,0-5,3,0,ER,41,255,908,7650,0,0,0,25,17,18
glu,0-5,3,0,ER,42,255,491,3025,0,0,0,25,11,11
glu,0-5,3,0,ER,43,255,1438,9828,0,0,0,26,21,18
glu,0-5,3,0,ER,44,255,1113,8320,0,0,0,26,20,16
glu,0-5,3,0,ER,45,255,4,50,2,0,0,27,1,2
glu,0-5,3,0,ER,46,255,1208,8190,0,0,0,26,21,15
glu,0-5,3,0,ER,47,255,1448,10368,0,0,0,27,24,16
glu,0-5,3,0,ER,49,255,1188,8100,0,0,0,27,20,15
glu,0-5,3,0,ER,50,255,183,4576,2,3,0,24,16,16
glu,0-5,3,0,ER,51,255,1549,14950,0,0,0,26,23,25
glu,0-5,3,0,ER,52,255,2399,18792,0,0,0,27,29,24
glu,0-5,3,0,ER,53,255,289,7125,0,0,0,25,19,15
glu,0-5,3,0,ER,54,255,891,6426,0,0,0,27,14,17
