experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,100,3,3,ER,2,255,219,2640,5,1,0,27,11,12
glu,100,3,3,ER,3,255,1569,14250,1,1,0,31,20,25
glu,100,3,3,ER,4,255,1389,26970,2,0,0,31,31,30
glu,100,3,3,ER,5,255,316,4176,0,0,1,29,12,13
glu,100,3,3,ER,6,255,689,9135,2,1,1,31,22,16
glu,100,3,3,ER,7,255,219,2100,4,13,2,29,20,14
glu,100,3,3,ER,8,255,1106,14674,2,0,0,31,22,23
glu,100,3,3,ER,9,255,171,1400,6,3,2,31,10,10
glu,100,3,3,ER,10,255,798,8352,2,4,0,31,20,18
glu,100,3,3,ER,11,255,962,7980,1,0,0,31,14,19
glu,100,3,3,ER,12,255,1820,17250,0,0,0,30,23,25
glu,100,3,3,ER,13,255,879,10080,3,0,0,31,20,18
glu,100,3,3,ER,14,255,902,10800,0,0,0,30,20,18
glu,100,3,3,ER,15,255,834,11088,3,0,1,31,22,19
glu,100,3,3,ER,16,255,402,2800,3,0,0,31,10,10
glu,100,3,3,ER,17,255,589,6048,4,1,0,31,15,16
glu,100,3,3,ER,18,255,1016,10540,0,0,0,31,17,20
glu,100,3,3,ER,19,255,943,10469,2,0,0,31,19,19
glu,100,3,3,ER,20,255,1120,8100,1,0,0,31,15,18
glu,100,3,3,ER,21,255,931,7830,2,0,0,31,18,15
glu,100,3,3,ER,22,255,726,5460,3,0,1,31,13,16
glu,100,3,3,ER,23,255,842,6032,1,0,0,30,16,13
glu,100,3,3,ER,24,255,1051,12180,2,1,0,31,21,21
glu,100,3,3,ER,25,255,1097,8680,0,0,0,31,20,14
glu,100,3,3,ER,26,255,1024,7888,2,0,1,31,16,18
glu,100,3,3,ER,27,255,1053,9918,2,0,0,31,19,18
glu,100,3,3,ER,28,255,799,6720,1,0,1,31,14,17
glu,100,3,3,ER,29,255,1387,11880,1,0,0,31,22,18
glu,100,3,3,ER,30,255,1150,9690,1,0,0,31,17,19
glu,100,3,3,ER,31,255,300,2160,2,0,0,29,10,8
glu,100,3,3,ER,32,255,635,6902,2,0,0,31,17,14
glu,100,3,3,ER,33,255,1247,10080,0,0,0,30,24,14
glu,100,3,3,ER,34,255,1205,8246,0,0,0,31,19,14
glu,100,3,3,ER,35,255,1496,11970,0,0,0,30,21,19
glu,100,3,3,ER,36,255,1109,10353,2,0,0,31,21,17
glu,100,3,3,ER,37,255,399,3120,4,0,0,30,12,10
glu,100,3,3,ER,38,255,953,13398,2,0,0,31,21,22
glu,100,3,3,ER,39,255,233,924,2,0,0,24,6,7
glu,100,3,3,ER,40,255,612,4872,2,0,0,31,12,14
glu,100,3,3,ER,41,255,863,5642,0,0,0,31,13,14
glu,100,3,3,ER,42,255,1146,8370,0,0,0,31,18,15
glu,100,3,3,ER,43,255,920,5760,1,0,0,31,16,12
glu,100,3,3,ER,44,255,262,2200,2,0,0,24,10,10
glu,100,3,3,ER,45,255,532,4290,1,0,0,31,11,13
glu,100,3,3,ER,46,255,1509,12528,1,0,0,30,18,24
glu,100,3,3,ER,47,255,10,1274,10,1,0,23,8,14
glu,100,3,3,ER,48,255,1280,9424,0,0,0,31,16,19
glu,100,3,3,ER,49,255,618,4524,1,0,0,30,12,13
glu,100,3,3,ER,50,255,1416,13800,1,0,0,31,23,20
glu,100,3,3,ER,51,255,611,4680,1,0,0,31,13,12
glu,100,3,3,ER,52,255,46,945,6,1,5,21,10,12
glu,100,3,3,ER,53,255,455,4524,2,3,0,31,16,12
glu,100,3,3,ER,55,255,978,9744,1,0,0,30,14,24
glu,100,3,3,ER,56,255,1447,13775,1,0,0,30,25,19
glu,100,3,3,ER,57,255,1236,8680,0,0,0,31,14,20
glu,100,3,3,ER,58,255,181,1536,4,0,0,28,8,8
glu,100,3,3,ER,59,255,1278,10695,0,0,0,31,23,15
glu,100,3,3,ER,60,255,1579,13020,0,0,0,31,21,20
glu,100,3,3,ER,61,255,966,8160,0,0,0,30,17,16
glu,100,3,3,ER,62,255,680,6630,1,0,1,31,17,14
glu,100,3,3,ER,63,255,907,7395,0,1,0,29,16,17
glu,100,3,3,ER,64,255,75,2352,7,0,0,21,14,12
glu,100,3,3,ER,65,255,1054,7163,1,2,0,30,21,13
glu,100,3,3,ER,66,255,1057,8370,0,0,0,31,15,18
glu,100,3,3,ER,68,255,924,6510,0,0,0,31,15,14
glu,100,3,3,ER,69,255,3315,39900,1,0,1,31,38,36
glu,100,3,3,ER,70,255,1043,7650,1,0,0,31,15,17
glu,100,3,3,ER,71,255,1315,10044,0,0,0,31,18,18
glu,100,3,3,ER,72,255,70,540,11,0,0,26,6,6
glu,100,3,3,ER,73,255,1321,10200,1,0,0,31,20,17
glu,100,3,3,ER,74,255,1497,11484,2,0,0,31,22,18
glu,100,3,3,ER,75,255,1273,13800,1,0,0,31,20,23
glu,100,3,3,ER,76,255,247,1408,7,0,0,29,8,8
glu,100,3,3,ER,77,255,1047,7905,0,0,2,31,15,19
glu,100,3,3,ER,78,255,986,6851,0,0,0,31,13,17
glu,100,3,3,ER,79,255,1101,7980,1,0,0,31,19,14
glu,100,3,3,ER,80,255,1014,7657,0,0,0,31,13,19
glu,100,3,3,ER,81,255,1098,12276,0,0,0,31,22,18
glu,100,3,3,ER,82,255,342,2080,5,0,0,31,10,8
glu,100,3,3,ER,83,255,1403,15120,1,0,0,31,21,24
glu,100,3,3,ER,84,255,318,1872,4,0,0,30,9,8
