experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,3,LD,2,14,20,63,5,10,11,12,13,14
glu,0-5,3,3,LD,2,64,13,30,5,2,8,10,4,11
glu,0-5,3,3,LD,2,164,38,108,5,3,8,14,6,12
glu,0-5,3,3,LD,2,167,5,6,10,12,11,12,13,14
glu,0-5,3,3,LD,2,291,20,36,9,14,8,13,17,11
glu,0-5,3,3,LD,2,419,6,6,11,2,5,14,4,6
glu,0-5,3,3,LD,2,421,8,16,10,12,1,14,14,3
glu,0-5,3,3,LD,2,422,13,28,9,13,2,16,15,4
glu,0-5,3,3,LD,2,816,12,24,12,0,9,16,2,12
glu,0-5,3,3,LD,2,1046,13,18,16,0,9,19,2,12
glu,0-5,3,3,LD,2,1047,10,16,16,8,11,20,10,13
glu,0-5,3,3,LD,2,1184,3,3,17,3,2,20,4,3
glu,0-5,3,3,LD,2,1291,17,24,19,0,9,25,2,11
glu,0-5,3,3,LD,2,1391,1,1,20,5,11,21,6,12
glu,0-5,3,3,LD,2,1579,10,30,20,5,3,25,7,6
glu,0-5,3,3,LD,2,1580,17,54,19,12,1,25,15,4
glu,0-5,3,3,LD,3,1,2,2,6,16,10,8,17,11
glu,0-5,3,3,LD,3,165,6,6,9,2,13,12,4,14
glu,0-5,3,3,LD,3,166,41,160,6,8,4,14,12,9
glu,0-5,3,3,LD,3,168,4,8,10,13,9,12,15,11
glu,0-5,3,3,LD,3,169,7,12,8,14,10,12,17,11
glu,0-5,3,3,LD,3,420,1,1,12,2,13,13,3,14
glu,0-5,3,3,LD,3,564,16,45,12,8,6,17,11,9
glu,0-5,3,3,LD,3,817,57,156,11,13,15,24,17,18
glu,0-5,3,3,LD,3,1048,66,231,12,7,1,23,14,4
glu,0-5,3,3,LD,3,1049,11,24,15,17,6,19,19,9
glu,0-5,3,3,LD,3,1185,2,2,18,7,3,19,9,4
glu,0-5,3,3,LD,3,1186,13,20,18,17,10,23,19,12
glu,0-5,3,3,LD,3,1292,40,81,14,1,14,23,4,17
glu,0-5,3,3,LD,3,1578,1,1,22,4,5,23,5,6
glu,0-5,3,3,LD,3,1640,8,18,23,2,14,26,5,16
glu,0-5,3,3,LD,3,1641,6,10,20,4,5,25,6,6
glu,0-5,3,3,LD,3,1642,15,20,20,5,9,25,7,11
glu,0-5,3,3,LD,4,424,3,4,11,5,10,13,7,11
glu,0-5,3,3,LD,4,565,4,4,12,4,2,14,5,4
glu,0-5,3,3,LD,4,689,8,16,13,4,2,17,6,4
glu,0-5,3,3,LD,4,818,50,200,11,5,7,21,9,12
glu,0-5,3,3,LD,4,819,20,30,13,9,10,18,11,13
glu,0-5,3,3,LD,4,1187,4,6,18,9,11,21,10,13
glu,0-5,3,3,LD,4,1393,5,6,20,8,12,23,10,13
glu,0-5,3,3,LD,5,65,8,12,8,4,18,11,6,20
glu,0-5,3,3,LD,5,66,5,6,7,10,20,10,11,22
glu,0-5,3,3,LD,5,170,3,3,9,1,5,12,2,6
glu,0-5,3,3,LD,5,171,1,1,10,11,21,11,12,22
glu,0-5,3,3,LD,5,172,11,24,8,15,16,12,18,18
glu,0-5,3,3,LD,5,423,1,1,12,1,5,13,2,6
glu,0-5,3,3,LD,5,426,5,6,11,10,20,14,11,22
glu,0-5,3,3,LD,5,428,3,3,12,15,19,15,16,20
glu,0-5,3,3,LD,5,939,3,3,15,10,21,18,11,22
glu,0-5,3,3,LD,6,67,12,30,7,8,0,12,11,2
glu,0-5,3,3,LD,6,293,34,90,6,6,8,12,11,11
glu,0-5,3,3,LD,6,425,9,10,9,2,7,14,3,9
glu,0-5,3,3,LD,6,427,37,128,8,6,7,16,10,11
glu,0-5,3,3,LD,6,429,1,1,12,10,0,13,11,1
glu,0-5,3,3,LD,6,820,3,4,15,3,10,16,5,12
glu,0-5,3,3,LD,6,1050,9,24,16,7,11,19,11,13
glu,0-5,3,3,LD,6,1051,1,1,17,9,10,18,10,11
glu,0-5,3,3,LD,6,1189,6,12,17,9,10,20,11,12
glu,0-5,3,3,LD,6,1190,19,42,14,11,1,21,13,4
glu,0-5,3,3,LD,6,1293,36,120,16,3,9,24,8,12
glu,0-5,3,3,LD,6,1395,10,30,18,6,8,23,8,11
glu,0-5,3,3,LD,6,1396,6,18,19,8,0,22,11,2
glu,0-5,3,3,LD,6,1581,2,2,22,9,0,23,10,2
glu,0-5,3,3,LD,6,1582,4,4,21,10,9,23,11,11
glu,0-5,3,3,LD,8,15,3,3,7,6,9,10,7,10
glu,0-5,3,3,LD,8,292,1,1,11,2,5,12,3,6
glu,0-5,3,3,LD,8,294,6,9,10,5,9,13,6,12
glu,0-5,3,3,LD,8,295,1,1,11,8,8,12,9,9
glu,0-5,3,3,LD,8,430,5,8,11,12,13,13,14,15
glu,0-5,3,3,LD,8,566,1,1,13,2,3,14,3,4
glu,0-5,3,3,LD,8,690,4,4,13,1,4,17,2,5
glu,0-5,3,3,LD,8,823,3,4,14,14,12,16,15,14
glu,0-5,3,3,LD,8,940,1,1,16,9,10,17,10,11
glu,0-5,3,3,LD,8,941,4,6,16,10,13,18,11,16
glu,0-5,3,3,LD,8,942,10,24,15,10,14,19,13,16
glu,0-5,3,3,LD,8,1052,2,2,17,11,11,19,12,12
glu,0-5,3,3,LD,8,1188,3,4,17,1,6,19,2,8
glu,0-5,3,3,LD,8,1294,3,4,19,1,8,21,3,9
glu,0-5,3,3,LD,8,1295,22,84,15,5,12,22,9,15
glu,0-5,3,3,LD,8,1394,9,12,20,3,3,23,5,5
glu,0-5,3,3,LD,9,822,3,4,15,2,4,17,3,6
glu,0-5,3,3,LD,9,1053,2,2,16,2,6,18,3,7
glu,0-5,3,3,LD,9,1191,2,2,17,5,7,19,6,8
glu,0-5,3,3,LD,9,1297,4,4,19,2,5,21,3,7
glu,0-5,3,3,LD,9,1663,26,108,20,6,7,29,9,11
glu,0-5,3,3,LD,10,68,5,6,8,6,19,11,7,21
glu,0-5,3,3,LD,10,69,1,1,9,14,7,10,15,8
glu,0-5,3,3,LD,10,72,4,8,9,18,4,11,20,6
glu,0-5,3,3,LD,10,175,1,1,10,15,7,11,16,8
glu,0-5,3,3,LD,10,296,4,8,10,2,8,12,4,10
glu,0-5,3,3,LD,10,297,10,24,9,5,19,13,7,22
glu,0-5,3,3,LD,10,298,5,6,10,10,4,13,12,5
glu,0-5,3,3,LD,10,434,6,6,10,17,3,13,19,4
glu,0-5,3,3,LD,10,568,10,30,10,13,1,15,16,3
glu,0-5,3,3,LD,10,691,19,54,12,5,20,18,8,23
glu,0-5,3,3,LD,10,693,17,63,12,17,3,19,20,6
glu,0-5,3,3,LD,10,821,3,4,15,2,9,17,3,11
glu,0-5,3,3,LD,10,824,7,10,12,10,2,17,11,4
glu,0-5,3,3,LD,10,943,2,2,16,7,22,18,8,23
glu,0-5,3,3,LD,10,944,2,2,15,13,1,17,14,2
glu,0-5,3,3,LD,10,945,1,1,16,16,7,17,17,8
glu,0-5,3,3,LD,10,1296,4,6,18,1,13,21,2,15
glu,0-5,3,3,LD,10,1298,7,8,18,7,20,22,8,22
glu,0-5,3,3,LD,10,1300,5,6,19,17,1,21,18,4
glu,0-5,3,3,LD,10,1397,11,24,18,10,2,22,12,5
glu,0-5,3,3,LD,10,1484,8,12,21,11,3,25,12,6
glu,0-5,3,3,LD,10,1486,1,1,21,16,7,22,17,8
