experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,5,3,0,LD,3,325,1,1,7,5,12,8,6,13
glu,5,3,0,LD,3,327,4,4,7,10,3,8,12,5
glu,5,3,0,LD,3,443,6,8,8,11,5,10,13,7
glu,5,3,0,LD,3,808,3,4,10,10,2,12,11,4
glu,5,3,0,LD,3,931,1,1,12,13,6,13,14,7
glu,5,3,0,LD,3,1155,2,2,14,10,5,16,11,6
glu,5,3,0,LD,3,1156,1,1,14,12,3,15,13,4
glu,5,3,0,LD,3,1271,5,12,15,12,6,17,14,9
glu,5,3,0,LD,4,38,3,4,2,5,4,4,7,5
glu,5,3,0,LD,4,74,2,2,3,9,11,5,10,12
glu,5,3,0,LD,4,326,2,2,7,4,2,9,5,3
glu,5,3,0,LD,4,444,10,27,7,11,12,10,14,15
glu,5,3,0,LD,4,559,8,18,8,14,13,11,17,15
glu,5,3,0,LD,4,933,9,24,11,14,13,15,17,15
glu,5,3,0,LD,4,1272,2,2,15,8,14,17,9,15
glu,5,3,0,LD,4,1385,5,6,16,15,14,19,17,15
glu,5,3,0,LD,4,1635,7,16,17,1,6,21,3,8
glu,5,3,0,LD,4,1796,6,8,20,2,6,24,3,8
glu,5,3,0,LD,5,442,2,2,7,0,4,9,1,5
glu,5,3,0,LD,5,445,4,6,8,12,3,11,13,5
glu,5,3,0,LD,5,1471,2,2,17,13,6,19,14,7
glu,5,3,0,LD,6,328,5,8,6,3,5,8,5,7
glu,5,3,0,LD,6,558,3,3,7,8,3,10,9,4
glu,5,3,0,LD,6,809,1,1,11,7,5,12,8,6
glu,5,3,0,LD,6,932,11,24,11,8,4,17,10,6
glu,5,3,0,LD,8,39,2,2,3,4,5,4,5,7
glu,5,3,0,LD,8,231,7,8,4,8,6,8,10,7
glu,5,3,0,LD,8,330,1,1,7,3,6,8,4,7
glu,5,3,0,LD,8,331,1,1,7,6,10,8,7,11
glu,5,3,0,LD,8,447,6,8,6,5,1,10,6,3
glu,5,3,0,LD,8,448,2,2,7,7,10,9,8,11
glu,5,3,0,LD,8,694,2,2,9,4,6,11,5,7
glu,5,3,0,LD,8,810,2,2,10,6,2,12,7,3
glu,5,3,0,LD,8,1038,7,10,12,6,10,17,8,11
glu,5,3,0,LD,9,146,14,36,3,0,2,7,3,5
glu,5,3,0,LD,9,329,10,27,6,0,2,9,3,5
glu,5,3,0,LD,9,446,5,12,8,0,1,10,3,3
glu,5,3,0,LD,9,693,3,3,10,1,1,13,2,2
glu,5,3,0,LD,9,812,3,3,10,7,4,13,8,5
glu,5,3,0,LD,9,1037,1,1,13,1,2,14,2,3
glu,5,3,0,LD,9,1699,2,2,19,7,7,21,8,8
glu,5,3,0,LD,10,695,6,8,9,5,4,11,7,6
glu,5,3,0,LD,10,1273,2,2,15,9,2,16,11,3
glu,5,3,0,LD,11,40,1,1,3,4,6,4,5,7
glu,5,3,0,LD,11,148,23,72,3,7,2,11,10,5
glu,5,3,0,LD,11,234,9,16,5,11,8,9,13,10
glu,5,3,0,LD,11,235,5,8,4,12,5,8,14,6
glu,5,3,0,LD,11,332,16,36,4,3,4,10,6,6
glu,5,3,0,LD,11,449,1,1,8,13,5,9,14,6
glu,5,3,0,LD,11,696,5,12,10,6,1,12,9,3
glu,5,3,0,LD,11,814,5,9,10,8,1,13,9,4
glu,5,3,0,LD,11,816,2,2,11,13,8,13,14,9
glu,5,3,0,LD,11,935,4,6,11,13,2,14,14,4
glu,5,3,0,LD,11,1473,1,1,17,12,4,18,13,5
glu,5,3,0,LD,11,1561,14,40,17,3,3,22,5,7
glu,5,3,0,LD,12,147,1,1,5,5,10,6,6,11
glu,5,3,0,LD,12,149,12,30,2,10,10,7,13,12
glu,5,3,0,LD,12,232,15,32,4,8,6,8,10,10
glu,5,3,0,LD,12,560,2,2,8,2,14,10,3,15
glu,5,3,0,LD,12,561,12,16,8,9,5,12,11,7
glu,5,3,0,LD,12,562,5,12,8,13,9,10,15,12
glu,5,3,0,LD,12,811,1,1,11,4,15,12,5,16
glu,5,3,0,LD,12,815,12,20,9,10,12,14,12,14
glu,5,3,0,LD,12,817,3,4,10,14,8,12,15,10
glu,5,3,0,LD,12,934,6,12,12,9,5,15,11,7
glu,5,3,0,LD,12,1039,2,2,12,13,3,14,14,4
glu,5,3,0,LD,12,1158,5,8,12,9,2,16,11,3
glu,5,3,0,LD,12,1274,1,1,15,9,2,16,10,3
glu,5,3,0,LD,12,1386,3,4,16,8,2,18,10,3
glu,5,3,0,LD,12,1387,4,8,15,13,7,17,15,9
glu,5,3,0,LD,12,1701,4,6,20,11,11,22,12,14
glu,5,3,0,LD,12,1755,2,2,21,12,3,23,13,4
glu,5,3,0,LD,12,1797,2,2,22,12,4,24,13,5
glu,5,3,0,LD,13,75,6,8,2,9,6,6,10,8
glu,5,3,0,LD,13,150,4,8,4,9,6,6,11,8
glu,5,3,0,LD,13,233,5,6,5,5,3,8,7,4
glu,5,3,0,LD,13,333,6,18,6,9,6,9,12,8
glu,5,3,0,LD,13,697,1,1,10,12,2,11,13,3
glu,5,3,0,LD,13,698,8,16,9,13,5,11,15,9
glu,5,3,0,LD,13,813,6,16,9,0,5,13,2,7
glu,5,3,0,LD,13,819,4,6,10,12,8,13,13,10
glu,5,3,0,LD,13,1041,4,6,13,12,6,16,14,7
glu,5,3,0,LD,13,1157,8,12,13,0,5,16,2,7
glu,5,3,0,LD,13,1275,2,2,15,9,10,17,10,11
glu,5,3,0,LD,13,1472,2,2,17,2,8,19,3,9
glu,5,3,0,LD,13,1562,1,1,18,13,9,19,14,10
