experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
glu,0-5,3,1,3,65,6.6923076923076925,469.5230769230769,3,464,11,477,0.7847587922852426
glu,0-5,3,1,4,84,9.202380952380953,85.20238095238095,4,80,15,91,0.6653001376854814
glu,0-5,3,1,5,206,14.315533980582524,74.10679611650485,6,68,25,82,0.6877454645108975
glu,0-5,3,1,6,263,16.771863117870723,459.2699619771863,7,451,28,468,0.6855182968362344
glu,0-5,3,1,7,100,22.5,431.37,16,427,30,437,0.7697120221929538
glu,0-5,3,1,8,208,25.879807692307693,232.45192307692307,17,226,36,240,0.6944835614899194
glu,0-5,3,1,9,111,24.38738738738739,340.73873873873873,19,335,32,347,0.7491473362069152
glu,0-5,3,1,10,263,27.517110266159698,445.7794676806084,17,438,38,455,0.658992408332489
glu,0-5,3,1,11,477,30.140461215932913,126.43815513626835,16,114,44,139,0.49747317448038936
glu,0-5,3,1,12,160,33.0125,423.78125,27,417,40,433,0.5639046310951581
glu,0-5,3,1,13,83,33.397590361445786,464.144578313253,29,459,39,470,0.3115450531978399
glu,0-5,3,1,14,297,34.45454545454545,329.8013468013468,23,322,46,339,0.6644986818676859
glu,0-5,3,1,15,447,39.1744966442953,34.13422818791946,27,23,52,46,0.4419515102566783
glu,0-5,3,1,16,187,41.41711229946524,59.8716577540107,35,52,49,72,0.755129991692822
glu,0-5,3,1,17,6,49.666666666666664,118.83333333333333,49,117,51,121,0.9252741613028527
glu,0-5,3,1,18,211,64.5260663507109,350.5781990521327,56,343,74,359,0.5956069056456545
glu,0-5,3,1,19,195,63.98461538461538,446.9948717948718,57,439,72,456,0.5593359563405387
glu,0-5,3,1,20,338,67.36094674556213,374.1508875739645,54,365,80,385,0.6815899221075483
glu,0-5,3,1,21,107,73.4392523364486,360.196261682243,67,355,80,366,0.6817776768315202
glu,0-5,3,1,22,315,76.80952380952381,175.52380952380952,66,168,89,185,0.6915296775407057
glu,0-5,3,1,23,12,76.91666666666667,441.4166666666667,76,439,79,444,0.8038459782816305
glu,0-5,3,1,24,16,80.5,441.5,79,440,83,444,0.0
glu,0-5,3,1,25,379,98.0976253298153,329.6200527704485,88,319,109,341,0.4635905981358836
glu,0-5,3,1,26,210,101.22380952380952,347.81904761904764,92,342,112,355,0.7351302759356774
glu,0-5,3,1,27,149,106.08053691275168,177.6979865771812,98,173,116,184,0.8102732007156784
glu,0-5,3,1,28,206,107.80582524271844,50.859223300970875,99,44,118,59,0.7058012153981255
glu,0-5,3,1,29,69,112.2463768115942,224.42028985507247,108,220,117,230,0.4954801697065782
glu,0-5,3,1,30,91,115.08791208791209,332.27472527472526,111,327,121,339,0.48015822739505504
glu,0-5,3,1,31,172,125.63372093023256,222.22674418604652,118,216,135,229,0.6849770376480754
glu,0-5,3,1,32,199,124.28140703517587,270.8994974874372,116,264,133,279,0.6354974032809434
glu,0-5,3,1,33,254,128.5,208.03149606299212,119,200,140,217,0.7886071097762616
glu,0-5,3,1,34,1,137.0,7.0,137,7,138,8,0.0
glu,0-5,3,1,35,207,139.47826086956522,19.231884057971016,131,12,148,28,0.6576685471041422
glu,0-5,3,1,36,226,140.6769911504425,193.66814159292036,132,186,150,202,0.4773133085257242
