experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,5,golgi,2,509,3,4,13,7,6,15,8,8
glu,0-5,3,5,golgi,3,25,9,16,4,5,18,8,7,20
glu,0-5,3,5,golgi,3,26,17,72,3,13,17,11,16,20
glu,0-5,3,5,golgi,3,64,2,2,6,18,14,8,19,15
glu,0-5,3,5,golgi,3,103,5,6,5,2,15,8,3,17
glu,0-5,3,5,golgi,3,156,3,4,7,3,2,9,4,4
glu,0-5,3,5,golgi,3,157,28,72,6,2,15,12,6,18
glu,0-5,3,5,golgi,3,159,5,6,8,17,14,11,18,16
glu,0-5,3,5,golgi,3,160,1,1,8,19,6,9,20,7
glu,0-5,3,5,golgi,3,207,7,8,8,5,20,12,7,21
glu,0-5,3,5,golgi,3,342,3,4,11,14,18,12,16,20
glu,0-5,3,5,golgi,3,405,1,1,12,0,8,13,1,9
glu,0-5,3,5,golgi,3,406,2,2,12,15,18,13,16,20
glu,0-5,3,5,golgi,3,508,2,2,14,4,1,16,5,2
glu,0-5,3,5,golgi,3,510,24,54,13,11,18,19,14,21
glu,0-5,3,5,golgi,3,511,19,45,11,16,13,16,19,16
glu,0-5,3,5,golgi,3,567,12,45,13,3,15,18,6,18
glu,0-5,3,5,golgi,3,670,7,8,16,16,13,18,18,15
glu,0-5,3,5,golgi,3,745,2,2,18,5,1,20,6,2
glu,0-5,3,5,golgi,3,746,2,2,19,13,20,21,14,21
glu,0-5,3,5,golgi,3,747,10,16,18,16,13,22,18,15
glu,0-5,3,5,golgi,5,2,1,1,3,7,3,4,8,4
glu,0-5,3,5,golgi,5,12,2,2,4,1,8,5,2,10
glu,0-5,3,5,golgi,5,27,8,12,4,0,4,7,2,6
glu,0-5,3,5,golgi,5,66,16,36,5,11,12,8,14,16
glu,0-5,3,5,golgi,5,104,16,42,2,3,2,9,6,4
glu,0-5,3,5,golgi,5,158,7,12,7,0,5,10,2,7
glu,0-5,3,5,golgi,5,208,8,16,8,3,2,12,5,4
glu,0-5,3,5,golgi,5,271,4,6,9,0,4,12,1,6
glu,0-5,3,5,golgi,5,272,2,2,10,3,3,12,4,4
glu,0-5,3,5,golgi,5,273,9,18,8,4,14,11,6,17
glu,0-5,3,5,golgi,5,274,7,16,9,5,3,13,7,5
glu,0-5,3,5,golgi,5,407,47,120,7,5,14,17,8,18
glu,0-5,3,5,golgi,5,408,58,160,8,10,12,16,15,16
glu,0-5,3,5,golgi,5,463,6,16,12,0,4,16,2,6
glu,0-5,3,5,golgi,5,464,3,4,12,0,9,14,1,11
glu,0-5,3,5,golgi,5,465,22,48,13,7,14,17,10,18
glu,0-5,3,5,golgi,5,512,1,1,14,3,13,15,4,14
glu,0-5,3,5,golgi,5,513,2,2,14,6,3,16,7,4
glu,0-5,3,5,golgi,5,570,41,176,12,10,4,23,14,8
glu,0-5,3,5,golgi,5,619,29,108,12,10,13,21,13,17
glu,0-5,3,5,golgi,5,620,29,80,13,11,9,18,15,13
glu,0-5,3,5,golgi,5,621,3,4,16,12,13,17,14,15
glu,0-5,3,5,golgi,5,671,29,48,17,11,10,21,14,14
glu,0-5,3,5,golgi,5,672,15,24,17,12,14,21,14,17
glu,0-5,3,5,golgi,5,711,4,6,16,0,4,19,2,5
glu,0-5,3,5,golgi,7,65,2,2,5,3,12,7,4,13
glu,0-5,3,5,golgi,7,105,6,10,4,2,13,9,4,14
glu,0-5,3,5,golgi,7,107,17,32,4,11,16,8,15,18
glu,0-5,3,5,golgi,7,163,21,48,6,12,5,10,15,9
glu,0-5,3,5,golgi,7,210,6,12,8,7,15,11,9,17
glu,0-5,3,5,golgi,7,212,41,120,6,11,14,14,16,17
glu,0-5,3,5,golgi,7,275,11,36,7,6,17,13,9,19
glu,0-5,3,5,golgi,7,276,1,1,10,9,15,11,10,16
glu,0-5,3,5,golgi,7,279,11,36,9,12,3,15,14,6
glu,0-5,3,5,golgi,7,280,11,27,9,12,7,12,15,10
glu,0-5,3,5,golgi,7,343,7,16,10,0,9,14,2,11
glu,0-5,3,5,golgi,7,409,9,36,11,13,9,15,16,12
glu,0-5,3,5,golgi,7,466,5,12,13,0,9,15,3,11
glu,0-5,3,5,golgi,7,467,7,12,13,9,15,15,12,17
glu,0-5,3,5,golgi,7,468,12,30,11,13,8,16,15,11
glu,0-5,3,5,golgi,7,514,4,4,13,7,0,17,8,1
glu,0-5,3,5,golgi,7,517,9,27,13,12,14,16,15,17
glu,0-5,3,5,golgi,7,568,10,16,14,0,9,18,2,11
