experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,5,3,4,golgi,3,218,11,30,7,1,0,12,4,2
glu,5,3,4,golgi,3,706,9,16,11,0,1,15,2,3
glu,5,3,4,golgi,3,707,22,54,10,4,5,16,7,8
glu,5,3,4,golgi,3,1067,17,36,15,3,6,19,6,9
glu,5,3,4,golgi,3,1068,5,6,15,5,1,18,7,2
glu,5,3,4,golgi,3,1270,23,36,15,0,1,21,2,4
glu,5,3,4,golgi,3,1383,15,42,17,4,1,24,6,4
glu,5,3,4,golgi,3,1612,5,8,20,1,2,24,2,4
glu,5,3,4,golgi,4,91,3,4,6,8,8,8,10,9
glu,5,3,4,golgi,4,319,11,20,8,7,7,13,9,9
glu,5,3,4,golgi,7,58,1,1,6,11,9,7,12,10
glu,5,3,4,golgi,7,219,13,20,6,11,9,11,13,11
glu,5,3,4,golgi,7,438,19,36,10,8,10,14,11,13
glu,5,3,4,golgi,7,708,7,8,10,8,1,14,9,3
glu,5,3,4,golgi,7,943,22,54,12,6,1,18,9,4
glu,5,3,4,golgi,7,1271,6,12,17,0,7,20,2,9
glu,5,3,4,golgi,7,1715,7,12,21,1,6,24,3,8
glu,5,3,4,golgi,7,1955,3,3,24,9,2,27,10,3
glu,5,3,4,golgi,8,150,6,10,7,7,9,12,8,11
glu,5,3,4,golgi,8,1716,2,2,21,2,10,23,3,11
glu,5,3,4,golgi,8,2060,1,1,30,11,6,31,12,7
glu,5,3,4,golgi,9,152,3,3,7,10,1,10,11,2
glu,5,3,4,golgi,9,320,2,2,10,4,12,12,5,13
glu,5,3,4,golgi,9,570,1,1,12,13,10,13,14,11
glu,5,3,4,golgi,9,709,5,12,12,10,1,15,12,3
glu,5,3,4,golgi,9,832,2,2,14,10,2,15,12,3
glu,5,3,4,golgi,9,1167,17,42,13,0,6,20,2,9
glu,5,3,4,golgi,9,1172,3,3,16,16,9,19,17,10
glu,5,3,4,golgi,9,1384,5,8,17,2,10,21,3,12
glu,5,3,4,golgi,9,1495,2,2,20,5,13,22,6,14
glu,5,3,4,golgi,12,92,20,24,4,3,3,10,5,5
glu,5,3,4,golgi,12,157,1,1,8,13,12,9,14,13
glu,5,3,4,golgi,12,220,1,1,9,5,13,10,6,14
glu,5,3,4,golgi,12,221,2,2,9,8,13,10,10,14
glu,5,3,4,golgi,12,224,3,4,9,13,11,11,14,13
glu,5,3,4,golgi,12,321,5,6,10,4,3,13,5,5
glu,5,3,4,golgi,12,710,2,2,12,8,13,14,9,14
glu,5,3,4,golgi,12,711,9,20,11,9,4,16,11,6
glu,5,3,4,golgi,12,1170,9,16,15,5,13,19,7,15
glu,5,3,4,golgi,12,1386,7,18,18,5,13,21,8,15
glu,5,3,4,golgi,12,1997,1,1,26,8,4,27,9,5
glu,5,3,4,golgi,13,443,3,4,11,10,8,13,11,10
glu,5,3,4,golgi,13,573,4,6,12,10,8,15,11,10
glu,5,3,4,golgi,13,1717,1,1,22,6,3,23,7,4
glu,5,3,4,golgi,14,95,24,48,6,14,8,10,18,11
glu,5,3,4,golgi,14,439,17,54,8,1,3,14,4,6
glu,5,3,4,golgi,14,445,4,6,11,15,4,13,16,7
glu,5,3,4,golgi,14,446,28,63,9,16,9,16,19,12
glu,5,3,4,golgi,14,944,13,18,13,0,4,16,3,6
glu,5,3,4,golgi,14,1070,10,16,14,15,4,18,17,6
glu,5,3,4,golgi,14,1168,11,24,16,0,4,20,3,6
glu,5,3,4,golgi,14,1169,4,6,17,3,12,20,4,14
glu,5,3,4,golgi,14,1273,7,18,18,0,5,21,3,7
glu,5,3,4,golgi,14,1388,6,6,18,10,14,21,11,16
glu,5,3,4,golgi,14,1502,10,36,18,15,5,22,18,8
glu,5,3,4,golgi,14,1613,4,4,19,4,13,23,5,14
glu,5,3,4,golgi,14,1614,2,2,20,9,14,22,10,15
glu,5,3,4,golgi,14,1718,9,16,20,9,14,24,11,16
glu,5,3,4,golgi,14,1719,3,3,21,10,14,24,11,15
glu,5,3,4,golgi,14,1957,6,6,24,10,14,27,11,16
glu,5,3,4,golgi,15,1615,6,9,19,2,0,22,5,1
glu,5,3,4,golgi,15,1809,19,54,19,3,0,25,6,3
glu,5,3,4,golgi,15,2031,2,2,27,2,0,29,3,1
glu,5,3,4,golgi,16,155,1,1,8,4,4,9,5,5
glu,5,3,4,golgi,16,223,3,3,8,4,3,11,5,4
glu,5,3,4,golgi,16,225,2,2,8,8,4,10,9,5
glu,5,3,4,golgi,16,1276,10,24,16,6,1,20,8,4
glu,5,3,4,golgi,16,1389,3,3,18,9,8,21,10,9
glu,5,3,4,golgi,16,1503,7,8,18,12,4,22,13,6
glu,5,3,4,golgi,17,328,1,1,10,12,3,11,13,4
glu,5,3,4,golgi,17,575,2,2,11,12,3,13,13,4
glu,5,3,4,golgi,18,326,1,1,10,5,3,11,6,4
glu,5,3,4,golgi,18,712,10,48,12,5,5,16,9,8
glu,5,3,4,golgi,18,945,4,4,15,1,8,17,2,10
glu,5,3,4,golgi,18,1496,23,84,17,0,7,24,3,11
glu,5,3,4,golgi,18,1882,6,18,23,0,6,26,2,9
glu,5,3,4,golgi,18,1956,5,8,25,0,7,27,2,9
glu,5,3,4,golgi,19,93,2,2,7,4,11,9,5,12
glu,5,3,4,golgi,19,153,10,48,5,0,11,11,4,13
glu,5,3,4,golgi,19,322,1,1,10,4,15,11,5,16
glu,5,3,4,golgi,19,440,7,8,10,6,1,12,8,3
glu,5,3,4,golgi,19,569,6,6,11,0,11,14,1,13
glu,5,3,4,golgi,19,833,11,20,12,6,1,17,8,3
glu,5,3,4,golgi,19,947,37,72,12,6,17,20,9,20
glu,5,3,4,golgi,19,1069,2,2,16,5,2,18,6,3
glu,5,3,4,golgi,19,1274,3,4,18,2,14,20,4,15
glu,5,3,4,golgi,19,1499,4,6,20,6,18,22,9,19
glu,5,3,4,golgi,19,1500,2,2,19,8,1,21,9,2
glu,5,3,4,golgi,19,1505,1,1,20,19,7,21,20,8
glu,5,3,4,golgi,20,59,13,24,4,9,3,10,11,5
glu,5,3,4,golgi,20,151,2,2,8,3,9,10,4,10
glu,5,3,4,golgi,20,1272,1,1,18,0,14,19,1,15
glu,5,3,4,golgi,20,1385,1,1,19,1,14,20,2,15
glu,5,3,4,golgi,20,1390,10,20,18,16,2,23,18,4
glu,5,3,4,golgi,21,441,4,8,11,3,2,13,5,4
glu,5,3,4,golgi,21,837,2,2,14,10,2,16,11,3
