experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,2,mitochondria,1,105,1906,7840,1,0,0,29,20,14
glu,0-5,3,2,mitochondria,2,1,2462,12540,0,0,0,30,22,19
glu,0-5,3,2,mitochondria,2,146,1,1,10,8,13,11,9,14
glu,0-5,3,2,mitochondria,2,163,1,1,14,8,1,15,9,2
glu,0-5,3,2,mitochondria,2,198,13,16,22,10,2,26,14,3
glu,0-5,3,2,mitochondria,3,106,515,1800,3,0,1,28,9,9
glu,0-5,3,2,mitochondria,4,106,401,2025,3,1,0,28,10,9
glu,0-5,3,2,mitochondria,5,2,3292,19440,0,0,0,30,27,24
glu,0-5,3,2,mitochondria,5,137,3,4,6,8,8,8,9,10
glu,0-5,3,2,mitochondria,5,157,2,2,13,20,3,15,21,4
glu,0-5,3,2,mitochondria,6,3,2674,10440,0,0,0,29,20,18
glu,0-5,3,2,mitochondria,7,4,995,2310,0,0,0,30,7,11
glu,0-5,3,2,mitochondria,8,6,1134,2610,0,0,1,29,9,11
glu,0-5,3,2,mitochondria,9,6,2897,10962,0,0,0,29,18,21
glu,0-5,3,2,mitochondria,9,147,1,1,10,15,7,11,16,8
glu,0-5,3,2,mitochondria,10,5,2138,7830,0,0,0,29,18,15
glu,0-5,3,2,mitochondria,10,141,1,1,8,4,7,9,5,8
glu,0-5,3,2,mitochondria,11,8,1131,5684,0,5,5,29,19,19
glu,0-5,3,2,mitochondria,11,107,906,3920,1,0,0,29,10,14
glu,0-5,3,2,mitochondria,11,129,1,1,5,13,2,6,14,3
glu,0-5,3,2,mitochondria,11,151,3,3,11,2,10,12,3,13
glu,0-5,3,2,mitochondria,11,199,8,24,22,14,3,26,16,6
glu,0-5,3,2,mitochondria,12,7,2950,9720,0,0,0,30,18,18
glu,0-5,3,2,mitochondria,13,9,2,2,0,11,3,2,12,4
glu,0-5,3,2,mitochondria,13,108,2977,8700,1,0,0,30,20,15
glu,0-5,3,2,mitochondria,14,10,1803,5642,0,0,0,31,13,14
glu,0-5,3,2,mitochondria,14,11,1,1,0,6,6,1,7,7
glu,0-5,3,2,mitochondria,14,190,6,16,20,7,8,24,9,10
glu,0-5,3,2,mitochondria,15,130,18,60,5,3,3,10,7,6
glu,0-5,3,2,mitochondria,15,207,1,1,24,6,8,25,7,9
glu,0-5,3,2,mitochondria,15,209,1,1,25,2,4,26,3,5
glu,0-5,3,2,mitochondria,15,210,2,2,25,4,9,26,5,11
glu,0-5,3,2,mitochondria,16,117,538,1421,2,0,0,31,7,7
glu,0-5,3,2,mitochondria,16,180,3,4,18,0,3,19,2,5
glu,0-5,3,2,mitochondria,17,12,2455,9744,0,0,0,29,16,21
glu,0-5,3,2,mitochondria,17,189,1,1,20,0,4,21,1,5
glu,0-5,3,2,mitochondria,18,14,2073,8700,0,1,0,29,16,20
glu,0-5,3,2,mitochondria,18,195,2,2,21,15,13,22,16,15
glu,0-5,3,2,mitochondria,19,13,3708,13230,0,0,0,30,21,21
glu,0-5,3,2,mitochondria,19,17,2,2,0,14,20,1,16,21
glu,0-5,3,2,mitochondria,19,200,3,3,22,11,13,23,14,14
glu,0-5,3,2,mitochondria,19,208,1,1,24,10,7,25,11,8
glu,0-5,3,2,mitochondria,19,214,1,1,27,5,7,28,6,8
glu,0-5,3,2,mitochondria,20,16,3633,11832,0,0,0,29,17,24
glu,0-5,3,2,mitochondria,20,138,1,1,6,6,9,7,7,10
glu,0-5,3,2,mitochondria,21,15,2919,13572,0,0,0,29,26,18
glu,0-5,3,2,mitochondria,21,164,6,12,14,7,1,17,9,3
glu,0-5,3,2,mitochondria,22,19,2586,11970,0,0,0,30,21,19
glu,0-5,3,2,mitochondria,22,20,1,1,0,17,6,1,18,7
glu,0-5,3,2,mitochondria,22,124,111,390,3,9,5,16,15,10
glu,0-5,3,2,mitochondria,23,13,3856,15686,0,0,0,31,23,22
glu,0-5,3,2,mitochondria,24,12,3487,12122,0,0,0,29,22,19
glu,0-5,3,2,mitochondria,25,15,806,2100,0,5,0,30,12,10
glu,0-5,3,2,mitochondria,26,18,2809,10710,0,0,0,30,21,17
glu,0-5,3,2,mitochondria,26,131,1,1,5,17,2,6,18,3
