experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,5,3,3,mitochondria,4,2,2760,9486,0,0,1,31,18,18
glu,5,3,3,mitochondria,5,1,1787,5456,0,0,0,31,16,11
glu,5,3,3,mitochondria,6,2,559,1104,8,1,0,31,7,8
glu,5,3,3,mitochondria,7,3,1322,4092,0,0,1,31,11,13
glu,5,3,3,mitochondria,8,4,990,2790,0,0,0,31,10,9
glu,5,3,3,mitochondria,9,6,1982,4774,0,0,0,31,11,14
glu,5,3,3,mitochondria,10,5,1106,3410,0,0,0,31,10,11
glu,5,3,3,mitochondria,11,165,801,1680,1,0,0,31,8,7
glu,5,3,3,mitochondria,12,5,3267,11780,0,0,0,31,20,19
glu,5,3,3,mitochondria,13,5,1711,5208,0,0,0,31,12,14
glu,5,3,3,mitochondria,14,5,9077,40176,0,0,1,31,36,37
glu,5,3,3,mitochondria,14,9,2,8,0,18,12,2,20,14
glu,5,3,3,mitochondria,14,178,2,2,2,6,17,3,8,18
glu,5,3,3,mitochondria,14,206,2,2,4,20,12,5,22,13
glu,5,3,3,mitochondria,14,265,1,1,13,30,21,14,31,22
glu,5,3,3,mitochondria,14,282,1,1,15,21,26,16,22,27
glu,5,3,3,mitochondria,14,287,1,1,16,18,22,17,19,23
glu,5,3,3,mitochondria,14,334,2,2,22,19,12,24,20,13
glu,5,3,3,mitochondria,14,357,11,18,26,24,14,29,27,16
glu,5,3,3,mitochondria,15,5,986,3960,0,2,1,30,13,13
glu,5,3,3,mitochondria,16,8,1959,6045,0,0,0,31,15,13
glu,5,3,3,mitochondria,17,7,2369,8835,0,0,0,31,19,15
glu,5,3,3,mitochondria,18,5,1997,8835,0,0,0,31,19,15
glu,5,3,3,mitochondria,18,15,1,1,0,18,7,1,19,8
glu,5,3,3,mitochondria,18,374,1,1,29,6,5,30,7,6
glu,5,3,3,mitochondria,19,11,1738,6324,0,0,0,31,17,12
glu,5,3,3,mitochondria,20,12,965,11067,0,0,0,31,17,21
glu,5,3,3,mitochondria,20,16,322,2640,0,1,8,11,17,23
glu,5,3,3,mitochondria,20,251,1,1,11,9,22,12,10,23
glu,5,3,3,mitochondria,20,252,13,30,11,14,17,16,16,20
glu,5,3,3,mitochondria,20,264,6,24,13,3,20,16,7,22
glu,5,3,3,mitochondria,20,275,2,4,14,0,16,16,1,18
glu,5,3,3,mitochondria,20,288,1,1,16,7,22,17,8,23
glu,5,3,3,mitochondria,21,10,1946,4836,0,0,0,31,13,12
glu,5,3,3,mitochondria,22,12,1103,4774,0,0,0,31,14,11
glu,5,3,3,mitochondria,23,5,2406,8928,0,2,0,31,20,16
glu,5,3,3,mitochondria,23,308,3,4,18,12,2,19,14,4
glu,5,3,3,mitochondria,23,324,13,24,21,7,6,25,9,9
glu,5,3,3,mitochondria,24,5,2027,6045,0,0,2,31,15,15
glu,5,3,3,mitochondria,24,14,1,1,0,7,2,1,8,3
glu,5,3,3,mitochondria,24,221,1,1,5,1,10,6,2,11
glu,5,3,3,mitochondria,25,13,2463,9300,0,0,0,31,15,20
