experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,3,peroxisome,2,49,12,48,10,4,7,14,8,10
glu,0-5,3,3,peroxisome,2,117,26,72,8,10,1,16,13,4
glu,0-5,3,3,peroxisome,2,118,5,6,10,11,11,13,13,12
glu,0-5,3,3,peroxisome,2,209,3,3,11,6,1,14,7,2
glu,0-5,3,3,peroxisome,2,211,23,63,10,10,11,17,13,14
glu,0-5,3,3,peroxisome,2,294,24,108,11,3,1,29,6,3
glu,0-5,3,3,peroxisome,2,295,1,1,14,8,10,15,9,11
glu,0-5,3,3,peroxisome,2,297,3,3,14,10,13,17,11,14
glu,0-5,3,3,peroxisome,3,10,2,2,10,9,10,12,10,11
glu,0-5,3,3,peroxisome,3,116,3,8,11,4,2,13,6,4
glu,0-5,3,3,peroxisome,3,210,2,2,11,7,1,13,8,2
glu,0-5,3,3,peroxisome,3,296,5,8,14,6,18,18,8,19
glu,0-5,3,3,peroxisome,3,298,14,40,12,7,17,17,11,19
glu,0-5,3,3,peroxisome,3,377,12,24,13,3,3,19,5,5
glu,0-5,3,3,peroxisome,3,378,24,63,13,10,16,20,13,19
glu,0-5,3,3,peroxisome,3,523,17,32,13,7,1,21,9,3
glu,0-5,3,3,peroxisome,3,607,7,16,17,3,7,21,5,9
glu,0-5,3,3,peroxisome,3,608,2,2,18,13,14,19,14,16
glu,0-5,3,3,peroxisome,3,689,2,2,19,5,18,21,6,19
glu,0-5,3,3,peroxisome,3,765,1,1,20,5,7,21,6,8
glu,0-5,3,3,peroxisome,3,767,4,4,20,11,17,22,13,18
glu,0-5,3,3,peroxisome,3,833,1,1,21,1,14,22,2,15
glu,0-5,3,3,peroxisome,3,903,3,4,22,14,7,23,16,9
glu,0-5,3,3,peroxisome,3,968,7,24,21,13,6,25,15,9
glu,0-5,3,3,peroxisome,3,969,17,48,18,15,7,26,17,10
glu,0-5,3,3,peroxisome,3,1131,41,108,21,6,2,30,9,6
glu,0-5,3,3,peroxisome,3,1132,5,6,25,13,7,28,14,9
glu,0-5,3,3,peroxisome,3,1241,10,24,27,6,4,31,9,6
glu,0-5,3,3,peroxisome,3,1255,5,6,27,14,7,30,15,9
glu,0-5,3,3,peroxisome,4,213,24,40,9,6,9,14,10,11
glu,0-5,3,3,peroxisome,4,300,102,176,10,4,6,21,8,10
glu,0-5,3,3,peroxisome,4,301,56,160,9,6,9,19,10,13
glu,0-5,3,3,peroxisome,4,610,26,108,14,2,0,23,6,3
glu,0-5,3,3,peroxisome,4,690,24,96,15,3,0,23,6,4
glu,0-5,3,3,peroxisome,4,834,24,54,20,4,7,26,7,10
glu,0-5,3,3,peroxisome,5,50,7,10,7,1,14,12,2,16
glu,0-5,3,3,peroxisome,5,119,2,2,12,1,15,14,2,16
glu,0-5,3,3,peroxisome,5,450,3,3,15,18,13,18,19,14
glu,0-5,3,3,peroxisome,5,697,3,3,18,18,13,21,19,14
glu,0-5,3,3,peroxisome,5,768,10,12,17,14,18,21,17,19
glu,0-5,3,3,peroxisome,5,836,38,99,16,14,16,27,17,19
glu,0-5,3,3,peroxisome,6,526,13,54,15,7,9,21,10,12
glu,0-5,3,3,peroxisome,6,613,21,72,15,8,1,23,11,4
glu,0-5,3,3,peroxisome,6,691,101,176,16,4,4,27,8,8
glu,0-5,3,3,peroxisome,8,216,1,1,13,9,4,14,10,5
glu,0-5,3,3,peroxisome,8,525,2,2,16,2,10,18,3,11
glu,0-5,3,3,peroxisome,8,615,39,72,15,9,2,23,12,5
glu,0-5,3,3,peroxisome,8,616,1,1,18,12,8,19,13,9
glu,0-5,3,3,peroxisome,8,693,3,3,18,2,10,21,3,11
glu,0-5,3,3,peroxisome,8,694,25,60,17,3,0,22,7,3
