experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0,3,3,peroxisome,3,70,4,6,7,4,3,10,5,5
glu,0,3,3,peroxisome,3,163,8,18,9,2,3,12,5,5
glu,0,3,3,peroxisome,3,164,51,108,4,5,0,16,8,3
glu,0,3,3,peroxisome,3,525,3,3,12,2,3,15,3,4
glu,0,3,3,peroxisome,3,1272,76,144,14,9,4,26,12,8
glu,0,3,3,peroxisome,3,1789,11,36,22,1,4,26,4,7
glu,0,3,3,peroxisome,3,2047,2,2,25,2,6,27,3,7
glu,0,3,3,peroxisome,3,2052,32,72,22,6,3,30,9,6
glu,0,3,3,peroxisome,7,1,1,1,5,3,7,6,4,8
glu,0,3,3,peroxisome,7,165,34,63,6,1,6,13,4,9
glu,0,3,3,peroxisome,7,167,6,8,9,7,2,13,8,4
glu,0,3,3,peroxisome,7,528,24,54,12,1,5,18,4,8
glu,0,3,3,peroxisome,7,912,1,1,16,5,2,17,6,3
glu,0,3,3,peroxisome,7,1141,1,1,18,6,2,19,7,3
glu,0,3,3,peroxisome,7,2054,73,156,18,4,8,31,8,11
glu,0,3,3,peroxisome,8,276,9,24,9,10,2,15,12,4
glu,0,3,3,peroxisome,8,277,40,108,5,10,3,14,14,6
glu,0,3,3,peroxisome,8,279,9,20,9,13,16,14,15,18
glu,0,3,3,peroxisome,8,526,34,96,7,1,4,15,4,8
glu,0,3,3,peroxisome,8,656,20,48,13,11,3,17,15,6
glu,0,3,3,peroxisome,8,1137,25,144,14,0,4,23,4,8
glu,0,3,3,peroxisome,8,1273,16,30,17,12,3,22,15,5
glu,0,3,3,peroxisome,8,1909,16,27,22,2,6,25,5,9
glu,0,3,3,peroxisome,8,2046,59,144,22,0,6,31,4,10
glu,0,3,3,peroxisome,8,2342,6,18,28,0,8,31,3,10
glu,0,3,3,peroxisome,9,74,5,8,8,12,8,12,13,10
glu,0,3,3,peroxisome,9,168,34,72,6,11,11,14,14,14
glu,0,3,3,peroxisome,9,271,86,168,4,1,13,18,4,17
glu,0,3,3,peroxisome,9,274,94,208,3,4,4,16,8,8
glu,0,3,3,peroxisome,9,275,4,4,10,8,2,12,9,4
glu,0,3,3,peroxisome,9,651,35,160,11,6,2,21,10,6
glu,0,3,3,peroxisome,9,785,10,18,15,8,2,18,10,5
glu,0,3,3,peroxisome,9,1144,62,99,14,14,12,25,17,15
glu,0,3,3,peroxisome,9,2185,30,72,22,1,8,31,3,12
glu,0,3,3,peroxisome,9,2191,3,3,24,6,4,27,7,5
glu,0,3,3,peroxisome,9,2192,67,144,22,7,2,31,11,6
glu,0,3,3,peroxisome,9,2289,12,16,23,6,4,31,7,6
glu,0,3,3,peroxisome,10,4,9,12,5,4,5,8,5,9
glu,0,3,3,peroxisome,10,20,38,108,5,2,5,14,5,9
glu,0,3,3,peroxisome,10,21,18,36,6,7,10,12,9,13
glu,0,3,3,peroxisome,10,71,122,280,3,2,9,17,7,13
glu,0,3,3,peroxisome,10,790,2,2,15,12,14,17,13,15
glu,0,3,3,peroxisome,10,793,7,16,13,17,7,17,19,9
glu,0,3,3,peroxisome,10,1140,9,27,17,3,3,20,6,6
glu,0,3,3,peroxisome,10,1400,5,5,17,13,1,22,14,2
glu,0,3,3,peroxisome,10,1518,32,84,16,1,10,23,4,14
glu,0,3,3,peroxisome,10,1654,1,1,22,3,5,23,4,6
glu,0,3,3,peroxisome,10,1655,1,1,22,3,13,23,4,14
glu,0,3,3,peroxisome,10,1662,61,144,16,17,7,28,21,10
glu,0,3,3,peroxisome,10,2189,66,108,22,1,10,31,4,14
glu,0,3,3,peroxisome,11,2,1,1,6,9,8,7,10,9
glu,0,3,3,peroxisome,11,23,1,1,8,6,14,9,7,15
glu,0,3,3,peroxisome,11,77,12,16,7,10,7,11,12,9
glu,0,3,3,peroxisome,11,281,23,66,5,11,15,16,14,17
glu,0,3,3,peroxisome,11,394,1,1,12,1,5,13,2,6
glu,0,3,3,peroxisome,11,533,28,63,8,6,13,15,9,16
glu,0,3,3,peroxisome,11,652,3,4,13,0,4,15,1,6
glu,0,3,3,peroxisome,11,786,2,2,15,1,5,17,2,6
glu,0,3,3,peroxisome,11,791,9,16,14,8,13,18,10,15
glu,0,3,3,peroxisome,11,792,59,150,10,9,6,20,12,11
glu,0,3,3,peroxisome,11,915,7,18,15,9,13,18,12,15
glu,0,3,3,peroxisome,11,1275,18,40,15,8,13,20,12,15
glu,0,3,3,peroxisome,11,1520,18,30,17,4,1,22,7,3
glu,0,3,3,peroxisome,11,1521,25,54,19,9,13,25,12,16
glu,0,3,3,peroxisome,11,1658,47,150,19,2,1,29,7,4
glu,0,3,3,peroxisome,11,1797,9,18,23,8,13,26,11,15
glu,0,3,3,peroxisome,11,2195,16,36,26,8,13,30,11,16
glu,0,3,3,peroxisome,12,5,37,72,5,7,14,13,10,17
glu,0,3,3,peroxisome,12,25,22,63,5,6,4,12,9,7
glu,0,3,3,peroxisome,12,80,1,1,9,14,8,10,15,9
glu,0,3,3,peroxisome,12,171,23,45,6,9,2,11,12,5
glu,0,3,3,peroxisome,12,398,33,72,11,8,2,17,12,5
glu,0,3,3,peroxisome,12,658,4,6,13,14,6,16,15,8
glu,0,3,3,peroxisome,12,787,12,28,12,0,2,19,2,4
glu,0,3,3,peroxisome,12,788,2,2,14,4,0,16,5,1
glu,0,3,3,peroxisome,12,1276,2,2,18,10,15,20,11,16
glu,0,3,3,peroxisome,12,1278,4,6,18,13,11,20,14,14
glu,0,3,3,peroxisome,12,1400,23,64,16,7,15,24,11,17
