experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,2,vacuole,1,0,67,72,19,5,2,19,13,11
glu,0-5,3,2,vacuole,2,0,198,256,18,2,0,18,18,16
glu,0-5,3,2,vacuole,5,0,334,441,14,2,2,14,23,23
glu,0-5,3,2,vacuole,6,0,89,110,16,3,3,16,14,13
glu,0-5,3,2,vacuole,7,0,6,9,17,0,6,17,3,9
glu,0-5,3,2,vacuole,9,0,70,90,13,1,5,13,10,15
glu,0-5,3,2,vacuole,10,0,95,110,12,5,0,12,15,11
glu,0-5,3,2,vacuole,11,0,128,169,15,2,0,15,15,13
glu,0-5,3,2,vacuole,12,0,124,156,18,2,2,18,14,15
glu,0-5,3,2,vacuole,13,0,81,110,18,2,0,18,13,10
glu,0-5,3,2,vacuole,14,0,18,24,18,3,5,18,7,11
glu,0-5,3,2,vacuole,16,0,6,9,14,0,3,14,3,6
glu,0-5,3,2,vacuole,17,0,111,156,13,0,2,13,12,15
glu,0-5,3,2,vacuole,18,0,22,24,17,3,10,17,7,16
glu,0-5,3,2,vacuole,19,0,21,25,19,4,8,19,9,13
glu,0-5,3,2,vacuole,20,0,70,90,15,1,5,15,10,15
glu,0-5,3,2,vacuole,21,0,1,1,10,4,11,10,5,12
glu,0-5,3,2,vacuole,22,0,109,156,23,1,3,23,14,15
glu,0-5,3,2,vacuole,23,0,176,240,10,2,1,10,17,17
glu,0-5,3,2,vacuole,24,0,151,182,17,4,3,17,18,16
glu,0-5,3,2,vacuole,25,0,1,1,22,6,4,22,7,5
glu,0-5,3,2,vacuole,26,0,42,56,14,6,6,14,14,13
glu,0-5,3,2,vacuole,28,0,74,100,18,7,3,18,17,13
glu,0-5,3,2,vacuole,30,0,85,110,20,3,2,20,13,13
glu,0-5,3,2,vacuole,31,0,32,36,12,4,3,12,10,9
glu,0-5,3,2,vacuole,34,0,108,156,17,4,4,17,17,16
glu,0-5,3,2,vacuole,35,0,119,144,18,5,5,18,17,17
glu,0-5,3,2,vacuole,36,0,128,156,21,6,1,21,19,13
glu,0-5,3,2,vacuole,39,0,86,100,18,2,2,18,12,12
glu,0-5,3,2,vacuole,41,0,43,60,15,1,3,15,11,9
glu,0-5,3,2,vacuole,43,0,207,256,14,1,0,14,17,16
glu,0-5,3,2,vacuole,45,0,48,70,12,2,7,12,9,17
glu,0-5,3,2,vacuole,46,0,1,1,18,7,4,18,8,5
glu,0-5,3,2,vacuole,47,0,23,30,18,2,5,18,7,11
glu,0-5,3,2,vacuole,48,0,18,20,21,5,3,21,10,7
glu,0-5,3,2,vacuole,49,0,53,72,14,5,4,14,14,12
glu,0-5,3,2,vacuole,50,0,1,1,22,8,6,22,9,7
glu,0-5,3,2,vacuole,51,0,43,56,17,3,8,17,11,15
glu,0-5,3,2,vacuole,52,0,10,10,15,4,1,15,6,6
glu,0-5,3,2,vacuole,53,0,58,81,17,3,3,17,12,12
glu,0-5,3,2,vacuole,54,0,323,400,12,0,4,12,20,24
glu,0-5,3,2,vacuole,55,0,38,42,13,1,5,13,7,12
glu,0-5,3,2,vacuole,56,0,15,24,24,1,2,24,5,8
glu,0-5,3,2,vacuole,58,0,53,63,15,2,4,15,11,11
glu,0-5,3,2,vacuole,59,0,116,156,18,0,3,18,13,15
glu,0-5,3,2,vacuole,60,0,120,180,21,2,1,21,17,13
glu,0-5,3,2,vacuole,61,0,7,8,20,5,2,20,7,6
glu,0-5,3,2,vacuole,62,0,26,36,15,6,5,15,12,11
glu,0-5,3,2,vacuole,63,0,65,80,23,1,3,23,11,11
glu,0-5,3,2,vacuole,64,0,61,81,16,1,4,16,10,13
glu,0-5,3,2,vacuole,65,0,128,168,14,1,2,14,15,14
glu,0-5,3,2,vacuole,66,0,7,9,22,0,2,22,3,5
glu,0-5,3,2,vacuole,68,0,54,64,19,5,3,19,13,11
glu,0-5,3,2,vacuole,69,0,82,100,14,5,2,14,15,12
glu,0-5,3,2,vacuole,71,0,154,196,22,2,1,22,16,15
glu,0-5,3,2,vacuole,74,0,21,42,18,1,3,18,8,9
glu,0-5,3,2,vacuole,75,0,100,120,19,1,4,19,11,16
glu,0-5,3,2,vacuole,76,0,57,80,18,3,0,18,11,10
glu,0-5,3,2,vacuole,77,0,38,42,18,7,4,18,13,11
glu,0-5,3,2,vacuole,78,0,2,2,16,6,5,16,7,7
glu,0-5,3,2,vacuole,79,0,25,30,16,5,7,16,11,12
glu,0-5,3,2,vacuole,81,0,31,36,17,3,6,17,9,12
glu,0-5,3,2,vacuole,82,0,88,110,16,6,2,16,17,12
glu,0-5,3,2,vacuole,84,0,28,30,11,3,3,11,9,8
glu,0-5,3,2,vacuole,85,0,17,20,18,4,3,18,9,7
glu,0-5,3,2,vacuole,86,0,57,77,9,4,11,9,15,18
glu,0-5,3,2,vacuole,87,0,1,1,22,3,1,22,4,2
glu,0-5,3,2,vacuole,88,0,158,195,16,3,1,16,18,14
glu,0-5,3,2,vacuole,89,0,33,36,17,1,6,17,7,12
glu,0-5,3,2,vacuole,90,0,103,156,13,1,3,13,14,15
glu,0-5,3,2,vacuole,91,0,12,12,17,3,7,17,7,10
glu,0-5,3,2,vacuole,93,0,31,40,21,9,3,21,14,11
glu,0-5,3,2,vacuole,95,0,44,64,18,1,2,18,9,10
glu,0-5,3,2,vacuole,96,0,6,6,16,1,4,16,3,7
glu,0-5,3,2,vacuole,97,0,41,60,15,1,5,15,11,11
glu,0-5,3,2,vacuole,98,0,83,100,17,1,3,17,11,13
glu,0-5,3,2,vacuole,99,0,59,72,20,9,4,20,18,12
glu,0-5,3,2,vacuole,109,0,99,130,21,0,4,21,13,14
glu,0-5,3,2,vacuole,111,0,13,15,21,0,2,21,3,7
glu,0-5,3,2,vacuole,116,0,41,49,17,5,4,17,12,11
glu,0-5,3,2,vacuole,118,0,53,72,17,2,2,17,10,11
glu,0-5,3,2,vacuole,119,0,58,80,20,6,4,20,14,14
glu,0-5,3,2,vacuole,120,0,20,25,19,6,5,19,11,10
glu,0-5,3,2,vacuole,122,0,49,56,15,6,5,15,14,12
glu,0-5,3,2,vacuole,123,0,108,154,17,2,3,17,16,14
glu,0-5,3,2,vacuole,124,0,20,24,18,10,3,18,14,9
glu,0-5,3,2,vacuole,126,0,1,1,12,21,5,12,22,6
glu,0-5,3,2,vacuole,128,0,50,63,11,3,2,11,12,9
glu,0-5,3,2,vacuole,130,0,150,195,21,2,2,21,15,17
glu,0-5,3,2,vacuole,131,0,7,8,26,4,4,26,6,8
glu,0-5,3,2,vacuole,132,0,147,182,14,7,0,14,20,14
glu,0-5,3,2,vacuole,133,0,7,9,17,12,8,17,15,11
