experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0,3,3,vacuole,3,0,22,25,15,4,3,15,9,8
glu,0,3,3,vacuole,7,0,23,30,13,3,3,13,8,9
glu,0,3,3,vacuole,8,0,201,272,21,0,3,21,17,19
glu,0,3,3,vacuole,9,0,85,99,17,1,6,17,12,15
glu,0,3,3,vacuole,10,0,111,132,18,5,2,18,16,14
glu,0,3,3,vacuole,11,0,22,30,15,5,4,15,10,10
glu,0,3,3,vacuole,12,0,98,120,19,2,4,19,12,16
glu,0,3,3,vacuole,13,0,46,56,16,4,2,16,11,10
glu,0,3,3,vacuole,14,0,32,42,13,9,3,13,15,10
glu,0,3,3,vacuole,15,0,117,168,17,5,2,17,19,14
glu,0,3,3,vacuole,17,0,57,99,15,1,5,15,12,14
glu,0,3,3,vacuole,18,0,147,182,22,1,1,22,15,14
glu,0,3,3,vacuole,20,0,48,64,18,4,0,18,12,8
glu,0,3,3,vacuole,21,0,30,36,16,4,4,16,10,10
glu,0,3,3,vacuole,22,0,232,323,23,1,3,23,18,22
glu,0,3,3,vacuole,23,0,43,49,17,2,5,17,9,12
glu,0,3,3,vacuole,24,0,64,90,15,2,0,15,11,10
glu,0,3,3,vacuole,25,0,140,168,16,5,2,16,17,16
glu,0,3,3,vacuole,26,0,79,100,19,1,2,19,11,12
glu,0,3,3,vacuole,27,0,9,12,14,4,3,14,7,7
glu,0,3,3,vacuole,28,0,101,144,18,0,2,18,12,14
glu,0,3,3,vacuole,29,0,29,36,16,4,1,16,10,7
glu,0,3,3,vacuole,30,0,43,56,16,0,6,16,8,13
glu,0,3,3,vacuole,31,0,115,144,15,3,1,15,15,13
glu,0,3,3,vacuole,32,0,20,25,11,1,3,11,6,8
glu,0,3,3,vacuole,33,0,57,72,11,1,3,11,10,11
glu,0,3,3,vacuole,34,0,60,90,16,0,3,16,9,13
glu,0,3,3,vacuole,35,0,18,25,17,2,3,17,7,8
glu,0,3,3,vacuole,36,0,16,20,15,1,1,15,6,5
glu,0,3,3,vacuole,37,0,138,182,15,2,2,15,15,16
glu,0,3,3,vacuole,38,0,28,36,17,3,3,17,9,9
glu,0,3,3,vacuole,39,0,33,42,12,0,3,12,7,9
glu,0,3,3,vacuole,40,0,25,30,22,2,2,22,8,7
glu,0,3,3,vacuole,41,0,28,30,16,3,1,16,9,6
glu,0,3,3,vacuole,43,0,74,100,24,1,3,24,11,13
glu,0,3,3,vacuole,44,0,70,99,16,2,5,16,11,16
glu,0,3,3,vacuole,45,0,2,2,12,3,6,12,4,8
glu,0,3,3,vacuole,46,0,20,20,17,2,3,17,6,8
glu,0,3,3,vacuole,47,0,106,132,15,2,4,15,13,16
glu,0,3,3,vacuole,48,0,54,100,12,1,3,12,11,13
glu,0,3,3,vacuole,49,0,95,120,15,4,0,15,16,10
glu,0,3,3,vacuole,50,0,136,169,11,1,3,11,14,16
glu,0,3,3,vacuole,51,0,32,36,16,2,7,16,8,13
glu,0,3,3,vacuole,52,0,21,25,17,2,1,17,7,6
glu,0,3,3,vacuole,53,0,32,36,18,3,3,18,9,9
glu,0,3,3,vacuole,54,0,36,49,21,4,2,21,11,9
glu,0,3,3,vacuole,55,0,5,6,19,1,1,19,4,3
glu,0,3,3,vacuole,56,0,73,117,21,2,2,21,11,15
glu,0,3,3,vacuole,57,0,43,49,15,1,1,15,8,8
glu,0,3,3,vacuole,58,0,41,72,17,1,3,17,10,11
glu,0,3,3,vacuole,59,0,47,64,17,2,1,17,10,9
glu,0,3,3,vacuole,61,0,47,56,18,3,3,18,11,10
glu,0,3,3,vacuole,62,0,43,49,14,4,3,14,11,10
glu,0,3,3,vacuole,63,0,111,180,15,2,5,15,17,17
glu,0,3,3,vacuole,64,0,91,140,20,0,2,20,14,12
glu,0,3,3,vacuole,65,0,59,84,15,4,2,15,11,14
glu,0,3,3,vacuole,66,0,35,42,18,4,5,18,10,12
glu,0,3,3,vacuole,67,0,28,30,8,4,5,8,10,10
glu,0,3,3,vacuole,68,0,55,80,16,1,2,16,11,10
glu,0,3,3,vacuole,69,0,9,10,21,1,5,21,3,10
glu,0,3,3,vacuole,70,0,141,198,17,2,0,17,13,18
glu,0,3,3,vacuole,71,0,21,30,17,0,3,17,6,8
glu,0,3,3,vacuole,72,0,53,88,16,2,2,16,13,10
glu,0,3,3,vacuole,73,0,55,100,19,4,3,19,14,13
glu,0,3,3,vacuole,75,0,30,36,17,1,4,17,7,10
glu,0,3,3,vacuole,76,0,91,110,17,1,3,17,12,13
glu,0,3,3,vacuole,79,0,21,30,16,2,3,16,7,9
glu,0,3,3,vacuole,80,0,64,91,15,3,3,15,10,16
glu,0,3,3,vacuole,81,0,1,1,26,4,10,26,5,11
glu,0,3,3,vacuole,82,0,102,132,18,5,1,18,16,13
glu,0,3,3,vacuole,85,0,39,42,16,3,1,16,10,7
glu,0,3,3,vacuole,86,0,14,18,22,1,5,22,7,8
glu,0,3,3,vacuole,87,0,45,49,17,1,1,17,8,8
glu,0,3,3,vacuole,88,0,1,1,15,4,5,15,5,6
glu,0,3,3,vacuole,89,0,98,144,17,1,2,17,13,14
glu,0,3,3,vacuole,90,0,67,81,17,0,5,17,9,14
glu,0,3,3,vacuole,91,0,82,130,17,2,2,17,15,12
glu,0,3,3,vacuole,92,0,57,100,16,0,3,16,10,13
glu,0,3,3,vacuole,93,0,33,56,17,2,5,17,9,13
glu,0,3,3,vacuole,94,0,83,117,18,1,2,18,14,11
glu,0,3,3,vacuole,95,0,158,224,12,1,3,12,17,17
glu,0,3,3,vacuole,96,0,44,56,14,1,0,14,8,8
glu,0,3,3,vacuole,97,0,29,35,14,1,1,14,6,8
glu,0,3,3,vacuole,98,0,50,64,18,3,4,18,11,12
glu,0,3,3,vacuole,99,0,307,380,15,3,2,15,23,21
glu,0,3,3,vacuole,100,0,20,30,14,2,3,14,7,9
glu,0,3,3,vacuole,101,0,94,154,20,1,3,20,12,17
glu,0,3,3,vacuole,102,0,125,180,16,6,3,16,21,15
glu,0,3,3,vacuole,103,0,61,96,21,2,3,21,14,11
glu,0,3,3,vacuole,104,0,26,36,17,3,3,17,9,9
