experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,0,ER,1,255,732,5440,17,1,0,37,18,16
glu,0-5,3,0,ER,2,255,658,4500,17,1,0,37,16,15
glu,0-5,3,0,ER,7,255,718,4410,16,0,0,37,15,14
glu,0-5,3,0,ER,8,255,484,2592,19,0,0,37,12,12
glu,0-5,3,0,ER,9,255,320,2299,18,0,0,37,11,11
glu,0-5,3,0,ER,11,255,190,1296,19,1,1,37,9,10
glu,0-5,3,0,ER,12,255,660,4480,17,0,0,37,16,14
glu,0-5,3,0,ER,13,255,404,2268,16,0,0,37,12,9
glu,0-5,3,0,ER,14,255,566,3900,17,1,0,37,14,15
glu,0-5,3,0,ER,15,255,731,5400,17,0,1,37,15,19
glu,0-5,3,0,ER,17,255,664,4160,17,1,0,37,17,13
glu,0-5,3,0,ER,20,255,661,5040,16,1,0,37,17,15
glu,0-5,3,0,ER,22,255,611,5040,17,1,0,37,15,18
glu,0-5,3,0,ER,25,255,449,2717,18,1,0,37,14,11
glu,0-5,3,0,ER,26,255,910,5780,17,0,0,37,17,17
glu,0-5,3,0,ER,27,255,568,3640,17,1,0,37,14,14
glu,0-5,3,0,ER,29,255,724,3952,18,0,1,37,16,14
glu,0-5,3,0,ER,31,255,469,4800,17,1,0,37,16,16
glu,0-5,3,0,ER,35,255,1418,12600,16,1,0,37,25,25
glu,0-5,3,0,ER,37,255,633,4725,16,2,1,37,17,16
glu,0-5,3,0,ER,38,255,189,1040,24,0,0,37,10,8
glu,0-5,3,0,ER,40,255,520,3080,17,0,1,37,14,12
glu,0-5,3,0,ER,41,255,804,6426,16,1,0,37,18,18
glu,0-5,3,0,ER,42,255,401,2520,17,1,0,37,15,9
glu,0-5,3,0,ER,45,255,713,4800,17,2,0,37,18,15
glu,0-5,3,0,ER,49,255,378,2057,20,1,0,37,12,11
glu,0-5,3,0,ER,52,255,1075,7480,17,2,0,37,19,22
glu,0-5,3,0,ER,54,255,55,840,22,2,1,37,9,9
glu,0-5,3,0,ER,57,255,758,4641,16,0,0,37,17,13
glu,0-5,3,0,ER,59,255,815,5400,17,1,0,37,19,15
glu,0-5,3,0,ER,61,255,290,1620,19,1,0,37,11,9
glu,0-5,3,0,ER,62,255,745,4368,16,2,0,37,18,13
glu,0-5,3,0,ER,63,255,794,4480,17,0,0,37,14,16
glu,0-5,3,0,ER,64,255,414,1836,20,0,0,37,12,9
glu,0-5,3,0,ER,69,255,941,6072,15,2,0,37,14,23
glu,0-5,3,0,ER,72,255,656,4368,16,1,0,37,17,13
glu,0-5,3,0,ER,73,255,502,3528,16,1,0,37,13,14
glu,0-5,3,0,ER,74,255,179,1120,16,0,0,36,8,7
glu,0-5,3,0,ER,75,255,358,2000,17,1,0,37,11,10
glu,0-5,3,0,ER,76,255,2087,14784,16,2,0,37,24,32
glu,0-5,3,0,ER,77,255,873,4725,16,0,0,37,15,15
glu,0-5,3,0,ER,80,255,1283,8712,15,0,0,37,18,22
glu,0-5,3,0,ER,81,255,648,3640,17,1,0,37,14,14
glu,0-5,3,0,ER,82,255,403,3120,17,2,0,37,14,13
glu,0-5,3,0,ER,84,255,1565,11132,15,0,0,37,22,23
glu,0-5,3,0,ER,85,255,730,4998,16,1,0,37,18,14
glu,0-5,3,0,ER,86,255,918,6384,16,1,0,37,17,19
glu,0-5,3,0,ER,87,255,311,1344,16,0,0,37,8,8
glu,0-5,3,0,ER,88,255,944,6120,17,1,0,37,19,17
glu,0-5,3,0,ER,90,255,1011,7497,16,2,0,37,19,21
glu,0-5,3,0,ER,92,255,775,4368,16,1,0,37,17,13
glu,0-5,3,0,ER,93,255,1292,11109,16,0,0,37,23,23
glu,0-5,3,0,ER,94,255,862,4998,16,0,1,37,14,18
glu,0-5,3,0,ER,95,255,1630,11638,14,0,0,37,23,22
glu,0-5,3,0,ER,96,255,663,3780,16,0,0,37,15,12
glu,0-5,3,0,ER,97,255,754,5586,16,0,0,37,19,14
glu,0-5,3,0,ER,98,255,1081,5670,16,0,0,37,18,15
glu,0-5,3,0,ER,99,255,579,3528,16,1,0,37,13,14
glu,0-5,3,0,ER,101,255,463,2565,18,2,0,37,17,9
glu,0-5,3,0,ER,103,255,197,1260,23,0,0,37,9,10
glu,0-5,3,0,ER,105,255,1146,5985,16,0,1,37,15,20
glu,0-5,3,0,ER,109,255,1436,8820,16,0,0,37,20,21
glu,0-5,3,0,ER,110,255,632,2800,17,2,0,37,12,14
glu,0-5,3,0,ER,111,255,245,1350,22,0,0,37,9,10
glu,0-5,3,0,ER,114,255,684,4095,16,2,0,37,15,15
glu,0-5,3,0,ER,115,255,833,6384,16,1,0,37,20,16
glu,0-5,3,0,ER,116,255,614,3780,16,2,0,37,14,15
glu,0-5,3,0,ER,118,255,570,3780,16,0,0,37,15,12
glu,0-5,3,0,ER,119,255,622,3705,18,1,0,37,14,15
glu,0-5,3,0,ER,121,255,904,6840,17,1,0,37,19,19
glu,0-5,3,0,ER,122,255,788,4704,16,1,0,37,17,14
glu,0-5,3,0,ER,124,255,1359,7056,16,0,0,37,16,21
glu,0-5,3,0,ER,127,255,449,2772,16,2,0,37,14,11
glu,0-5,3,0,ER,130,255,752,5440,17,0,0,37,17,16
glu,0-5,3,0,ER,133,255,689,4200,17,2,0,37,16,15
glu,0-5,3,0,ER,134,255,747,5040,17,0,0,37,14,18
glu,0-5,3,0,ER,137,255,1429,10120,17,1,0,37,23,23
glu,0-5,3,0,ER,143,255,983,5780,17,0,0,37,17,17
glu,0-5,3,0,ER,144,255,654,3420,18,0,0,37,12,15
glu,0-5,3,0,ER,148,255,814,4560,18,2,1,37,17,17
glu,0-5,3,0,ER,150,255,369,2310,16,0,0,37,10,11
glu,0-5,3,0,ER,152,255,699,4928,15,0,0,37,16,14
glu,0-5,3,0,ER,156,255,660,3640,17,2,0,37,15,14
glu,0-5,3,0,ER,160,255,841,5100,17,0,0,37,15,17
glu,0-5,3,0,ER,166,255,806,4760,17,2,0,37,19,14
glu,0-5,3,0,ER,169,255,786,4800,17,0,0,37,15,16
glu,0-5,3,0,ER,171,255,631,3360,17,2,0,37,14,14
glu,0-5,3,0,ER,173,255,681,5400,17,2,0,37,17,18
glu,0-5,3,0,ER,174,255,585,3458,18,2,0,37,15,14
glu,0-5,3,0,ER,177,255,975,6080,17,2,0,37,18,19
glu,0-5,3,0,ER,178,255,479,2299,18,2,0,37,13,11
glu,0-5,3,0,ER,181,255,166,1008,23,2,0,37,10,9
glu,0-5,3,0,ER,184,255,649,4800,17,0,0,37,15,16
glu,0-5,3,0,ER,186,255,707,4420,17,1,0,37,18,13
glu,0-5,3,0,ER,187,255,270,1980,19,1,1,37,12,11
glu,0-5,3,0,ER,189,255,730,4320,19,0,0,37,16,15
glu,0-5,3,0,ER,190,255,815,5472,18,0,1,37,16,19
glu,0-5,3,0,ER,193,255,500,4199,18,3,0,37,16,17
glu,0-5,3,0,ER,195,255,376,2700,19,3,1,37,13,16
glu,0-5,3,0,ER,198,255,404,2244,20,3,0,37,14,12
glu,0-5,3,0,ER,199,255,323,2160,19,2,0,37,14,10
glu,0-5,3,0,ER,200,255,497,3276,19,3,0,37,16,14
