experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0,3,1,ER,3,255,338,3036,9,0,0,32,11,12
glu,0,3,1,ER,5,255,155,3549,10,1,2,31,14,15
glu,0,3,1,ER,6,255,830,5760,8,1,0,32,16,16
glu,0,3,1,ER,7,255,389,2760,8,0,1,31,12,11
glu,0,3,1,ER,8,255,628,6528,8,0,0,32,16,17
glu,0,3,1,ER,9,255,830,5950,7,0,0,32,17,14
glu,0,3,1,ER,10,255,332,1980,8,0,0,30,10,9
glu,0,3,1,ER,11,255,131,1584,9,2,0,27,10,11
glu,0,3,1,ER,12,255,1003,6630,7,1,0,33,18,15
glu,0,3,1,ER,13,255,789,4992,8,1,0,32,14,16
glu,0,3,1,ER,14,255,210,1472,8,1,0,31,9,8
glu,0,3,1,ER,15,255,872,6720,7,0,0,37,14,16
glu,0,3,1,ER,16,255,558,4704,7,0,0,31,14,14
glu,0,3,1,ER,17,255,526,5100,9,0,0,34,17,12
glu,0,3,1,ER,18,255,839,6144,8,0,0,32,16,16
glu,0,3,1,ER,19,255,744,6375,7,0,0,32,17,15
glu,0,3,1,ER,20,255,829,5625,7,1,0,32,16,15
glu,0,3,1,ER,21,255,765,6936,7,0,1,31,17,18
glu,0,3,1,ER,22,255,1078,8160,7,1,0,31,18,20
glu,0,3,1,ER,23,255,819,5460,6,0,0,32,15,14
glu,0,3,1,ER,26,255,782,5460,6,0,0,32,15,14
glu,0,3,1,ER,27,255,1110,6240,7,1,0,33,16,16
glu,0,3,1,ER,28,255,906,5250,6,0,0,31,14,15
glu,0,3,1,ER,33,255,793,6720,8,1,0,32,15,20
glu,0,3,1,ER,34,255,641,3300,7,0,0,32,11,12
glu,0,3,1,ER,35,255,741,5712,7,0,0,31,14,17
glu,0,3,1,ER,36,255,566,3744,7,1,0,31,14,12
glu,0,3,1,ER,37,255,1090,7182,7,0,0,34,14,19
glu,0,3,1,ER,38,255,918,5824,8,0,0,34,16,14
glu,0,3,1,ER,41,255,905,5824,7,0,0,33,14,16
glu,0,3,1,ER,42,255,1117,7072,7,1,0,33,18,16
glu,0,3,1,ER,44,255,712,4056,8,0,0,34,12,13
glu,0,3,1,ER,45,255,752,6000,6,1,0,31,16,16
glu,0,3,1,ER,46,255,824,6048,6,1,0,33,15,16
glu,0,3,1,ER,48,255,320,2376,8,0,0,32,11,9
glu,0,3,1,ER,49,255,776,5376,7,1,0,35,13,16
glu,0,3,1,ER,50,255,956,9975,7,1,0,32,20,21
glu,0,3,1,ER,51,255,1041,7020,6,0,0,32,15,18
glu,0,3,1,ER,52,255,2070,14036,5,1,0,34,23,22
glu,0,3,1,ER,53,255,883,5250,8,1,0,33,15,15
glu,0,3,1,ER,54,255,1256,9044,5,1,0,33,18,19
glu,0,3,1,ER,55,255,280,2475,8,0,0,33,11,9
glu,0,3,1,ER,56,255,730,4032,7,1,0,31,13,14
glu,0,3,1,ER,57,255,923,5850,7,0,0,33,15,15
