experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,6,LD,2,159,1,1,11,5,5,12,6,6
glu,0-5,3,6,LD,2,162,1,1,11,10,6,12,11,7
glu,0-5,3,6,LD,2,616,2,2,14,2,4,16,3,5
glu,0-5,3,6,LD,2,907,1,1,15,2,3,16,3,4
glu,0-5,3,6,LD,2,909,2,2,15,5,2,16,7,3
glu,0-5,3,6,LD,2,913,8,8,14,7,8,16,9,10
glu,0-5,3,6,LD,2,920,1,1,15,11,3,16,12,4
glu,0-5,3,6,LD,2,1208,12,30,14,9,2,19,12,4
glu,0-5,3,6,LD,2,1503,5,8,17,3,9,19,5,11
glu,0-5,3,6,LD,2,1506,12,36,15,5,0,19,8,3
glu,0-5,3,6,LD,2,2026,2,2,19,11,5,20,12,7
glu,0-5,3,6,LD,2,2273,2,2,20,0,5,21,1,7
glu,0-5,3,6,LD,2,2274,2,2,20,3,10,21,5,11
glu,0-5,3,6,LD,2,2278,3,4,20,5,5,22,6,7
glu,0-5,3,6,LD,2,2280,11,24,19,6,0,23,9,2
glu,0-5,3,6,LD,2,2527,8,24,20,1,9,24,4,11
glu,0-5,3,6,LD,2,2529,3,4,20,6,10,22,8,11
glu,0-5,3,6,LD,2,2535,7,8,20,10,5,22,12,7
glu,0-5,3,6,LD,2,2536,1,1,21,11,4,22,12,5
glu,0-5,3,6,LD,2,2988,4,8,22,2,9,24,4,11
glu,0-5,3,6,LD,2,3260,2,2,24,0,5,25,2,6
glu,0-5,3,6,LD,2,3262,9,12,24,4,1,26,7,3
glu,0-5,3,6,LD,2,3263,9,12,23,6,9,26,8,11
glu,0-5,3,6,LD,2,3498,6,8,25,9,4,27,11,6
glu,0-5,3,6,LD,2,3740,2,2,26,1,5,28,2,6
glu,0-5,3,6,LD,2,3745,2,2,26,9,4,27,11,5
glu,0-5,3,6,LD,2,3948,1,1,27,3,9,28,4,10
glu,0-5,3,6,LD,2,4106,2,2,28,1,7,29,3,8
glu,0-5,3,6,LD,2,4240,7,18,28,5,1,31,8,3
glu,0-5,3,6,LD,2,4339,2,2,30,5,4,32,6,5
glu,0-5,3,6,LD,2,4418,5,6,31,8,3,32,10,6
glu,0-5,3,6,LD,3,102,2,2,10,3,2,11,4,4
glu,0-5,3,6,LD,3,160,1,1,11,6,2,12,7,3
glu,0-5,3,6,LD,3,262,7,27,11,4,1,14,7,4
glu,0-5,3,6,LD,3,615,3,4,14,0,5,15,2,7
glu,0-5,3,6,LD,3,906,4,8,14,0,7,16,2,9
glu,0-5,3,6,LD,3,912,2,2,15,7,8,16,9,9
glu,0-5,3,6,LD,3,917,5,8,14,8,4,16,10,6
glu,0-5,3,6,LD,3,1206,1,1,16,7,2,17,8,3
glu,0-5,3,6,LD,3,1504,7,16,16,2,1,20,4,3
glu,0-5,3,6,LD,3,1511,1,1,17,9,7,18,10,8
glu,0-5,3,6,LD,3,1773,3,3,17,5,3,20,6,4
glu,0-5,3,6,LD,3,1775,4,8,18,7,1,20,9,3
glu,0-5,3,6,LD,3,2019,5,8,18,0,7,20,2,9
glu,0-5,3,6,LD,3,2021,1,1,19,5,9,20,6,10
glu,0-5,3,6,LD,3,2276,2,2,19,3,0,21,4,1
glu,0-5,3,6,LD,3,2279,3,4,19,5,9,21,6,11
glu,0-5,3,6,LD,3,2526,8,12,20,0,3,22,3,5
glu,0-5,3,6,LD,3,2737,3,4,22,1,8,23,3,10
glu,0-5,3,6,LD,3,2989,8,18,23,2,2,25,5,5
glu,0-5,3,6,LD,3,3488,3,4,25,2,2,26,4,4
glu,0-5,3,6,LD,3,3489,12,12,25,2,8,27,5,10
glu,0-5,3,6,LD,3,4239,9,12,29,2,2,31,5,4
glu,0-5,3,6,LD,3,4340,2,2,30,5,5,31,7,6
glu,0-5,3,6,LD,4,28,3,4,7,5,2,9,7,3
glu,0-5,3,6,LD,4,263,3,4,12,12,7,14,14,8
glu,0-5,3,6,LD,4,410,2,2,13,2,9,14,4,10
glu,0-5,3,6,LD,4,617,9,27,13,6,2,16,9,5
glu,0-5,3,6,LD,4,621,9,18,13,7,0,16,9,3
glu,0-5,3,6,LD,4,908,10,18,14,0,7,17,2,10
glu,0-5,3,6,LD,4,910,17,45,13,3,1,18,6,4
glu,0-5,3,6,LD,4,925,3,3,14,12,2,17,13,3
glu,0-5,3,6,LD,4,926,3,4,15,12,6,17,14,7
glu,0-5,3,6,LD,4,1507,2,2,17,4,3,19,5,4
glu,0-5,3,6,LD,4,1508,8,16,16,2,11,18,6,13
glu,0-5,3,6,LD,4,1509,7,12,17,4,1,19,6,4
glu,0-5,3,6,LD,4,1772,1,1,18,2,11,19,3,12
glu,0-5,3,6,LD,4,1779,1,1,18,9,1,19,10,2
glu,0-5,3,6,LD,4,2275,5,8,20,1,10,22,3,12
glu,0-5,3,6,LD,4,2277,2,2,20,2,7,21,3,9
glu,0-5,3,6,LD,4,2281,9,12,20,4,10,22,6,13
glu,0-5,3,6,LD,4,2286,7,12,20,10,2,22,12,5
glu,0-5,3,6,LD,4,2290,2,2,20,13,6,22,14,7
glu,0-5,3,6,LD,4,2528,11,18,20,0,7,23,2,10
glu,0-5,3,6,LD,4,2738,12,45,20,2,1,23,5,6
glu,0-5,3,6,LD,4,2741,2,2,22,6,0,24,7,1
glu,0-5,3,6,LD,4,2743,1,1,22,8,0,23,9,1
glu,0-5,3,6,LD,4,2745,2,2,22,10,3,23,11,5
glu,0-5,3,6,LD,4,2992,1,1,23,7,0,24,8,1
glu,0-5,3,6,LD,4,2993,5,8,23,10,1,25,11,5
glu,0-5,3,6,LD,4,3261,7,12,23,1,8,25,3,11
glu,0-5,3,6,LD,4,3490,4,4,25,3,2,27,4,4
glu,0-5,3,6,LD,4,3491,5,8,25,4,4,27,6,6
glu,0-5,3,6,LD,4,3493,5,12,25,5,9,27,7,12
glu,0-5,3,6,LD,4,3501,1,1,25,10,3,26,11,4
glu,0-5,3,6,LD,4,3506,3,4,25,13,5,27,14,7
glu,0-5,3,6,LD,4,3744,2,2,26,7,4,27,9,5
glu,0-5,3,6,LD,4,3950,8,18,27,1,8,29,4,11
glu,0-5,3,6,LD,4,4107,5,6,28,1,8,29,3,11
glu,0-5,3,6,LD,4,4341,3,4,30,3,3,32,5,4
glu,0-5,3,6,LD,5,63,3,4,8,9,6,10,10,8
glu,0-5,3,6,LD,5,411,6,8,13,1,1,15,3,3
glu,0-5,3,6,LD,5,618,2,2,14,5,1,16,6,2
glu,0-5,3,6,LD,5,619,1,1,14,5,10,15,6,11
glu,0-5,3,6,LD,5,623,8,18,12,7,3,15,9,6
glu,0-5,3,6,LD,5,918,10,32,14,4,11,18,8,13
glu,0-5,3,6,LD,5,922,13,24,13,6,4,17,9,6
glu,0-5,3,6,LD,5,1204,7,12,15,0,3,18,2,5
glu,0-5,3,6,LD,5,1205,4,6,14,1,7,17,2,9
glu,0-5,3,6,LD,5,1211,2,2,16,8,5,17,9,7
glu,0-5,3,6,LD,5,1780,6,12,17,7,0,19,10,2
glu,0-5,3,6,LD,5,1782,17,45,15,8,5,20,11,8
glu,0-5,3,6,LD,5,1783,7,12,17,9,10,20,11,12
glu,0-5,3,6,LD,5,2020,1,1,19,0,6,20,1,7
glu,0-5,3,6,LD,5,2025,14,36,16,4,11,22,7,13
glu,0-5,3,6,LD,5,2289,2,2,20,10,6,22,11,7
glu,0-5,3,6,LD,5,2531,1,1,21,2,9,22,3,10
glu,0-5,3,6,LD,5,2533,2,2,21,5,5,22,6,7
glu,0-5,3,6,LD,5,2538,7,18,20,6,2,22,9,5
glu,0-5,3,6,LD,5,2744,9,12,22,5,11,24,8,13
glu,0-5,3,6,LD,5,2990,2,2,22,0,3,24,1,4
glu,0-5,3,6,LD,5,2991,3,4,22,0,5,24,1,7
glu,0-5,3,6,LD,5,3264,7,18,24,7,2,26,10,5
glu,0-5,3,6,LD,5,3267,4,4,24,9,4,26,11,5
glu,0-5,3,6,LD,5,3492,3,4,24,1,2,26,3,3
glu,0-5,3,6,LD,5,3496,4,8,25,4,5,27,6,7
glu,0-5,3,6,LD,5,3502,6,9,24,7,8,27,10,9
glu,0-5,3,6,LD,5,3504,3,4,24,9,7,26,11,8
glu,0-5,3,6,LD,5,3741,2,2,26,3,2,27,5,3
glu,0-5,3,6,LD,5,3742,1,1,26,3,9,27,4,10
glu,0-5,3,6,LD,5,3743,1,1,26,4,5,27,5,6
glu,0-5,3,6,LD,5,3746,5,6,26,5,11,27,8,13
glu,0-5,3,6,LD,5,3747,3,4,26,7,7,28,8,9
glu,0-5,3,6,LD,5,3949,4,4,27,0,4,29,1,6
glu,0-5,3,6,LD,5,4108,6,8,27,0,2,29,2,4
glu,0-5,3,6,LD,5,4118,5,9,26,9,2,29,10,5
glu,0-5,3,6,LD,5,4242,2,2,29,7,6,31,8,7
glu,0-5,3,6,LD,5,4243,3,4,29,9,7,31,11,8
glu,0-5,3,6,LD,5,4342,2,2,30,2,5,31,4,6
