experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,5,3,5,LD,1,15,1,1,2,6,3,3,7,4
glu,5,3,5,LD,1,114,2,2,5,3,5,6,4,7
glu,5,3,5,LD,1,116,4,8,5,3,6,7,5,8
glu,5,3,5,LD,1,174,3,4,6,2,5,7,4,7
glu,5,3,5,LD,1,276,2,2,7,8,4,8,9,6
glu,5,3,5,LD,1,648,3,4,9,9,8,11,10,10
glu,5,3,5,LD,1,1025,14,64,9,2,4,13,6,8
glu,5,3,5,LD,1,1026,1,1,10,5,9,11,6,10
glu,5,3,5,LD,1,1030,18,36,9,7,2,12,10,6
glu,5,3,5,LD,1,1493,7,12,9,11,7,12,13,9
glu,5,3,5,LD,1,2001,3,4,11,13,4,13,14,6
glu,5,3,5,LD,1,2593,5,8,12,3,2,14,5,4
glu,5,3,5,LD,1,2598,3,4,12,7,9,14,8,11
glu,5,3,5,LD,1,2600,9,36,12,7,0,15,11,3
glu,5,3,5,LD,1,2601,1,1,13,10,2,14,11,3
glu,5,3,5,LD,1,2604,2,2,13,12,4,14,14,5
glu,5,3,5,LD,1,3119,6,12,13,5,9,15,8,11
glu,5,3,5,LD,1,3128,24,108,11,13,4,17,16,10
glu,5,3,5,LD,1,3682,4,8,14,1,2,16,3,4
glu,5,3,5,LD,1,3687,3,4,14,10,9,16,11,11
glu,5,3,5,LD,1,3690,8,18,13,12,2,16,14,5
glu,5,3,5,LD,1,4274,8,12,15,2,1,17,5,3
glu,5,3,5,LD,1,4275,19,30,14,4,9,19,7,11
glu,5,3,5,LD,1,4285,2,2,15,13,9,17,14,10
glu,5,3,5,LD,1,4860,13,30,16,0,3,21,2,6
glu,5,3,5,LD,1,4861,7,18,16,1,6,19,3,9
glu,5,3,5,LD,1,4867,16,56,15,7,10,19,14,12
glu,5,3,5,LD,1,4875,2,2,17,15,5,18,16,7
glu,5,3,5,LD,1,5373,2,2,18,1,6,19,2,8
glu,5,3,5,LD,1,5375,7,9,17,2,1,20,5,2
glu,5,3,5,LD,1,5378,37,80,13,6,0,21,11,2
glu,5,3,5,LD,1,5385,53,135,15,10,1,24,13,6
glu,5,3,5,LD,1,5954,26,42,16,8,10,23,11,12
glu,5,3,5,LD,1,5960,15,36,17,14,7,23,16,10
glu,5,3,5,LD,1,6468,10,20,18,1,8,23,3,10
glu,5,3,5,LD,1,6966,2,2,20,1,7,22,2,8
glu,5,3,5,LD,1,6969,14,15,17,4,3,22,7,4
glu,5,3,5,LD,1,6973,2,2,21,8,0,22,10,1
glu,5,3,5,LD,1,6974,8,18,21,10,5,24,13,7
glu,5,3,5,LD,1,6976,2,2,21,12,2,22,13,4
glu,5,3,5,LD,1,7500,2,2,21,1,3,23,2,4
glu,5,3,5,LD,1,7507,9,24,21,14,6,25,16,9
glu,5,3,5,LD,1,8002,70,192,17,4,0,29,8,4
glu,5,3,5,LD,1,8491,12,36,22,1,3,28,3,6
glu,5,3,5,LD,1,8492,2,2,24,2,8,25,3,10
glu,5,3,5,LD,1,8496,10,24,21,4,9,25,7,11
glu,5,3,5,LD,1,8497,30,135,19,7,0,28,12,3
glu,5,3,5,LD,1,8498,5,12,24,8,5,26,11,7
glu,5,3,5,LD,1,8986,1,1,25,2,7,26,3,8
glu,5,3,5,LD,1,8988,6,12,24,2,8,27,4,10
glu,5,3,5,LD,1,8991,2,2,25,8,6,27,9,7
glu,5,3,5,LD,1,9472,2,2,26,2,4,28,3,5
