experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
glu,0-5,3,7,1,185,8.756756756756756,192.40540540540542,2,184,16,201,0.6645037949951857
glu,0-5,3,7,2,250,14.42,356.308,7,347,23,367,0.6260179305072578
glu,0-5,3,7,3,260,16.407692307692308,415.2846153846154,8,406,26,425,0.411582088722407
glu,0-5,3,7,5,408,23.139705882352942,380.5833333333333,11,371,36,392,0.5189349362227695
glu,0-5,3,7,6,65,16.984615384615385,161.4923076923077,13,157,23,167,0.5328409416667826
glu,0-5,3,7,7,149,22.026845637583893,170.9798657718121,15,164,29,179,0.6444581625498833
glu,0-5,3,7,8,193,26.989637305699482,152.42487046632124,20,145,35,161,0.43443496688750827
glu,0-5,3,7,9,195,27.087179487179487,429.8615384615385,20,421,35,439,0.5183583995669182
glu,0-5,3,7,11,201,30.54726368159204,182.8955223880597,24,174,38,192,0.6290240087296379
glu,0-5,3,7,12,186,32.6505376344086,137.3548387096774,25,130,41,145,0.535303105504971
glu,0-5,3,7,13,212,36.367924528301884,416.2688679245283,29,408,45,426,0.5308239470194015
glu,0-5,3,7,14,212,38.12264150943396,165.6556603773585,31,158,46,175,0.42081184755152257
glu,0-5,3,7,15,331,40.47129909365559,394.7794561933535,31,385,51,406,0.34697688845870645
glu,0-5,3,7,16,138,37.710144927536234,332.5507246376812,32,326,44,340,0.533547329208843
glu,0-5,3,7,17,224,39.83482142857143,348.8705357142857,32,341,49,358,0.37557214358580404
glu,0-5,3,7,18,102,39.34313725490196,194.38235294117646,34,189,45,201,0.4925316948417852
glu,0-5,3,7,19,75,39.666666666666664,362.68,35,359,46,368,0.5934460512685056
glu,0-5,3,7,20,220,43.95909090909091,148.57272727272726,36,141,53,158,0.5390072339819839
glu,0-5,3,7,21,274,45.45255474452555,376.51824817518246,37,367,55,390,0.6427357900568477
glu,0-5,3,7,22,316,47.9873417721519,431.0348101265823,38,422,59,441,0.41042768431202736
glu,0-5,3,7,23,118,47.58474576271186,130.8050847457627,41,126,55,137,0.5455634859149249
glu,0-5,3,7,24,118,50.016949152542374,410.728813559322,44,404,57,418,0.8135451408566939
glu,0-5,3,7,25,209,52.49282296650718,331.4593301435407,46,323,60,341,0.6467265046265
glu,0-5,3,7,26,207,53.55072463768116,358.42995169082127,46,351,62,368,0.6322719377765672
glu,0-5,3,7,27,187,58.2620320855615,177.32085561497325,51,170,66,185,0.358231700429498
glu,0-5,3,7,28,106,57.924528301886795,344.5377358490566,51,340,65,350,0.7166880242907291
glu,0-5,3,7,29,110,57.14545454545455,138.78181818181818,52,133,63,146,0.6274982831818714
glu,0-5,3,7,30,132,59.09848484848485,378.22727272727275,52,373,67,386,0.6293739568461528
glu,0-5,3,7,31,59,57.20338983050848,390.6101694915254,53,386,62,395,0.44224945397392057
glu,0-5,3,7,32,340,63.23235294117647,404.88823529411764,53,395,74,416,0.4437890945456707
glu,0-5,3,7,33,187,62.219251336898395,159.10160427807486,55,152,71,167,0.3181113832418168
glu,0-5,3,7,34,94,62.45744680851064,367.0531914893617,56,362,69,372,0.6729990242815331
glu,0-5,3,7,36,226,70.19911504424779,386.4734513274336,62,378,78,396,0.5550595007679996
glu,0-5,3,7,37,220,70.32272727272728,143.98636363636365,63,136,79,153,0.44401495605360985
glu,0-5,3,7,38,283,73.85512367491167,191.14134275618375,65,182,83,201,0.4367493723362878
glu,0-5,3,7,39,74,71.79729729729729,173.33783783783784,68,169,77,179,0.535372982679606
glu,0-5,3,7,40,223,75.53811659192826,359.3542600896861,68,351,85,369,0.5241222492881797
