experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
glu,0,3,0,2,188,18.99468085106383,260.9574468085106,12,253,27,270,0.4382592864565288
glu,0,3,0,4,156,26.33974358974359,355.2307692307692,20,349,34,363,0.3007481894923852
glu,0,3,0,5,60,27.85,252.05,24,248,33,257,0.546170409758274
glu,0,3,0,7,177,37.19209039548023,483.91525423728814,30,477,45,491,0.5038267176949006
glu,0,3,0,9,196,40.16326530612245,363.3316326530612,32,356,49,371,0.5404061254837279
glu,0,3,0,11,213,47.76995305164319,120.14084507042253,40,112,57,129,0.5884673747190717
glu,0,3,0,12,192,53.4375,481.96875,47,474,61,491,0.6541321579280326
glu,0,3,0,13,104,56.07692307692308,136.35576923076923,51,130,63,143,0.3660643201897154
glu,0,3,0,14,369,61.70189701897019,367.7859078590786,51,358,74,379,0.4627845924078381
glu,0,3,0,15,153,58.529411764705884,105.52941176470588,52,99,66,113,0.4931508393536776
glu,0,3,0,16,270,65.28148148148148,123.92962962962963,56,115,75,134,0.31035358858803347
glu,0,3,0,17,201,62.756218905472636,246.02985074626866,56,238,71,255,0.5966083016914613
glu,0,3,0,21,110,69.60909090909091,287.7090909090909,64,282,76,294,0.1178154884635307
glu,0,3,0,22,176,71.24431818181819,345.10795454545456,64,339,80,353,0.615204901489961
glu,0,3,0,24,113,73.72566371681415,380.3893805309734,68,374,80,387,0.26523295923265044
glu,0,3,0,25,142,77.74647887323944,360.5492957746479,72,354,85,369,0.4445765286130702
glu,0,3,0,27,219,84.4931506849315,282.675799086758,76,275,94,291,0.6436201503857751
glu,0,3,0,28,129,83.72093023255815,372.51937984496124,77,367,91,379,0.4952249849855943
glu,0,3,0,30,192,93.828125,84.56770833333333,87,77,101,94,0.6200708653320633
glu,0,3,0,36,259,115.55212355212355,166.66795366795367,107,158,125,176,0.3261217759267521
glu,0,3,0,39,236,120.75847457627118,150.1864406779661,112,142,130,159,0.5096473276149108
glu,0,3,0,40,174,119.04022988505747,259.2413793103448,112,253,128,267,0.39586473972644876
glu,0,3,0,41,96,118.57291666666667,245.97916666666666,114,241,125,252,0.2364854950290101
glu,0,3,0,42,254,125.74803149606299,185.15748031496062,118,176,135,195,0.4382767783499197
glu,0,3,0,43,170,124.32941176470588,440.1941176470588,118,433,131,449,0.615982627859472
glu,0,3,0,44,245,129.11428571428573,367.3142857142857,120,359,140,376,0.6475695684353778
glu,0,3,0,45,117,127.6068376068376,276.3931623931624,122,271,134,283,0.23375515101917424
glu,0,3,0,46,235,133.9276595744681,294.3531914893617,125,286,143,304,0.5832828128849392
glu,0,3,0,48,173,134.32369942196533,382.242774566474,127,375,143,390,0.6883489927406032
glu,0,3,0,49,176,141.63636363636363,278.8068181818182,134,272,150,287,0.6218683731095335
glu,0,3,0,50,84,141.48809523809524,305.6904761904762,136,301,147,311,0.47155830890429784
glu,0,3,0,51,229,149.35371179039302,373.7117903930131,142,365,158,384,0.6344945405908049
glu,0,3,0,52,217,151.74654377880185,449.8709677419355,145,441,160,460,0.6449019846567103
glu,0,3,0,54,178,158.85393258426967,297.30898876404495,152,290,167,305,0.307107895705071
glu,0,3,0,55,160,157.8,313.3,152,306,165,321,0.5249137594353016
glu,0,3,0,56,185,169.4162162162162,38.11351351351351,162,32,179,45,0.6068521617729511
glu,0,3,0,63,260,191.8923076923077,383.6384615384615,182,376,202,393,0.5467997263991498
glu,0,3,0,65,203,195.83251231527095,20.310344827586206,188,13,205,29,0.3274754850253646
glu,0,3,0,66,190,195.5421052631579,489.8,189,482,203,499,0.6149981980226769
glu,0,3,0,67,180,227.63333333333333,169.01666666666668,221,161,235,178,0.5768772350911258
glu,0,3,0,69,188,229.37765957446808,304.45212765957444,222,297,237,313,0.6082984228262589
glu,0,3,0,70,207,235.68599033816426,447.2657004830918,228,439,244,456,0.5387999137098757
glu,0,3,0,71,148,234.84459459459458,275.3581081081081,229,269,243,283,0.35752382401774735
glu,0,3,0,73,169,236.34319526627218,208.18343195266272,230,201,244,216,0.25972760873422
glu,0,3,0,74,168,238.26785714285714,261.2559523809524,231,255,246,269,0.35554859620160845
glu,0,3,0,75,180,244.05555555555554,287.05555555555554,236,281,253,294,0.6610586438850036
glu,0,3,0,76,132,244.1818181818182,305.2651515151515,238,299,251,312,0.32347284553680794
glu,0,3,0,78,169,252.76331360946745,65.92307692307692,246,59,261,73,0.4811020683787086
glu,0,3,0,79,161,258.2422360248447,87.65217391304348,251,81,266,95,0.29447437427649326
glu,0,3,0,83,158,269.5379746835443,44.607594936708864,262,39,278,52,0.6145430651178577
glu,0,3,0,84,155,269.36129032258066,62.08387096774194,262,56,278,69,0.6961642066948743
glu,0,3,0,85,250,272.776,77.468,263,70,283,87,0.5280088116655224
