experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,50,3,2,LD,1,1,2,2,0,7,7,1,8,9
glu,50,3,2,LD,1,2,3,4,0,7,11,2,9,12
glu,50,3,2,LD,1,3,1,1,0,7,17,1,8,18
glu,50,3,2,LD,1,4,3,4,0,10,14,2,11,16
glu,50,3,2,LD,1,13,2,2,0,19,7,1,20,9
glu,50,3,2,LD,1,278,2,2,1,1,4,2,2,6
glu,50,3,2,LD,1,279,1,1,1,20,10,2,21,11
glu,50,3,2,LD,1,397,2,2,2,13,5,4,14,6
glu,50,3,2,LD,1,398,3,4,2,14,18,3,16,20
glu,50,3,2,LD,1,400,3,4,2,17,6,4,18,8
glu,50,3,2,LD,1,568,5,12,2,1,5,5,3,7
glu,50,3,2,LD,1,569,13,32,1,1,1,5,5,3
glu,50,3,2,LD,1,570,3,4,3,8,17,4,10,19
glu,50,3,2,LD,1,571,2,2,3,9,18,5,10,19
glu,50,3,2,LD,1,575,5,12,2,16,6,4,18,9
glu,50,3,2,LD,1,724,1,1,4,5,8,5,6,9
glu,50,3,2,LD,1,725,5,8,4,4,10,6,6,12
glu,50,3,2,LD,1,726,10,24,4,5,8,6,9,11
glu,50,3,2,LD,1,728,3,4,4,11,5,5,13,7
glu,50,3,2,LD,1,883,14,24,4,1,1,7,5,3
glu,50,3,2,LD,1,884,14,36,3,7,16,7,10,19
glu,50,3,2,LD,1,1021,3,4,6,3,5,8,5,6
glu,50,3,2,LD,1,1022,2,2,6,9,5,8,10,6
glu,50,3,2,LD,1,1024,1,1,6,17,7,7,18,8
glu,50,3,2,LD,1,1159,8,8,6,13,18,8,15,20
glu,50,3,2,LD,1,1305,7,18,7,19,9,9,22,12
glu,50,3,2,LD,1,1451,1,1,9,8,16,10,9,17
glu,50,3,2,LD,5,5,6,12,0,3,11,2,6,13
glu,50,3,2,LD,5,6,3,4,0,5,5,1,7,7
glu,50,3,2,LD,5,7,5,6,0,7,10,1,10,12
glu,50,3,2,LD,5,8,1,1,0,8,14,1,9,15
glu,50,3,2,LD,5,9,1,1,0,9,2,1,10,3
glu,50,3,2,LD,5,10,5,8,0,9,2,2,11,4
glu,50,3,2,LD,5,11,6,8,0,11,11,2,13,13
glu,50,3,2,LD,5,399,2,2,2,9,1,4,10,2
glu,50,3,2,LD,5,401,4,4,2,10,1,4,11,3
glu,50,3,2,LD,5,402,1,1,2,13,3,3,14,4
