experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
glu,50,3,3,1,203,11.827586206896552,334.3743842364532,4,327,21,343,0.654698080609061
glu,50,3,3,2,149,15.724832214765101,90.39597315436242,9,85,23,97,0.53094755218197
glu,50,3,3,5,293,20.27645051194539,35.610921501706486,10,26,30,46,0.3491163527543408
glu,50,3,3,6,198,17.444444444444443,350.34343434343435,10,342,25,359,0.5600309842570855
glu,50,3,3,7,224,20.995535714285715,130.47321428571428,13,122,30,140,0.5707894790696473
glu,50,3,3,8,104,22.33653846153846,67.9326923076923,17,63,29,74,0.2859799577506071
glu,50,3,3,9,203,26.571428571428573,329.5566502463054,19,322,35,338,0.19016180448291317
glu,50,3,3,11,216,31.064814814814813,91.24537037037037,24,83,39,101,0.5822098343020227
glu,50,3,3,12,155,30.967741935483872,115.34193548387097,25,108,38,125,0.67903326302388
glu,50,3,3,13,225,35.57333333333333,346.3288888888889,26,338,46,355,0.7453286126463415
glu,50,3,3,14,219,36.273972602739725,74.86301369863014,28,67,45,84,0.5461238170725792
glu,50,3,3,15,208,42.80288461538461,123.625,35,116,51,133,0.5027690489157612
glu,50,3,3,16,155,42.76774193548387,106.96774193548387,36,100,50,115,0.44864855342100984
glu,50,3,3,17,187,43.716577540106954,334.8181818181818,36,328,53,343,0.5985034546938547
glu,50,3,3,19,238,47.273109243697476,91.60084033613445,40,83,56,101,0.5099245555368949
glu,50,3,3,20,292,53.11643835616438,469.70205479452056,43,461,64,479,0.5836411738726183
glu,50,3,3,21,170,51.31764705882353,357.1823529411765,44,350,60,365,0.6941484283532517
glu,50,3,3,22,169,51.89940828402367,74.74556213017752,46,67,59,83,0.5359425166840196
glu,50,3,3,24,190,56.23157894736842,50.305263157894736,49,43,64,59,0.356715362563315
glu,50,3,3,25,237,59.17299578059072,344.8101265822785,50,337,70,354,0.5630268651021137
glu,50,3,3,26,199,62.824120603015075,64.678391959799,52,56,71,74,0.38872296238196713
glu,50,3,3,27,186,58.43010752688172,106.7741935483871,52,99,66,116,0.5404131241653553
glu,50,3,3,29,327,67.0091743119266,328.434250764526,58,318,78,340,0.42769518162609477
glu,50,3,3,30,182,64.62637362637362,483.532967032967,58,476,72,492,0.4783556528458796
glu,50,3,3,31,317,73.15141955835962,356.13880126182966,62,347,84,366,0.637882074979279
glu,50,3,3,32,79,68.36708860759494,97.18987341772151,64,93,74,103,0.163787616965764
glu,50,3,3,33,176,72.67045454545455,50.05681818181818,66,43,81,59,0.4398790802045325
glu,50,3,3,35,181,78.12154696132596,65.40883977900552,72,58,86,74,0.5296349578232231
glu,50,3,3,36,193,81.41450777202073,339.5492227979275,73,332,90,348,0.2622796041401839
glu,50,3,3,37,228,83.65789473684211,371.030701754386,75,362,93,380,0.4250664356551733
glu,50,3,3,38,207,87.3913043478261,418.66183574879227,79,412,97,427,0.5990386098740306
glu,50,3,3,40,290,92.88275862068966,354.1413793103448,85,344,102,366,0.6151775207194173
glu,50,3,3,41,199,97.01507537688443,43.39698492462311,89,36,105,52,0.5953515940439176
glu,50,3,3,42,294,97.48979591836735,325.54761904761904,89,316,107,336,0.6049280734183355
glu,50,3,3,44,179,98.24581005586592,307.56424581005587,91,300,106,316,0.2378871540311546
glu,50,3,3,45,218,101.31651376146789,491.651376146789,94,483,110,501,0.5311794305412311
glu,50,3,3,46,145,113.06896551724138,481.2206896551724,107,475,120,489,0.5425747319540254
