experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,50,3,2,golgi,1,1,2,2,0,9,16,1,11,17
glu,50,3,2,golgi,1,174,11,24,0,10,16,4,12,19
glu,50,3,2,golgi,5,146,1,1,1,2,12,2,3,13
glu,50,3,2,golgi,7,2,23,48,0,2,3,3,6,7
glu,50,3,2,golgi,8,148,6,8,0,11,4,2,13,6
glu,50,3,2,golgi,8,175,4,4,2,1,4,3,3,6
glu,50,3,2,golgi,8,176,3,4,2,12,7,3,14,9
glu,50,3,2,golgi,9,3,10,18,0,4,12,3,7,14
glu,50,3,2,golgi,9,5,10,18,0,6,1,2,9,4
glu,50,3,2,golgi,9,8,1,1,0,13,6,1,14,7
glu,50,3,2,golgi,11,7,4,6,0,11,9,2,12,12
glu,50,3,2,golgi,12,4,2,2,0,3,1,1,5,2
glu,50,3,2,golgi,12,9,9,18,0,10,10,2,13,13
glu,50,3,2,golgi,12,10,3,4,0,12,6,2,14,7
glu,50,3,2,golgi,12,177,3,4,1,12,7,3,14,8
glu,50,3,2,golgi,12,178,2,2,2,14,7,4,15,8
glu,50,3,2,golgi,13,6,12,24,0,4,9,2,8,12
glu,50,3,2,golgi,13,149,1,1,1,5,1,2,6,2
glu,50,3,2,golgi,13,206,1,1,3,14,4,4,15,5
glu,50,3,2,golgi,14,11,2,2,0,11,3,1,12,5
glu,50,3,2,golgi,14,12,1,1,0,12,7,1,13,8
glu,50,3,2,golgi,16,13,1,1,0,4,2,1,5,3
glu,50,3,2,golgi,17,14,8,18,0,11,9,3,14,11
glu,50,3,2,golgi,17,150,1,1,1,5,3,2,6,4
glu,50,3,2,golgi,18,15,12,18,0,4,2,2,7,5
glu,50,3,2,golgi,19,16,4,8,0,7,9,2,9,11
glu,50,3,2,golgi,19,17,19,45,0,7,10,3,12,13
glu,50,3,2,golgi,19,19,1,1,0,11,9,1,12,10
glu,50,3,2,golgi,19,179,4,4,2,1,4,3,3,6
glu,50,3,2,golgi,19,181,11,18,2,7,10,4,10,13
glu,50,3,2,golgi,20,18,2,2,0,10,7,1,11,9
glu,50,3,2,golgi,20,151,1,1,1,10,8,2,11,9
glu,50,3,2,golgi,20,180,1,1,2,2,6,3,3,7
glu,50,3,2,golgi,20,183,1,1,2,11,4,3,12,5
glu,50,3,2,golgi,21,20,4,6,0,7,9,1,10,11
glu,50,3,2,golgi,21,182,3,3,2,3,4,3,4,7
glu,50,3,2,golgi,21,184,1,1,2,7,1,3,8,2
glu,50,3,2,golgi,22,22,5,8,0,9,10,2,11,12
glu,50,3,2,golgi,22,207,1,1,3,2,11,4,3,12
glu,50,3,2,golgi,22,230,2,2,4,15,6,6,16,7
glu,50,3,2,golgi,23,21,1,1,0,3,9,1,4,10
glu,50,3,2,golgi,23,26,11,24,0,12,9,2,15,13
glu,50,3,2,golgi,23,185,1,1,2,3,11,3,4,12
glu,50,3,2,golgi,24,186,4,8,2,3,0,4,5,2
glu,50,3,2,golgi,25,23,4,4,0,2,6,1,4,8
glu,50,3,2,golgi,25,25,8,12,0,8,1,3,10,3
glu,50,3,2,golgi,25,27,2,2,0,16,3,1,17,5
glu,50,3,2,golgi,26,24,2,2,0,6,15,1,8,16
glu,50,3,2,golgi,28,152,1,1,1,5,14,2,6,15
glu,50,3,2,golgi,28,187,1,1,2,6,2,3,7,3
glu,50,3,2,golgi,30,28,4,6,0,6,12,1,8,15
glu,50,3,2,golgi,30,32,7,12,0,10,1,2,13,3
glu,50,3,2,golgi,30,153,8,12,0,9,0,3,11,2
glu,50,3,2,golgi,31,29,3,4,0,3,1,2,5,2
glu,50,3,2,golgi,31,33,1,1,0,9,1,1,10,2
glu,50,3,2,golgi,32,30,5,8,0,3,15,2,5,17
glu,50,3,2,golgi,32,31,9,24,0,3,12,2,6,16
glu,50,3,2,golgi,32,34,1,1,0,9,12,1,10,13
glu,50,3,2,golgi,32,38,2,2,0,12,3,1,13,5
glu,50,3,2,golgi,32,39,3,3,0,12,5,1,13,8
glu,50,3,2,golgi,32,188,2,2,2,3,5,3,4,7
glu,50,3,2,golgi,33,36,12,27,0,9,1,3,12,4
glu,50,3,2,golgi,34,35,2,2,0,8,0,2,9,1
glu,50,3,2,golgi,37,37,1,1,0,3,4,1,4,5
glu,50,3,2,golgi,37,40,2,2,0,5,9,2,6,10
glu,50,3,2,golgi,37,41,1,1,0,6,10,1,7,11
glu,50,3,2,golgi,37,46,30,100,0,14,5,4,19,10
glu,50,3,2,golgi,37,209,1,1,3,11,0,4,12,1
glu,50,3,2,golgi,38,44,2,2,0,11,11,1,12,13
glu,50,3,2,golgi,38,189,2,2,2,16,7,3,17,9
glu,50,3,2,golgi,39,45,2,2,0,12,11,1,13,13
