experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,50,3,2,mitochondria,1,1,1,1,0,1,6,1,2,7
glu,50,3,2,mitochondria,1,2,672,4560,0,1,1,15,17,20
glu,50,3,2,mitochondria,1,4,335,2496,0,10,5,16,22,18
glu,50,3,2,mitochondria,1,272,3,3,3,1,6,6,2,7
glu,50,3,2,mitochondria,1,273,1,1,3,2,13,4,3,14
glu,50,3,2,mitochondria,1,325,4,4,5,10,11,7,11,13
glu,50,3,2,mitochondria,1,418,5,8,9,2,13,11,4,15
glu,50,3,2,mitochondria,1,419,1,1,9,3,16,10,4,17
glu,50,3,2,mitochondria,5,3,490,3060,0,2,0,15,14,17
glu,50,3,2,mitochondria,5,5,4,6,0,4,13,1,7,15
glu,50,3,2,mitochondria,5,6,144,924,0,9,2,14,15,13
glu,50,3,2,mitochondria,5,7,17,45,0,9,1,3,14,4
glu,50,3,2,mitochondria,5,296,19,80,4,6,0,9,10,4
glu,50,3,2,mitochondria,5,420,15,24,9,13,11,13,15,14
glu,50,3,2,mitochondria,7,8,517,1800,0,2,0,15,12,12
glu,50,3,2,mitochondria,8,10,577,3240,0,3,0,15,15,18
glu,50,3,2,mitochondria,8,17,27,88,0,11,2,2,15,13
glu,50,3,2,mitochondria,8,354,1,1,6,6,6,7,7,7
glu,50,3,2,mitochondria,8,398,1,1,8,4,13,9,5,14
glu,50,3,2,mitochondria,8,567,2,2,12,2,15,13,4,16
glu,50,3,2,mitochondria,9,9,625,3840,0,0,1,15,16,17
glu,50,3,2,mitochondria,9,274,1,1,3,4,3,4,5,4
glu,50,3,2,mitochondria,9,326,2,2,5,10,3,6,11,5
glu,50,3,2,mitochondria,9,355,2,2,6,7,0,8,8,1
glu,50,3,2,mitochondria,9,421,2,2,9,3,15,11,4,16
glu,50,3,2,mitochondria,9,466,2,2,10,1,6,11,3,7
glu,50,3,2,mitochondria,11,4,10,40,0,2,3,4,4,8
glu,50,3,2,mitochondria,11,11,3,6,0,2,10,3,3,12
glu,50,3,2,mitochondria,11,13,637,3510,0,2,0,15,15,18
glu,50,3,2,mitochondria,11,15,2,2,0,5,7,1,6,9
glu,50,3,2,mitochondria,11,327,2,2,5,14,11,6,15,13
glu,50,3,2,mitochondria,11,637,4,4,15,3,9,16,5,11
glu,50,3,2,mitochondria,12,12,6,6,0,0,6,1,2,9
glu,50,3,2,mitochondria,12,14,5,6,0,2,2,1,5,4
glu,50,3,2,mitochondria,12,19,599,2940,0,3,1,14,17,16
glu,50,3,2,mitochondria,12,423,2,4,9,14,5,11,15,7
glu,50,3,2,mitochondria,12,467,2,2,10,6,15,12,7,16
glu,50,3,2,mitochondria,12,568,2,2,12,16,8,14,17,9
glu,50,3,2,mitochondria,13,16,21,72,0,1,3,2,7,9
glu,50,3,2,mitochondria,13,18,537,2730,0,2,0,15,16,13
glu,50,3,2,mitochondria,13,275,7,12,3,2,5,5,4,8
glu,50,3,2,mitochondria,13,424,1,1,9,13,9,10,14,10
glu,50,3,2,mitochondria,14,20,413,1980,0,3,1,15,15,12
glu,50,3,2,mitochondria,14,21,3,4,0,9,11,2,10,13
glu,50,3,2,mitochondria,14,22,10,36,0,11,10,4,14,13
glu,50,3,2,mitochondria,14,276,1,1,3,4,12,4,5,13
glu,50,3,2,mitochondria,14,356,58,405,6,11,3,15,16,12
glu,50,3,2,mitochondria,14,371,2,2,7,8,12,8,10,13
glu,50,3,2,mitochondria,14,422,2,2,9,0,10,10,1,12
glu,50,3,2,mitochondria,14,468,1,1,10,11,2,11,12,3
glu,50,3,2,mitochondria,16,23,472,1650,0,3,1,15,13,12
glu,50,3,2,mitochondria,16,25,1,1,0,11,9,1,12,10
glu,50,3,2,mitochondria,16,26,1,1,0,12,7,1,13,8
glu,50,3,2,mitochondria,16,425,4,4,9,1,7,11,3,8
glu,50,3,2,mitochondria,17,24,671,3120,0,2,0,15,15,16
glu,50,3,2,mitochondria,17,27,11,90,0,12,11,6,15,16
glu,50,3,2,mitochondria,17,427,40,60,9,14,5,14,16,11
glu,50,3,2,mitochondria,17,469,2,2,10,0,6,12,1,7
glu,50,3,2,mitochondria,18,28,509,2548,0,3,0,14,16,14
glu,50,3,2,mitochondria,18,29,218,1386,0,9,4,14,18,15
glu,50,3,2,mitochondria,18,261,21,60,2,10,14,7,16,16
glu,50,3,2,mitochondria,18,372,32,120,7,9,4,12,12,12
glu,50,3,2,mitochondria,18,426,6,12,9,0,9,11,2,12
glu,50,3,2,mitochondria,18,470,2,2,10,1,4,11,2,6
glu,50,3,2,mitochondria,18,569,9,12,12,5,11,14,8,13
glu,50,3,2,mitochondria,18,638,1,1,15,17,10,16,18,11
glu,50,3,2,mitochondria,19,31,604,2475,0,3,0,15,14,15
glu,50,3,2,mitochondria,19,357,3,4,6,8,14,8,10,15
glu,50,3,2,mitochondria,19,471,1,1,10,0,7,11,1,8
glu,50,3,2,mitochondria,19,473,3,4,10,2,11,11,4,13
glu,50,3,2,mitochondria,19,520,4,4,11,1,2,13,3,3
glu,50,3,2,mitochondria,20,30,48,120,0,3,5,6,8,9
glu,50,3,2,mitochondria,20,31,443,2100,0,3,0,15,13,14
glu,50,3,2,mitochondria,20,428,3,4,9,3,12,11,4,14
glu,50,3,2,mitochondria,20,472,3,6,10,1,6,12,2,9
glu,50,3,2,mitochondria,21,32,1,1,0,3,1,1,4,2
glu,50,3,2,mitochondria,21,33,545,2688,0,2,1,16,16,13
glu,50,3,2,mitochondria,21,521,2,2,11,2,2,12,3,4
glu,50,3,2,mitochondria,22,34,520,3150,0,2,2,15,17,16
glu,50,3,2,mitochondria,22,298,6,9,4,9,1,7,12,2
glu,50,3,2,mitochondria,22,328,5,8,5,6,4,7,8,6
glu,50,3,2,mitochondria,22,329,24,64,5,15,4,13,17,8
glu,50,3,2,mitochondria,22,358,4,4,6,9,6,7,11,8
glu,50,3,2,mitochondria,22,429,8,12,9,0,7,11,2,10
glu,50,3,2,mitochondria,22,430,7,45,9,3,2,12,8,5
glu,50,3,2,mitochondria,22,432,2,2,9,12,8,11,13,9
glu,50,3,2,mitochondria,22,477,42,160,10,7,1,15,15,5
glu,50,3,2,mitochondria,22,620,1,1,14,1,15,15,2,16
glu,50,3,2,mitochondria,23,35,382,2912,0,2,6,14,18,19
glu,50,3,2,mitochondria,23,38,259,1200,0,8,0,15,18,8
glu,50,3,2,mitochondria,23,40,3,4,0,11,6,1,13,8
glu,50,3,2,mitochondria,23,42,26,84,0,14,7,3,18,14
glu,50,3,2,mitochondria,23,262,1,1,2,4,4,3,5,5
glu,50,3,2,mitochondria,23,297,10,54,4,4,12,7,7,18
glu,50,3,2,mitochondria,23,360,4,6,6,7,8,9,8,10
