experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,50,3,3,peroxisome,1,1,26,36,0,4,9,4,7,12
glu,50,3,3,peroxisome,1,2,4,4,0,13,3,2,14,5
glu,50,3,3,peroxisome,2,215,10,24,2,3,9,6,6,11
glu,50,3,3,peroxisome,2,246,13,54,4,3,9,10,6,12
glu,50,3,3,peroxisome,2,288,25,54,5,9,3,11,12,6
glu,50,3,3,peroxisome,5,106,18,36,0,4,8,4,7,11
glu,50,3,3,peroxisome,5,143,20,45,1,7,12,6,10,15
glu,50,3,3,peroxisome,5,180,5,6,4,7,12,6,10,13
glu,50,3,3,peroxisome,5,289,3,3,6,17,9,9,18,10
glu,50,3,3,peroxisome,5,320,59,135,4,5,7,13,8,12
glu,50,3,3,peroxisome,5,321,29,84,4,5,5,11,9,8
glu,50,3,3,peroxisome,6,81,14,30,0,13,1,5,15,4
glu,50,3,3,peroxisome,7,145,22,60,1,14,7,6,17,11
glu,50,3,3,peroxisome,8,182,9,24,2,5,1,6,8,3
glu,50,3,3,peroxisome,9,248,51,81,3,3,3,12,6,6
glu,50,3,3,peroxisome,11,82,18,36,0,1,2,4,4,5
glu,50,3,3,peroxisome,11,108,54,96,0,1,6,8,4,10
glu,50,3,3,peroxisome,12,250,2,2,5,12,6,7,13,7
glu,50,3,3,peroxisome,13,183,27,72,2,15,11,8,18,15
glu,50,3,3,peroxisome,13,252,43,96,3,16,9,11,19,13
glu,50,3,3,peroxisome,14,217,1,1,5,1,5,6,2,6
glu,50,3,3,peroxisome,14,322,16,45,6,3,4,11,6,7
glu,50,3,3,peroxisome,14,323,26,54,6,7,1,12,10,4
glu,50,3,3,peroxisome,14,341,1,1,10,3,5,11,4,6
glu,50,3,3,peroxisome,16,7,5,6,0,2,9,3,3,11
glu,50,3,3,peroxisome,16,110,18,42,0,4,13,7,7,15
glu,50,3,3,peroxisome,16,147,5,6,2,8,6,5,9,8
glu,50,3,3,peroxisome,16,184,1,1,4,8,7,5,9,8
glu,50,3,3,peroxisome,16,251,4,4,5,5,7,7,7,8
glu,50,3,3,peroxisome,17,84,52,112,0,5,3,7,9,7
glu,50,3,3,peroxisome,19,290,5,5,5,8,0,10,9,1
glu,50,3,3,peroxisome,19,335,1,1,9,3,9,10,4,10
glu,50,3,3,peroxisome,20,85,5,12,0,17,11,3,19,13
glu,50,3,3,peroxisome,20,86,13,36,0,17,10,4,20,13
glu,50,3,3,peroxisome,20,149,16,30,0,15,1,5,18,3
glu,50,3,3,peroxisome,20,150,13,30,1,18,9,6,20,12
glu,50,3,3,peroxisome,20,185,4,4,3,2,10,7,3,11
glu,50,3,3,peroxisome,20,187,14,36,2,13,0,8,16,2
glu,50,3,3,peroxisome,20,255,8,16,5,18,9,9,20,11
glu,50,3,3,peroxisome,20,291,17,42,4,6,10,11,8,13
glu,50,3,3,peroxisome,21,111,17,30,0,4,0,5,7,2
glu,50,3,3,peroxisome,22,10,5,12,0,1,13,2,4,15
glu,50,3,3,peroxisome,22,11,17,36,0,2,5,3,6,8
glu,50,3,3,peroxisome,22,253,1,1,6,7,10,7,8,11
glu,50,3,3,peroxisome,22,290,16,32,4,2,13,12,4,15
glu,50,3,3,peroxisome,24,13,6,18,0,6,0,2,9,3
glu,50,3,3,peroxisome,25,12,17,36,0,1,5,4,4,8
glu,50,3,3,peroxisome,25,292,5,8,5,5,9,9,6,11
glu,50,3,3,peroxisome,26,294,36,72,5,8,8,11,12,11
glu,50,3,3,peroxisome,27,17,5,6,0,13,4,3,14,6
glu,50,3,3,peroxisome,27,293,19,30,5,4,0,10,6,3
glu,50,3,3,peroxisome,29,15,3,4,0,3,4,2,5,5
glu,50,3,3,peroxisome,29,113,42,63,0,14,15,7,17,18
glu,50,3,3,peroxisome,29,188,6,12,3,18,10,6,20,12
glu,50,3,3,peroxisome,30,151,4,4,2,5,9,4,6,11
glu,50,3,3,peroxisome,30,324,8,10,6,10,3,11,11,5
glu,50,3,3,peroxisome,31,19,24,48,0,12,13,4,16,16
glu,50,3,3,peroxisome,31,190,33,72,1,19,9,7,22,13
glu,50,3,3,peroxisome,31,219,5,6,4,9,10,7,10,12
glu,50,3,3,peroxisome,31,221,78,192,1,12,11,13,16,15
