experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,50,3,3,vacuole,1,0,16,16,1,6,6,1,10,10
glu,50,3,3,vacuole,2,0,28,64,5,3,1,5,11,9
glu,50,3,3,vacuole,5,0,10,16,3,11,1,3,15,5
glu,50,3,3,vacuole,6,0,31,36,2,6,5,2,12,11
glu,50,3,3,vacuole,7,0,29,35,2,9,0,2,14,7
glu,50,3,3,vacuole,9,0,16,20,3,5,6,3,10,10
glu,50,3,3,vacuole,12,0,22,24,4,6,4,4,12,8
glu,50,3,3,vacuole,14,0,63,81,3,6,1,3,15,10
glu,50,3,3,vacuole,15,0,31,36,4,3,2,4,9,8
glu,50,3,3,vacuole,16,0,18,20,4,3,2,4,7,7
glu,50,3,3,vacuole,17,0,22,25,1,7,1,1,12,6
glu,50,3,3,vacuole,19,0,58,70,3,2,4,3,12,11
glu,50,3,3,vacuole,20,0,4,4,0,10,11,0,12,13
glu,50,3,3,vacuole,21,0,13,16,6,6,3,6,10,7
glu,50,3,3,vacuole,24,0,20,28,2,8,1,2,12,8
glu,50,3,3,vacuole,25,0,52,64,1,5,3,1,13,11
glu,50,3,3,vacuole,26,0,12,16,3,10,6,3,14,10
glu,50,3,3,vacuole,27,0,28,30,3,6,5,3,12,10
glu,50,3,3,vacuole,29,0,129,182,2,3,4,2,17,17
glu,50,3,3,vacuole,30,0,18,25,3,3,5,3,8,10
glu,50,3,3,vacuole,31,0,36,45,3,8,3,3,13,12
glu,50,3,3,vacuole,33,0,9,12,0,4,6,0,7,10
glu,50,3,3,vacuole,35,0,19,25,2,4,1,2,9,6
glu,50,3,3,vacuole,38,0,43,48,1,9,1,1,15,9
glu,50,3,3,vacuole,41,0,23,30,1,5,2,1,10,8
glu,50,3,3,vacuole,42,0,89,121,1,6,2,1,17,13
glu,50,3,3,vacuole,44,0,1,1,3,5,8,3,6,9
glu,50,3,3,vacuole,51,0,78,120,5,6,4,5,18,14
glu,50,3,3,vacuole,52,0,23,24,2,12,3,2,16,9
glu,50,3,3,vacuole,53,0,29,36,2,7,2,2,13,8
glu,50,3,3,vacuole,54,0,14,16,3,7,3,3,11,7
glu,50,3,3,vacuole,55,0,34,42,1,6,5,1,13,11
glu,50,3,3,vacuole,58,0,18,30,1,10,2,1,16,7
glu,50,3,3,vacuole,59,0,16,20,0,5,6,0,10,10
glu,50,3,3,vacuole,60,0,40,49,2,4,1,2,11,8
glu,50,3,3,vacuole,61,0,22,25,0,10,5,0,15,10
glu,50,3,3,vacuole,63,0,26,32,5,4,4,5,12,8
glu,50,3,3,vacuole,64,0,33,42,2,8,1,2,14,8
glu,50,3,3,vacuole,68,0,18,20,0,6,0,0,10,5
glu,50,3,3,vacuole,70,0,21,25,1,9,9,1,14,14
glu,50,3,3,vacuole,71,0,40,42,3,11,6,3,17,13
glu,50,3,3,vacuole,72,0,44,56,2,8,0,2,15,8
glu,50,3,3,vacuole,73,0,5,6,6,10,2,6,12,5
glu,50,3,3,vacuole,76,0,19,20,2,4,6,2,9,10
glu,50,3,3,vacuole,77,0,108,165,3,5,3,3,16,18
glu,50,3,3,vacuole,78,0,23,36,5,6,2,5,12,8
glu,50,3,3,vacuole,80,0,88,143,0,6,1,0,19,12
glu,50,3,3,vacuole,82,0,1,1,0,8,3,0,9,4
glu,50,3,3,vacuole,83,0,22,36,4,6,3,4,12,9
glu,50,3,3,vacuole,84,0,14,15,2,5,3,2,8,8
glu,50,3,3,vacuole,85,0,73,90,2,5,5,2,14,15
glu,50,3,3,vacuole,86,0,22,36,3,3,2,3,9,8
glu,50,3,3,vacuole,90,0,15,20,1,7,4,1,11,9
glu,50,3,3,vacuole,93,0,21,30,4,8,1,4,14,6
glu,50,3,3,vacuole,96,0,26,35,2,9,5,2,16,10
glu,50,3,3,vacuole,97,0,14,16,2,4,5,2,8,9
glu,50,3,3,vacuole,98,0,19,20,1,5,4,1,10,8
glu,50,3,3,vacuole,99,0,54,80,1,5,3,1,15,11
glu,50,3,3,vacuole,101,0,126,182,3,4,2,3,17,16
glu,50,3,3,vacuole,102,0,32,42,0,7,4,0,13,11
glu,50,3,3,vacuole,104,0,1,1,0,14,3,0,15,4
glu,50,3,3,vacuole,105,0,45,56,2,7,2,2,15,9
glu,50,3,3,vacuole,106,0,23,28,4,5,3,4,9,10
glu,50,3,3,vacuole,109,0,20,28,1,7,1,1,14,5
glu,50,3,3,vacuole,111,0,14,16,0,8,0,0,12,4
glu,50,3,3,vacuole,112,0,17,25,5,3,4,5,8,9
glu,50,3,3,vacuole,113,0,25,35,3,10,6,3,15,13
glu,50,3,3,vacuole,114,0,45,72,0,6,2,0,15,10
glu,50,3,3,vacuole,115,0,18,20,2,4,5,2,9,9
glu,50,3,3,vacuole,117,0,25,42,2,4,0,2,10,7
glu,50,3,3,vacuole,119,0,6,6,3,8,1,3,11,3
glu,50,3,3,vacuole,123,0,18,18,3,6,1,3,12,4
