experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,6,golgi,2,67,1,1,11,5,1,12,6,2
glu,0-5,3,6,golgi,2,146,7,18,12,2,7,15,5,9
glu,0-5,3,6,golgi,2,251,5,12,12,7,2,15,9,4
glu,0-5,3,6,golgi,2,318,7,8,14,5,2,15,9,4
glu,0-5,3,6,golgi,2,400,1,1,15,9,2,16,10,3
glu,0-5,3,6,golgi,2,744,5,6,18,6,0,19,9,2
glu,0-5,3,6,golgi,2,745,1,1,18,8,3,19,9,4
glu,0-5,3,6,golgi,2,1076,6,9,20,1,7,23,2,10
glu,0-5,3,6,golgi,2,1078,2,2,21,8,4,23,9,5
glu,0-5,3,6,golgi,2,1188,1,1,22,2,3,23,3,4
glu,0-5,3,6,golgi,2,1302,13,27,22,1,7,25,4,10
glu,0-5,3,6,golgi,2,1682,7,8,27,2,4,29,4,6
glu,0-5,3,6,golgi,2,1808,1,1,30,8,3,31,9,4
glu,0-5,3,6,golgi,2,1847,4,4,31,2,8,33,4,9
glu,0-5,3,6,golgi,3,315,2,2,14,4,0,15,5,2
glu,0-5,3,6,golgi,3,398,1,1,15,4,7,16,5,8
glu,0-5,3,6,golgi,3,638,1,1,17,6,3,18,7,4
glu,0-5,3,6,golgi,3,965,5,9,19,6,6,22,7,9
glu,0-5,3,6,golgi,3,966,1,1,20,8,1,21,9,2
glu,0-5,3,6,golgi,3,1407,5,8,23,6,2,27,8,3
glu,0-5,3,6,golgi,3,1685,1,1,27,6,7,28,7,8
glu,0-5,3,6,golgi,3,1829,5,8,31,6,1,33,8,3
glu,0-5,3,6,golgi,4,2,1,1,8,11,5,9,12,6
glu,0-5,3,6,golgi,4,24,1,1,10,6,0,11,7,1
glu,0-5,3,6,golgi,4,148,6,8,11,9,7,13,11,9
glu,0-5,3,6,golgi,4,314,4,6,13,1,9,16,3,10
glu,0-5,3,6,golgi,4,316,3,4,13,3,1,15,4,3
glu,0-5,3,6,golgi,4,397,1,1,15,2,2,16,3,3
glu,0-5,3,6,golgi,4,640,2,2,17,9,5,18,10,7
glu,0-5,3,6,golgi,4,742,1,1,18,2,11,19,3,12
glu,0-5,3,6,golgi,4,748,5,8,18,11,4,20,13,6
glu,0-5,3,6,golgi,4,1192,7,18,22,8,5,24,11,8
glu,0-5,3,6,golgi,4,1512,4,4,25,3,9,27,4,11
glu,0-5,3,6,golgi,4,1683,2,2,27,1,7,28,2,9
glu,0-5,3,6,golgi,4,1684,3,4,26,3,9,28,5,10
glu,0-5,3,6,golgi,4,1777,3,4,29,10,6,31,11,8
glu,0-5,3,6,golgi,4,1809,1,1,30,10,7,31,11,8
glu,0-5,3,6,golgi,4,1849,1,1,32,10,3,33,11,4
glu,0-5,3,6,golgi,5,68,3,3,11,5,1,12,8,2
glu,0-5,3,6,golgi,5,252,1,1,13,8,5,14,9,6
glu,0-5,3,6,golgi,5,320,1,1,14,7,8,15,8,9
glu,0-5,3,6,golgi,5,639,4,4,17,3,0,19,4,2
glu,0-5,3,6,golgi,5,643,4,4,16,9,5,18,10,7
glu,0-5,3,6,golgi,5,743,4,4,17,2,8,19,3,10
glu,0-5,3,6,golgi,5,1080,5,12,20,8,4,22,10,7
glu,0-5,3,6,golgi,5,1190,1,1,22,1,2,23,2,3
glu,0-5,3,6,golgi,5,1193,3,4,21,8,6,23,9,8
glu,0-5,3,6,golgi,5,1408,4,8,24,8,5,26,10,7
glu,0-5,3,6,golgi,5,1513,4,6,25,4,0,28,6,1
glu,0-5,3,6,golgi,6,149,4,6,10,7,12,13,8,14
glu,0-5,3,6,golgi,6,152,2,2,12,8,11,13,9,13
glu,0-5,3,6,golgi,6,153,3,4,12,9,3,13,11,5
glu,0-5,3,6,golgi,6,321,1,1,14,8,3,15,9,4
glu,0-5,3,6,golgi,6,399,2,2,15,2,7,17,3,8
glu,0-5,3,6,golgi,6,401,4,6,14,7,2,16,8,5
glu,0-5,3,6,golgi,6,402,9,18,14,8,10,17,10,13
glu,0-5,3,6,golgi,6,529,2,2,16,8,12,17,10,13
glu,0-5,3,6,golgi,6,642,3,4,17,7,12,19,8,14
glu,0-5,3,6,golgi,6,749,7,18,17,7,1,20,9,4
glu,0-5,3,6,golgi,6,860,2,2,19,10,3,20,11,5
glu,0-5,3,6,golgi,6,1079,9,18,19,7,11,22,9,14
glu,0-5,3,6,golgi,6,1189,2,2,22,0,11,23,2,12
glu,0-5,3,6,golgi,6,1194,11,45,21,8,11,26,11,14
glu,0-5,3,6,golgi,6,1304,1,1,23,6,14,24,7,15
glu,0-5,3,6,golgi,6,1410,7,18,23,9,3,26,11,6
glu,0-5,3,6,golgi,6,1609,19,30,25,0,9,30,2,12
glu,0-5,3,6,golgi,6,1610,28,84,22,5,1,29,8,5
glu,0-5,3,6,golgi,6,1743,7,12,28,5,2,31,7,4
glu,0-5,3,6,golgi,6,1850,5,8,32,8,1,34,10,3
glu,0-5,3,6,golgi,7,317,8,16,14,0,4,18,2,6
glu,0-5,3,6,golgi,7,319,5,6,12,2,1,15,4,2
glu,0-5,3,6,golgi,7,967,16,30,17,5,1,22,7,4
glu,0-5,3,6,golgi,7,1077,5,8,20,0,3,22,2,5
glu,0-5,3,6,golgi,7,1191,9,12,21,5,1,24,7,3
glu,0-5,3,6,golgi,7,1514,21,45,23,4,1,28,7,4
glu,0-5,3,6,golgi,7,1848,1,1,32,3,6,33,4,7
glu,0-5,3,6,golgi,8,7,3,4,9,12,8,10,14,10
glu,0-5,3,6,golgi,8,69,1,1,11,4,3,12,5,4
glu,0-5,3,6,golgi,8,147,2,2,12,2,4,13,4,5
glu,0-5,3,6,golgi,8,157,25,90,11,8,1,17,13,4
glu,0-5,3,6,golgi,8,158,1,1,12,13,8,13,14,9
glu,0-5,3,6,golgi,8,256,2,2,12,13,7,14,14,8
glu,0-5,3,6,golgi,8,322,3,4,14,10,1,16,12,2
glu,0-5,3,6,golgi,8,531,11,16,15,8,12,19,10,14
glu,0-5,3,6,golgi,8,536,5,12,14,12,5,17,14,7
glu,0-5,3,6,golgi,8,641,49,105,12,2,10,19,5,15
glu,0-5,3,6,golgi,8,645,15,60,16,10,1,20,13,6
glu,0-5,3,6,golgi,8,746,4,6,17,3,4,19,4,7
glu,0-5,3,6,golgi,8,859,15,30,18,2,11,23,5,13
glu,0-5,3,6,golgi,8,968,9,18,20,2,12,23,5,14
glu,0-5,3,6,golgi,8,1082,1,1,21,9,13,22,10,14
glu,0-5,3,6,golgi,8,1083,1,1,21,10,1,22,11,2
glu,0-5,3,6,golgi,8,1198,3,4,22,9,11,23,11,13
glu,0-5,3,6,golgi,8,1303,3,4,22,1,7,24,3,8
glu,0-5,3,6,golgi,8,1305,18,36,23,2,11,29,4,14
glu,0-5,3,6,golgi,8,1308,2,2,23,11,5,24,12,7
glu,0-5,3,6,golgi,8,1310,1,1,23,12,6,24,13,7
glu,0-5,3,6,golgi,8,1516,1,1,25,9,12,26,10,13
glu,0-5,3,6,golgi,8,1517,2,2,25,11,3,27,12,4
glu,0-5,3,6,golgi,8,1518,1,1,25,12,2,26,13,3
glu,0-5,3,6,golgi,8,1688,2,2,27,10,3,28,11,5
glu,0-5,3,6,golgi,8,1780,2,2,29,14,5,31,15,6
glu,0-5,3,6,golgi,8,1810,3,4,30,12,4,31,14,6
glu,0-5,3,6,golgi,8,1851,1,1,32,9,14,33,10,15
