experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,50,3,4,golgi,2,1,1,1,6,9,1,7,10,2
glu,50,3,4,golgi,2,70,1,1,10,5,12,11,6,13
glu,50,3,4,golgi,2,149,9,20,7,6,5,12,8,7
glu,50,3,4,golgi,2,292,21,60,11,8,6,16,11,10
glu,50,3,4,golgi,2,349,33,96,11,6,2,19,9,6
glu,50,3,4,golgi,2,843,1,1,23,5,1,24,6,2
glu,50,3,4,golgi,4,148,6,8,10,0,6,12,2,8
glu,50,3,4,golgi,4,348,16,20,12,0,6,17,2,8
glu,50,3,4,golgi,4,420,1,1,15,12,7,16,13,8
glu,50,3,4,golgi,4,481,14,30,16,0,5,21,2,8
glu,50,3,4,golgi,4,482,1,1,16,12,8,17,13,9
glu,50,3,4,golgi,6,4,2,2,8,14,12,9,15,14
glu,50,3,4,golgi,6,233,2,2,12,17,13,14,18,14
glu,50,3,4,golgi,6,293,28,72,10,3,10,16,6,14
glu,50,3,4,golgi,6,350,40,132,10,2,11,21,6,14
glu,50,3,4,golgi,6,351,63,176,9,3,0,20,7,4
glu,50,3,4,golgi,6,422,37,90,8,11,12,18,14,15
glu,50,3,4,golgi,6,537,6,8,16,8,0,20,9,2
glu,50,3,4,golgi,6,595,4,6,17,0,7,20,1,9
glu,50,3,4,golgi,6,596,4,4,18,0,9,20,1,11
glu,50,3,4,golgi,6,601,21,56,17,10,12,24,14,14
glu,50,3,4,golgi,6,661,18,64,19,11,11,23,15,15
glu,50,3,4,golgi,6,726,4,6,19,0,7,22,1,9
glu,50,3,4,golgi,6,780,6,12,20,4,0,23,6,2
glu,50,3,4,golgi,6,819,1,1,22,2,2,23,3,3
glu,50,3,4,golgi,7,73,16,45,7,10,10,12,13,13
glu,50,3,4,golgi,7,150,85,208,5,3,5,18,7,9
glu,50,3,4,golgi,7,230,4,4,11,1,10,13,2,12
glu,50,3,4,golgi,7,294,32,96,11,9,10,17,13,14
glu,50,3,4,golgi,7,421,1,1,15,0,14,16,1,15
glu,50,3,4,golgi,7,597,5,6,18,0,14,21,2,15
glu,50,3,4,golgi,7,598,1,1,18,4,5,19,5,6
glu,50,3,4,golgi,8,231,108,280,5,0,5,19,5,9
glu,50,3,4,golgi,8,599,7,27,17,2,7,20,5,10
glu,50,3,4,golgi,8,660,9,24,18,3,8,22,6,10
glu,50,3,4,golgi,8,727,1,1,20,6,2,21,7,3
glu,50,3,4,golgi,8,844,1,1,23,6,9,24,7,10
glu,50,3,4,golgi,9,71,1,1,10,3,10,11,4,11
glu,50,3,4,golgi,9,74,2,2,10,11,12,11,13,13
glu,50,3,4,golgi,9,152,2,2,11,7,15,12,9,16
glu,50,3,4,golgi,9,155,5,8,10,14,9,14,15,11
glu,50,3,4,golgi,9,159,3,4,10,18,9,12,19,11
