experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,0,mitochondria,1,1,1,1,0,15,8,1,16,9
glu,0-5,3,0,mitochondria,1,61,1472,6800,12,1,0,37,18,16
glu,0-5,3,0,mitochondria,1,270,3,4,15,7,7,17,9,8
glu,0-5,3,0,mitochondria,2,148,1158,5400,13,1,0,37,16,15
glu,0-5,3,0,mitochondria,2,210,2,2,14,3,1,15,5,2
glu,0-5,3,0,mitochondria,2,271,2,2,15,14,10,17,15,11
glu,0-5,3,0,mitochondria,2,343,7,18,16,12,3,18,15,6
glu,0-5,3,0,mitochondria,2,415,2,2,18,3,12,19,5,13
glu,0-5,3,0,mitochondria,2,479,13,32,22,8,12,26,12,14
glu,0-5,3,0,mitochondria,2,523,3,4,27,10,2,28,12,4
glu,0-5,3,0,mitochondria,2,538,7,12,28,9,6,31,11,8
glu,0-5,3,0,mitochondria,7,213,1243,4830,14,0,0,37,15,14
glu,0-5,3,0,mitochondria,7,272,3,4,15,5,1,17,7,2
glu,0-5,3,0,mitochondria,8,15,1,1,9,8,4,10,9,5
glu,0-5,3,0,mitochondria,8,211,1055,3312,14,0,0,37,12,12
glu,0-5,3,0,mitochondria,8,273,5,18,15,4,0,17,7,3
glu,0-5,3,0,mitochondria,8,274,2,2,15,8,2,17,9,3
glu,0-5,3,0,mitochondria,9,6,1,1,6,9,6,7,10,7
glu,0-5,3,0,mitochondria,9,62,1,1,12,8,5,13,9,6
glu,0-5,3,0,mitochondria,9,212,784,2783,14,0,0,37,11,11
glu,0-5,3,0,mitochondria,9,214,5,8,14,8,2,16,10,4
glu,0-5,3,0,mitochondria,9,275,2,2,15,8,8,17,9,9
glu,0-5,3,0,mitochondria,9,619,16,20,32,4,1,37,6,3
glu,0-5,3,0,mitochondria,11,63,833,2750,12,0,0,37,10,11
glu,0-5,3,0,mitochondria,11,215,1,1,14,5,7,15,6,8
glu,0-5,3,0,mitochondria,11,344,1,1,16,5,11,17,6,12
glu,0-5,3,0,mitochondria,11,416,1,1,18,7,9,19,8,10
glu,0-5,3,0,mitochondria,12,150,1336,5376,13,0,0,37,16,14
glu,0-5,3,0,mitochondria,12,276,3,4,15,1,12,16,3,14
glu,0-5,3,0,mitochondria,12,277,1,1,15,5,13,16,6,14
glu,0-5,3,0,mitochondria,12,279,6,12,15,8,11,17,11,13
glu,0-5,3,0,mitochondria,12,381,10,24,17,5,13,20,9,15
glu,0-5,3,0,mitochondria,12,417,1,1,18,11,12,19,12,13
glu,0-5,3,0,mitochondria,12,635,1,1,33,5,13,34,6,14
glu,0-5,3,0,mitochondria,12,652,9,27,34,12,7,37,15,10
glu,0-5,3,0,mitochondria,12,700,1,1,36,10,12,37,11,13
glu,0-5,3,0,mitochondria,13,26,6,18,10,4,1,12,7,4
glu,0-5,3,0,mitochondria,13,39,753,2496,11,0,0,37,12,8
glu,0-5,3,0,mitochondria,13,539,4,4,28,6,7,30,8,8
glu,0-5,3,0,mitochondria,13,593,13,36,31,3,6,37,6,8
glu,0-5,3,0,mitochondria,13,594,1,1,31,7,6,32,8,7
glu,0-5,3,0,mitochondria,14,16,1,1,9,7,9,10,8,10
glu,0-5,3,0,mitochondria,14,216,1395,4485,14,1,0,37,14,15
glu,0-5,3,0,mitochondria,14,217,9,27,14,10,13,17,13,16
glu,0-5,3,0,mitochondria,14,278,1,1,15,1,10,16,2,11
glu,0-5,3,0,mitochondria,14,576,5,9,30,7,5,33,8,8
glu,0-5,3,0,mitochondria,14,595,3,4,31,4,7,33,6,8
glu,0-5,3,0,mitochondria,14,651,12,27,34,5,5,37,8,8
glu,0-5,3,0,mitochondria,15,64,3,4,12,8,11,14,10,12
glu,0-5,3,0,mitochondria,15,149,1650,6840,13,0,0,37,15,19
glu,0-5,3,0,mitochondria,15,280,7,16,15,0,7,19,2,9
glu,0-5,3,0,mitochondria,15,418,1,1,18,7,17,19,8,18
glu,0-5,3,0,mitochondria,15,505,4,4,25,8,10,27,9,12
glu,0-5,3,0,mitochondria,15,540,35,216,28,4,8,37,10,12
glu,0-5,3,0,mitochondria,17,17,2,2,9,6,4,11,7,5
glu,0-5,3,0,mitochondria,17,151,1332,5304,13,0,0,37,17,13
glu,0-5,3,0,mitochondria,17,419,1,1,18,15,9,19,16,10
glu,0-5,3,0,mitochondria,20,3,1,1,5,4,6,6,5,7
glu,0-5,3,0,mitochondria,20,40,5,8,11,7,5,13,9,7
glu,0-5,3,0,mitochondria,20,153,1456,6144,13,1,0,37,17,16
glu,0-5,3,0,mitochondria,20,218,3,3,14,2,6,15,3,9
glu,0-5,3,0,mitochondria,20,552,1,1,29,9,8,30,10,9
glu,0-5,3,0,mitochondria,22,65,2,4,12,11,13,14,12,15
glu,0-5,3,0,mitochondria,22,152,1430,5616,13,1,1,37,14,19
glu,0-5,3,0,mitochondria,22,345,5,18,16,2,16,19,5,18
glu,0-5,3,0,mitochondria,22,382,1,1,17,0,11,18,1,12
glu,0-5,3,0,mitochondria,22,541,7,12,28,6,10,30,8,13
glu,0-5,3,0,mitochondria,22,551,1,1,29,6,8,30,7,9
glu,0-5,3,0,mitochondria,25,154,2,2,13,4,10,14,6,11
glu,0-5,3,0,mitochondria,25,219,2,2,14,2,4,16,3,5
glu,0-5,3,0,mitochondria,25,220,1,1,14,3,7,15,4,8
glu,0-5,3,0,mitochondria,25,221,791,3289,14,1,0,37,14,11
glu,0-5,3,0,mitochondria,25,346,1,1,16,2,2,17,3,3
glu,0-5,3,0,mitochondria,25,347,2,2,16,2,10,18,3,11
glu,0-5,3,0,mitochondria,25,383,6,12,17,4,10,19,7,12
glu,0-5,3,0,mitochondria,25,420,4,4,18,1,3,20,3,4
