experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0,3,3,mitochondria,2,1,3,4,0,5,11,2,7,12
glu,0,3,3,mitochondria,2,2,3,4,0,9,2,1,11,4
glu,0,3,3,mitochondria,2,3,11,27,0,12,4,3,15,7
glu,0,3,3,mitochondria,2,4,2,2,0,12,8,1,13,10
glu,0,3,3,mitochondria,2,8,2496,10360,0,0,0,37,20,14
glu,0,3,3,mitochondria,2,1399,13,75,17,10,2,22,13,7
glu,0,3,3,mitochondria,2,1743,7,18,23,10,3,26,13,5
glu,0,3,3,mitochondria,4,7,1,1,0,6,19,1,7,20
glu,0,3,3,mitochondria,4,10,1,1,0,9,2,1,10,3
glu,0,3,3,mitochondria,4,11,3,4,0,10,15,2,11,17
glu,0,3,3,mitochondria,4,13,2,2,0,14,13,1,15,15
glu,0,3,3,mitochondria,4,605,2367,12138,2,0,0,36,17,21
glu,0,3,3,mitochondria,4,1450,2,2,18,1,14,20,2,15
glu,0,3,3,mitochondria,4,2056,2,2,29,7,10,31,8,11
glu,0,3,3,mitochondria,4,2189,2,4,34,16,9,36,17,11
glu,0,3,3,mitochondria,4,2296,2,2,36,12,6,37,14,7
glu,0,3,3,mitochondria,4,2297,2,2,36,12,20,37,14,21
glu,0,3,3,mitochondria,5,8,1676,7215,0,0,2,37,13,17
glu,0,3,3,mitochondria,5,1190,1,1,9,6,17,10,7,18
glu,0,3,3,mitochondria,5,1313,20,36,15,10,3,19,13,6
glu,0,3,3,mitochondria,5,1398,1,1,17,0,8,18,1,9
glu,0,3,3,mitochondria,5,1744,3,6,23,11,4,26,12,6
glu,0,3,3,mitochondria,5,2298,1,1,36,11,4,37,12,5
glu,0,3,3,mitochondria,6,6,3,4,0,4,1,2,6,2
glu,0,3,3,mitochondria,6,467,1384,6552,1,1,0,37,14,14
glu,0,3,3,mitochondria,6,1159,1,1,8,13,10,9,14,11
glu,0,3,3,mitochondria,6,1400,1,1,17,3,11,18,4,12
glu,0,3,3,mitochondria,6,1918,1,1,26,6,9,27,7,10
glu,0,3,3,mitochondria,6,2110,3,4,31,4,13,33,6,14
glu,0,3,3,mitochondria,7,9,1733,7020,0,0,0,36,13,15
glu,0,3,3,mitochondria,7,1794,1,1,24,0,9,25,1,10
glu,0,3,3,mitochondria,7,1917,4,6,26,0,10,29,2,11
glu,0,3,3,mitochondria,7,1919,2,2,26,7,4,28,8,5
glu,0,3,3,mitochondria,7,2299,3,3,36,10,7,37,11,10
glu,0,3,3,mitochondria,8,5,3,4,0,2,4,1,4,6
glu,0,3,3,mitochondria,8,468,1386,6084,1,0,0,37,13,13
glu,0,3,3,mitochondria,8,1240,3,4,12,8,1,14,9,3
glu,0,3,3,mitochondria,8,1451,1,1,18,7,0,19,8,1
glu,0,3,3,mitochondria,8,1609,1,1,21,11,3,22,12,4
glu,0,3,3,mitochondria,8,1687,2,2,22,6,0,23,8,1
glu,0,3,3,mitochondria,9,12,1342,5616,0,0,0,36,13,12
glu,0,3,3,mitochondria,9,1284,22,64,14,0,3,22,2,7
glu,0,3,3,mitochondria,9,1401,1,1,17,6,0,18,7,1
glu,0,3,3,mitochondria,9,1499,3,4,19,2,1,21,4,2
glu,0,3,3,mitochondria,9,1557,1,1,20,8,1,21,9,2
glu,0,3,3,mitochondria,9,1795,2,2,24,1,10,25,3,11
glu,0,3,3,mitochondria,9,1846,1,1,25,6,9,26,7,10
glu,0,3,3,mitochondria,9,1847,11,24,25,7,11,28,11,13
glu,0,3,3,mitochondria,9,2013,1,1,28,1,3,29,2,4
glu,0,3,3,mitochondria,10,14,1605,6825,2,0,1,37,15,14
glu,0,3,3,mitochondria,10,1312,2,4,15,0,5,17,2,6
glu,0,3,3,mitochondria,10,1556,2,2,20,3,4,22,4,5
glu,0,3,3,mitochondria,12,990,625,2880,5,0,0,37,10,9
glu,0,3,3,mitochondria,12,992,2,2,5,7,4,6,9,5
glu,0,3,3,mitochondria,12,1191,5,8,9,8,5,11,10,7
glu,0,3,3,mitochondria,12,1796,2,2,24,7,8,26,8,9
glu,0,3,3,mitochondria,12,1972,2,2,27,7,8,28,9,9
glu,0,3,3,mitochondria,13,609,1432,7350,2,0,1,37,15,15
glu,0,3,3,mitochondria,13,787,1,1,3,6,5,4,7,6
glu,0,3,3,mitochondria,13,1973,1,1,27,13,10,28,14,11
glu,0,3,3,mitochondria,13,2014,1,1,28,8,12,29,9,13
glu,0,3,3,mitochondria,14,15,1905,7696,0,0,0,37,13,16
glu,0,3,3,mitochondria,14,608,5,8,2,11,9,4,13,11
glu,0,3,3,mitochondria,14,611,1,1,2,12,12,3,13,13
glu,0,3,3,mitochondria,14,786,2,2,3,1,8,5,2,9
glu,0,3,3,mitochondria,14,991,3,4,5,3,5,7,4,7
glu,0,3,3,mitochondria,16,14,1550,7252,0,0,0,37,14,14
glu,0,3,3,mitochondria,16,17,8,12,0,6,1,2,9,3
glu,0,3,3,mitochondria,16,610,5,8,2,10,9,4,12,11
glu,0,3,3,mitochondria,16,1212,5,6,10,8,7,12,9,10
glu,0,3,3,mitochondria,16,1500,1,1,19,0,9,20,1,10
glu,0,3,3,mitochondria,16,1745,2,2,23,1,9,24,2,11
glu,0,3,3,mitochondria,16,2234,5,8,35,1,7,37,3,9
glu,0,3,3,mitochondria,17,16,2034,7696,0,0,0,37,13,16
glu,0,3,3,mitochondria,17,469,1,1,1,3,10,2,4,11
glu,0,3,3,mitochondria,17,2190,4,8,34,10,3,36,12,5
glu,0,3,3,mitochondria,18,18,3,4,0,2,10,2,3,12
glu,0,3,3,mitochondria,18,19,2233,10656,0,0,0,37,16,18
glu,0,3,3,mitochondria,18,21,8,12,0,9,1,2,12,3
glu,0,3,3,mitochondria,18,993,3,4,5,9,17,6,11,19
glu,0,3,3,mitochondria,18,1192,2,2,9,2,16,10,4,17
glu,0,3,3,mitochondria,18,1361,1,1,16,8,16,17,9,17
glu,0,3,3,mitochondria,18,1453,1,1,18,9,17,19,10,18
glu,0,3,3,mitochondria,18,1558,1,1,20,7,3,21,8,4
glu,0,3,3,mitochondria,18,1610,3,4,21,7,0,23,9,1
glu,0,3,3,mitochondria,18,1611,1,1,21,8,17,22,9,18
glu,0,3,3,mitochondria,18,1920,1,1,26,8,17,27,9,18
glu,0,3,3,mitochondria,18,2015,11,30,28,7,6,33,9,9
glu,0,3,3,mitochondria,19,23,1,1,0,9,1,1,10,2
glu,0,3,3,mitochondria,19,606,2204,8925,2,0,1,37,15,18
glu,0,3,3,mitochondria,19,607,1,1,2,4,7,3,5,8
glu,0,3,3,mitochondria,19,1360,2,2,16,3,11,17,5,12
glu,0,3,3,mitochondria,19,1452,15,27,18,4,10,21,7,13
glu,0,3,3,mitochondria,19,1688,1,1,22,2,3,23,3,4
glu,0,3,3,mitochondria,19,1746,2,2,23,6,12,24,7,14
glu,0,3,3,mitochondria,19,1848,1,1,25,2,4,26,3,5
glu,0,3,3,mitochondria,20,470,1730,7350,1,0,0,36,15,14
glu,0,3,3,mitochondria,20,612,2,2,2,7,1,4,8,2
glu,0,3,3,mitochondria,20,1285,6,9,14,6,1,17,9,2
glu,0,3,3,mitochondria,20,1797,1,1,24,8,0,25,9,1
glu,0,3,3,mitochondria,20,2158,1,1,33,8,0,34,9,1
glu,0,3,3,mitochondria,20,2191,1,1,34,14,7,35,15,8
glu,0,3,3,mitochondria,20,2300,2,2,36,2,4,37,3,6
glu,0,3,3,mitochondria,21,20,1,1,0,4,2,1,5,3
glu,0,3,3,mitochondria,21,788,1865,8448,3,0,0,36,16,16
glu,0,3,3,mitochondria,21,897,1,1,4,8,11,5,9,12
glu,0,3,3,mitochondria,21,898,1,1,4,13,4,5,14,5
glu,0,3,3,mitochondria,21,2301,2,2,36,1,7,37,3,8
glu,0,3,3,mitochondria,21,2302,5,6,36,4,12,37,7,14
glu,0,3,3,mitochondria,23,22,8,12,0,4,1,2,6,4
glu,0,3,3,mitochondria,23,26,2420,10064,0,0,0,37,16,17
glu,0,3,3,mitochondria,23,613,16,36,2,7,8,5,10,12
glu,0,3,3,mitochondria,23,614,2,2,2,7,13,3,8,15
glu,0,3,3,mitochondria,23,789,1,1,3,4,2,4,5,3
glu,0,3,3,mitochondria,23,1213,7,8,10,5,9,14,7,10
glu,0,3,3,mitochondria,23,2111,14,80,31,8,13,35,13,17
glu,0,3,3,mitochondria,23,2131,1,1,32,15,11,33,16,12
glu,0,3,3,mitochondria,23,2235,1,1,35,2,8,36,3,9
glu,0,3,3,mitochondria,23,2305,3,4,36,14,10,37,16,12
glu,0,3,3,mitochondria,25,25,3,4,0,6,7,1,8,9
glu,0,3,3,mitochondria,25,32,1606,7488,0,0,0,36,16,13
glu,0,3,3,mitochondria,25,1314,2,2,15,10,10,16,12,11
glu,0,3,3,mitochondria,25,1501,46,200,19,8,9,29,13,13
glu,0,3,3,mitochondria,25,1612,4,8,21,2,1,23,4,3
glu,0,3,3,mitochondria,25,1849,14,24,25,1,1,28,5,3
glu,0,3,3,mitochondria,26,27,1,1,0,5,8,1,6,9
glu,0,3,3,mitochondria,26,34,1667,6734,0,0,0,37,14,13
glu,0,3,3,mitochondria,26,1194,3,4,9,9,11,11,11,12
glu,0,3,3,mitochondria,26,2130,13,96,32,1,9,35,9,13
glu,0,3,3,mitochondria,27,24,5,6,0,1,4,1,3,7
glu,0,3,3,mitochondria,27,29,1,1,0,5,5,1,6,6
glu,0,3,3,mitochondria,27,31,1072,5291,0,0,1,37,13,12
glu,0,3,3,mitochondria,27,35,1,1,0,11,5,1,12,6
glu,0,3,3,mitochondria,27,790,3,4,3,6,2,4,8,4
glu,0,3,3,mitochondria,27,1260,4,6,13,0,7,14,2,10
glu,0,3,3,mitochondria,27,1261,18,100,13,0,2,18,4,7
glu,0,3,3,mitochondria,27,1362,17,45,16,7,0,21,10,3
glu,0,3,3,mitochondria,27,1402,7,12,17,3,1,19,5,4
glu,0,3,3,mitochondria,27,1559,18,48,20,0,3,28,3,5
glu,0,3,3,mitochondria,27,1747,2,2,23,4,1,25,5,2
glu,0,3,3,mitochondria,27,1974,2,2,27,7,1,29,8,2
glu,0,3,3,mitochondria,27,2303,1,1,36,1,8,37,2,9
glu,0,3,3,mitochondria,28,28,2271,9435,0,0,0,37,17,15
glu,0,3,3,mitochondria,28,33,1,1,0,8,12,1,9,13
glu,0,3,3,mitochondria,28,615,1,1,2,4,10,3,5,11
glu,0,3,3,mitochondria,28,1193,2,2,9,6,14,10,8,15
glu,0,3,3,mitochondria,28,2304,2,4,36,7,1,37,9,3
glu,0,3,3,mitochondria,29,30,1,1,0,5,8,1,6,9
glu,0,3,3,mitochondria,29,616,1,1,2,5,10,3,6,11
glu,0,3,3,mitochondria,29,617,1305,4862,2,0,1,36,13,12
glu,0,3,3,mitochondria,29,1921,6,12,26,2,10,29,4,12
glu,0,3,3,mitochondria,29,2016,4,4,28,0,6,29,2,8
glu,0,3,3,mitochondria,29,2017,2,2,28,1,3,29,3,4
glu,0,3,3,mitochondria,31,37,1113,4320,0,0,0,36,10,12
glu,0,3,3,mitochondria,31,1613,7,10,21,0,3,26,1,5
glu,0,3,3,mitochondria,32,36,1,1,0,4,2,1,5,3
glu,0,3,3,mitochondria,32,471,2714,10944,1,1,0,37,20,16
glu,0,3,3,mitochondria,32,1691,1,1,22,17,13,23,18,14
glu,0,3,3,mitochondria,32,2308,1,1,36,13,13,37,14,14
glu,0,3,3,mitochondria,32,2310,1,1,36,17,6,37,18,7
glu,0,3,3,mitochondria,33,39,5,16,0,4,3,4,6,5
