experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,2,peroxisome,1,231,2,2,15,6,5,16,7,7
glu,0-5,3,2,peroxisome,1,299,7,12,15,6,4,18,8,6
glu,0-5,3,2,peroxisome,1,599,3,3,20,6,4,23,7,5
glu,0-5,3,2,peroxisome,1,749,3,3,23,6,4,26,7,5
glu,0-5,3,2,peroxisome,2,374,19,54,15,3,9,21,6,12
glu,0-5,3,2,peroxisome,2,969,8,8,27,4,11,31,5,13
glu,0-5,3,2,peroxisome,5,504,14,24,17,5,12,23,7,14
glu,0-5,3,2,peroxisome,5,657,1,1,22,5,12,23,6,13
glu,0-5,3,2,peroxisome,9,45,1,1,12,14,2,13,15,3
glu,0-5,3,2,peroxisome,9,305,20,54,11,9,0,20,12,2
glu,0-5,3,2,peroxisome,9,846,6,16,24,1,3,28,3,5
glu,0-5,3,2,peroxisome,15,1119,3,3,29,9,1,32,10,2
glu,0-5,3,2,peroxisome,16,558,34,72,18,11,2,26,14,5
glu,0-5,3,2,peroxisome,16,910,15,16,23,16,8,31,17,10
glu,0-5,3,2,peroxisome,16,976,14,45,26,11,5,31,14,8
glu,0-5,3,2,peroxisome,16,1119,5,5,28,7,12,33,8,13
glu,0-5,3,2,peroxisome,21,850,26,63,23,5,5,30,8,8
glu,0-5,3,2,peroxisome,31,48,62,160,8,8,7,18,12,11
glu,0-5,3,2,peroxisome,31,804,66,132,20,11,5,31,14,9
glu,0-5,3,2,peroxisome,31,979,31,72,24,1,7,32,4,10
glu,0-5,3,2,peroxisome,39,1273,1,1,32,2,11,33,3,12
glu,0-5,3,2,peroxisome,46,388,12,14,14,10,0,21,12,1
glu,0-5,3,2,peroxisome,46,983,29,72,23,16,8,31,19,11
glu,0-5,3,2,peroxisome,47,10,4,4,10,3,16,12,5,17
glu,0-5,3,2,peroxisome,47,11,3,3,10,9,12,13,10,13
glu,0-5,3,2,peroxisome,47,50,1,1,12,4,14,13,5,15
glu,0-5,3,2,peroxisome,47,51,24,72,10,4,10,16,7,14
glu,0-5,3,2,peroxisome,47,312,9,27,15,1,11,18,4,14
glu,0-5,3,2,peroxisome,47,755,38,72,21,10,7,29,13,10
glu,0-5,3,2,peroxisome,47,756,2,2,24,17,10,26,18,11
glu,0-5,3,2,peroxisome,47,806,13,45,24,14,11,29,17,14
glu,0-5,3,2,peroxisome,56,55,35,60,9,11,12,19,14,14
glu,0-5,3,2,peroxisome,61,3,14,40,6,10,8,11,14,10
glu,0-5,3,2,peroxisome,61,180,65,208,6,10,8,19,14,12
glu,0-5,3,2,peroxisome,61,313,28,54,11,3,5,17,6,8
glu,0-5,3,2,peroxisome,61,516,61,156,12,2,5,25,6,8
glu,0-5,3,2,peroxisome,61,712,93,168,15,8,3,29,11,7
glu,0-5,3,2,peroxisome,64,56,14,48,10,3,14,16,7,16
glu,0-5,3,2,peroxisome,64,179,6,8,13,6,13,17,7,15
glu,0-5,3,2,peroxisome,64,391,1,1,17,6,13,18,7,14
glu,0-5,3,2,peroxisome,64,561,13,45,18,11,11,23,14,14
glu,0-5,3,2,peroxisome,64,913,49,120,23,5,12,33,8,16
glu,0-5,3,2,peroxisome,66,661,7,8,20,6,0,24,8,1
glu,0-5,3,2,peroxisome,85,323,14,24,12,13,6,18,15,8
glu,0-5,3,2,peroxisome,93,398,13,27,16,2,7,19,5,10
