experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0,3,6,peroxisome,1,238,1,1,20,6,0,21,7,1
glu,0,3,6,peroxisome,1,277,2,2,21,6,0,23,7,1
glu,0,3,6,peroxisome,1,417,33,72,20,5,6,28,8,9
glu,0,3,6,peroxisome,3,121,2,2,18,5,12,20,6,13
glu,0,3,6,peroxisome,3,193,2,2,19,7,7,21,8,8
glu,0,3,6,peroxisome,3,197,7,24,17,14,7,21,16,10
glu,0,3,6,peroxisome,3,239,90,162,16,6,14,25,12,17
glu,0,3,6,peroxisome,3,333,25,54,20,11,1,26,14,4
glu,0,3,6,peroxisome,3,334,7,8,21,14,7,25,15,9
glu,0,3,6,peroxisome,3,419,7,10,21,4,2,26,5,4
glu,0,3,6,peroxisome,4,194,41,96,15,1,12,23,5,15
glu,0,3,6,peroxisome,4,196,6,8,19,3,14,23,5,15
glu,0,3,6,peroxisome,5,4,23,54,14,14,0,20,17,3
glu,0,3,6,peroxisome,5,43,2,2,16,4,7,18,5,8
glu,0,3,6,peroxisome,5,47,3,4,16,18,6,18,19,8
glu,0,3,6,peroxisome,5,48,20,72,15,19,7,23,22,10
glu,0,3,6,peroxisome,5,125,2,2,17,8,11,19,9,12
glu,0,3,6,peroxisome,5,240,13,24,18,21,7,24,23,9
glu,0,3,6,peroxisome,5,335,48,108,19,4,5,28,7,9
glu,0,3,6,peroxisome,5,421,59,160,20,4,11,28,9,15
glu,0,3,6,peroxisome,5,501,3,3,23,20,8,26,21,9
glu,0,3,6,peroxisome,6,123,5,6,17,5,13,20,6,15
glu,0,3,6,peroxisome,6,124,7,8,16,7,1,20,8,3
glu,0,3,6,peroxisome,6,195,2,2,18,1,4,20,2,5
glu,0,3,6,peroxisome,6,337,2,2,21,10,15,23,11,16
glu,0,3,6,peroxisome,6,420,2,2,22,4,1,24,5,2
glu,0,3,6,peroxisome,6,422,4,6,22,5,4,25,6,6
glu,0,3,6,peroxisome,6,499,52,120,20,12,3,28,15,8
glu,0,3,6,peroxisome,9,45,5,6,16,1,7,19,3,8
glu,0,3,6,peroxisome,9,46,13,20,14,5,15,19,7,17
glu,0,3,6,peroxisome,9,126,3,3,17,10,15,20,11,16
glu,0,3,6,peroxisome,9,338,21,36,19,1,12,25,3,15
glu,0,3,6,peroxisome,9,500,3,3,23,7,16,26,8,17
glu,0,3,6,peroxisome,13,51,18,28,14,13,1,21,15,3
glu,0,3,6,peroxisome,13,201,8,16,18,13,1,22,15,3
glu,0,3,6,peroxisome,13,241,57,120,15,6,15,25,10,18
glu,0,3,6,peroxisome,13,242,38,72,16,8,2,24,11,5
glu,0,3,6,peroxisome,13,424,35,63,19,3,12,26,6,15
glu,0,3,6,peroxisome,13,425,1,1,23,22,6,24,23,7
glu,0,3,6,peroxisome,14,50,67,200,13,3,10,23,7,15
glu,0,3,6,peroxisome,14,279,6,12,20,8,10,23,10,12
glu,0,3,6,peroxisome,14,339,25,72,18,2,3,27,6,5
glu,0,3,6,peroxisome,14,340,29,63,18,13,8,25,16,11
glu,0,3,6,peroxisome,14,423,50,120,18,2,4,28,6,7
glu,0,3,6,peroxisome,15,129,28,84,15,13,1,22,17,4
glu,0,3,6,peroxisome,15,204,1,1,19,14,16,20,15,17
glu,0,3,6,peroxisome,15,244,1,1,20,14,15,21,15,16
glu,0,3,6,peroxisome,15,280,3,3,19,1,8,22,2,9
glu,0,3,6,peroxisome,15,281,9,90,20,14,1,23,20,6
glu,0,3,6,peroxisome,15,502,20,36,22,0,10,28,3,12
glu,0,3,6,peroxisome,15,503,4,4,22,3,14,26,4,15
glu,0,3,6,peroxisome,15,504,60,120,20,7,4,30,11,7
glu,0,3,6,peroxisome,15,506,41,72,20,14,12,28,17,15
glu,0,3,6,peroxisome,15,508,9,18,23,14,1,26,17,3
glu,0,3,6,peroxisome,17,205,17,54,16,5,11,22,8,14
glu,0,3,6,peroxisome,17,426,4,4,22,10,3,26,11,4
glu,0,3,6,peroxisome,17,505,1,1,24,1,7,25,2,8
glu,0,3,6,peroxisome,17,507,11,18,23,2,7,26,4,10
glu,0,3,6,peroxisome,17,533,1,1,25,1,7,26,2,8
glu,0,3,6,peroxisome,19,54,11,36,16,7,10,20,10,13
glu,0,3,6,peroxisome,19,130,7,12,16,11,3,19,15,4
glu,0,3,6,peroxisome,19,245,15,36,18,5,0,24,8,2
glu,0,3,6,peroxisome,19,283,3,3,21,7,0,24,8,1
glu,0,3,6,peroxisome,19,342,15,20,19,11,1,29,13,2
glu,0,3,6,peroxisome,19,343,42,126,15,11,1,29,14,4
glu,0,3,6,peroxisome,19,344,9,14,19,14,3,26,15,5
glu,0,3,6,peroxisome,19,345,40,96,18,13,11,26,17,14
glu,0,3,6,peroxisome,19,428,26,54,21,6,5,27,9,8
glu,0,3,6,peroxisome,22,56,56,108,14,12,10,23,15,14
glu,0,3,6,peroxisome,22,429,22,42,20,10,0,27,13,2
glu,0,3,6,peroxisome,22,509,33,63,21,14,5,28,17,8
glu,0,3,6,peroxisome,24,57,44,84,14,6,10,21,10,13
glu,0,3,6,peroxisome,24,284,1,1,21,11,8,22,12,9
glu,0,3,6,peroxisome,24,430,7,8,21,11,8,25,12,10
glu,0,3,6,peroxisome,24,510,2,2,24,2,3,26,3,4
glu,0,3,6,peroxisome,25,5,29,63,13,2,5,20,5,8
glu,0,3,6,peroxisome,25,6,49,96,13,11,11,21,14,15
glu,0,3,6,peroxisome,25,132,1,1,18,0,5,19,1,6
glu,0,3,6,peroxisome,25,247,33,84,16,13,6,23,16,10
glu,0,3,6,peroxisome,25,511,2,2,23,10,9,25,11,10
glu,0,3,6,peroxisome,26,7,2,2,16,13,5,17,14,7
glu,0,3,6,peroxisome,26,58,52,108,13,0,4,22,3,8
glu,0,3,6,peroxisome,26,59,17,48,15,8,14,19,12,17
glu,0,3,6,peroxisome,26,60,40,54,14,13,10,20,16,13
glu,0,3,6,peroxisome,26,347,23,45,20,0,11,25,3,14
glu,0,3,6,peroxisome,29,1,8,16,14,6,5,18,8,7
glu,0,3,6,peroxisome,29,8,9,16,15,5,13,19,7,15
glu,0,3,6,peroxisome,29,207,37,84,17,7,2,24,11,5
glu,0,3,6,peroxisome,29,286,23,54,18,18,7,24,21,10
glu,0,3,6,peroxisome,29,287,15,54,19,18,9,25,21,12
glu,0,3,6,peroxisome,29,350,24,54,19,6,14,25,9,17
glu,0,3,6,peroxisome,29,353,3,3,22,18,7,25,19,8
glu,0,3,6,peroxisome,29,434,25,45,21,13,11,26,16,14
glu,0,3,6,peroxisome,31,9,32,54,14,0,11,20,3,14
glu,0,3,6,peroxisome,31,11,9,24,14,9,1,18,12,3
glu,0,3,6,peroxisome,31,12,24,45,14,15,7,19,18,10
glu,0,3,6,peroxisome,31,357,28,54,19,18,11,25,21,14
glu,0,3,6,peroxisome,31,435,3,3,22,6,2,25,7,3
glu,0,3,6,peroxisome,32,2,12,30,13,15,4,18,17,7
glu,0,3,6,peroxisome,32,10,35,63,13,6,11,20,9,14
glu,0,3,6,peroxisome,32,62,2,2,16,11,2,18,12,3
glu,0,3,6,peroxisome,32,356,11,30,20,10,11,25,12,14
glu,0,3,6,peroxisome,32,436,12,36,21,10,12,25,13,15
glu,0,3,6,peroxisome,34,139,61,128,14,5,1,22,9,5
glu,0,3,6,peroxisome,34,249,24,36,17,1,3,23,3,6
glu,0,3,6,peroxisome,35,66,1,1,17,17,8,18,18,9
glu,0,3,6,peroxisome,35,140,21,45,16,7,1,21,10,4
glu,0,3,6,peroxisome,35,141,9,20,16,9,0,21,11,2
glu,0,3,6,peroxisome,35,291,40,84,18,5,2,25,8,6
glu,0,3,6,peroxisome,35,292,31,108,17,9,10,26,13,13
glu,0,3,6,peroxisome,36,251,48,96,17,5,4,25,8,8
glu,0,3,6,peroxisome,38,13,15,30,14,7,3,19,10,5
glu,0,3,6,peroxisome,38,358,5,6,21,4,11,24,5,13
