experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,0-5,3,7,vacuole,1,0,9,12,17,8,6,17,11,10
glu,0-5,3,7,vacuole,2,0,72,126,19,1,0,19,10,14
glu,0-5,3,7,vacuole,3,0,49,70,17,3,8,17,13,15
glu,0-5,3,7,vacuole,5,0,116,176,22,2,2,22,18,13
glu,0-5,3,7,vacuole,7,0,16,36,19,6,4,19,12,10
glu,0-5,3,7,vacuole,8,0,28,56,18,2,2,18,10,9
glu,0-5,3,7,vacuole,9,0,22,40,13,2,4,13,7,12
glu,0-5,3,7,vacuole,11,0,33,42,21,3,3,21,9,10
glu,0-5,3,7,vacuole,12,0,66,81,16,2,2,16,11,11
glu,0-5,3,7,vacuole,13,0,22,25,17,5,7,17,10,12
glu,0-5,3,7,vacuole,14,0,58,80,20,1,3,20,9,13
glu,0-5,3,7,vacuole,16,0,22,24,21,3,2,21,7,8
glu,0-5,3,7,vacuole,17,0,62,80,22,5,1,22,13,11
glu,0-5,3,7,vacuole,18,0,11,12,21,1,4,21,5,7
glu,0-5,3,7,vacuole,19,0,4,4,9,4,2,9,6,4
glu,0-5,3,7,vacuole,20,0,43,72,22,4,3,22,13,11
glu,0-5,3,7,vacuole,21,0,49,72,21,3,1,21,12,9
glu,0-5,3,7,vacuole,22,0,37,48,15,9,5,15,17,11
glu,0-5,3,7,vacuole,23,0,21,25,19,6,2,19,11,7
glu,0-5,3,7,vacuole,25,0,69,81,21,1,4,21,10,13
glu,0-5,3,7,vacuole,26,0,11,12,25,7,4,25,11,7
glu,0-5,3,7,vacuole,27,0,35,63,20,5,4,20,14,11
glu,0-5,3,7,vacuole,28,0,17,20,22,6,2,22,11,6
glu,0-5,3,7,vacuole,29,0,9,12,16,3,6,16,7,9
glu,0-5,3,7,vacuole,32,0,210,323,22,1,1,22,20,18
glu,0-5,3,7,vacuole,33,0,20,24,19,7,2,19,11,8
glu,0-5,3,7,vacuole,36,0,62,99,23,5,1,23,14,12
glu,0-5,3,7,vacuole,37,0,74,121,19,2,2,19,13,13
glu,0-5,3,7,vacuole,38,0,107,154,22,4,2,22,15,16
glu,0-5,3,7,vacuole,39,0,1,1,24,3,3,24,4,4
