experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
glu,5,3,2,vacuole,1,0,38,72,20,2,3,20,11,11
glu,5,3,2,vacuole,5,0,60,72,28,2,3,28,10,12
glu,5,3,2,vacuole,6,0,7,12,21,3,1,21,6,5
glu,5,3,2,vacuole,7,0,57,96,24,2,5,24,14,13
glu,5,3,2,vacuole,8,0,26,36,27,4,7,27,10,13
glu,5,3,2,vacuole,9,0,35,56,22,0,3,22,7,11
glu,5,3,2,vacuole,13,0,16,20,26,4,1,26,8,6
glu,5,3,2,vacuole,17,0,21,30,22,2,3,22,7,9
glu,5,3,2,vacuole,18,0,9,12,21,6,2,21,9,6
glu,5,3,2,vacuole,19,0,293,378,22,2,2,22,20,23
glu,5,3,2,vacuole,20,0,43,48,23,2,6,23,10,12
glu,5,3,2,vacuole,21,0,60,70,22,6,5,22,16,12
glu,5,3,2,vacuole,22,0,57,72,20,2,6,20,10,15
glu,5,3,2,vacuole,25,0,32,42,24,8,2,24,15,8
glu,5,3,2,vacuole,27,0,67,90,21,5,3,21,14,13
glu,5,3,2,vacuole,33,0,6,6,24,7,5,24,10,7
glu,5,3,2,vacuole,35,0,6,6,28,5,6,28,7,9
glu,5,3,2,vacuole,38,0,23,35,17,2,2,17,7,9
glu,5,3,2,vacuole,39,0,83,132,22,2,0,22,13,12
glu,5,3,2,vacuole,40,0,37,54,22,3,1,22,12,7
glu,5,3,2,vacuole,41,0,7,9,20,4,1,20,7,4
glu,5,3,2,vacuole,43,0,53,77,22,4,2,22,11,13
glu,5,3,2,vacuole,44,0,40,63,19,1,2,19,10,9
glu,5,3,2,vacuole,45,0,16,20,28,5,7,28,9,12
glu,5,3,2,vacuole,46,0,70,110,23,1,4,23,12,14
glu,5,3,2,vacuole,47,0,45,64,23,4,4,23,12,12
glu,5,3,2,vacuole,48,0,12,16,20,1,7,20,5,11
glu,5,3,2,vacuole,49,0,3,4,13,3,4,13,5,6
glu,5,3,2,vacuole,52,0,73,90,20,2,5,20,12,14
glu,5,3,2,vacuole,53,0,41,49,22,2,4,22,9,11
glu,5,3,2,vacuole,54,0,45,63,21,9,9,21,16,18
glu,5,3,2,vacuole,55,0,36,45,27,1,2,27,6,11
glu,5,3,2,vacuole,56,0,1,1,21,2,2,21,3,3
glu,5,3,2,vacuole,57,0,18,20,22,8,6,22,12,11
glu,5,3,2,vacuole,58,0,24,36,22,3,4,22,9,10
glu,5,3,2,vacuole,59,0,33,42,22,3,4,22,9,11
glu,5,3,2,vacuole,60,0,26,54,26,2,4,26,8,13
glu,5,3,2,vacuole,64,0,77,105,24,2,12,24,17,19
glu,5,3,2,vacuole,65,0,70,135,20,3,1,20,18,10
glu,5,3,2,vacuole,66,0,16,20,26,1,4,26,5,9
glu,5,3,2,vacuole,67,0,1,1,17,4,7,17,5,8
glu,5,3,2,vacuole,68,0,19,20,16,3,3,16,8,7
glu,5,3,2,vacuole,70,0,33,60,22,2,4,22,8,14
glu,5,3,2,vacuole,71,0,47,56,23,3,6,23,11,13
glu,5,3,2,vacuole,73,0,19,20,22,5,2,22,10,6
glu,5,3,2,vacuole,74,0,1,1,22,7,7,22,8,8
glu,5,3,2,vacuole,75,0,8,9,9,6,7,9,9,10
glu,5,3,2,vacuole,77,0,12,16,25,0,2,25,4,6
glu,5,3,2,vacuole,78,0,29,49,17,11,8,17,18,15
glu,5,3,2,vacuole,80,0,40,56,22,4,1,22,11,9
glu,5,3,2,vacuole,81,0,17,25,24,1,2,24,6,7
glu,5,3,2,vacuole,82,0,15,15,22,2,8,22,7,11
glu,5,3,2,vacuole,83,0,39,49,25,6,5,25,13,12
glu,5,3,2,vacuole,84,0,2,2,19,3,6,19,4,8
glu,5,3,2,vacuole,85,0,36,63,16,1,4,16,8,13
glu,5,3,2,vacuole,86,0,25,49,24,3,1,24,10,8
glu,5,3,2,vacuole,87,0,118,156,22,1,6,22,14,18
glu,5,3,2,vacuole,88,0,15,20,21,2,7,21,6,12
glu,5,3,2,vacuole,89,0,70,90,22,2,6,22,12,15
glu,5,3,2,vacuole,90,0,1,1,20,4,7,20,5,8
glu,5,3,2,vacuole,91,0,5,6,16,5,7,16,8,9
glu,5,3,2,vacuole,92,0,54,80,18,5,3,18,15,11
glu,5,3,2,vacuole,94,0,1,1,9,5,5,9,6,6
glu,5,3,2,vacuole,95,0,9,9,23,8,6,23,11,9
glu,5,3,2,vacuole,96,0,95,110,22,16,5,22,27,15
glu,5,3,2,vacuole,97,0,55,64,22,4,11,22,12,19
glu,5,3,2,vacuole,98,0,12,15,17,6,8,17,11,11
glu,5,3,2,vacuole,99,0,41,63,24,5,3,24,14,10
glu,5,3,2,vacuole,100,0,79,100,22,3,9,22,13,19
glu,5,3,2,vacuole,103,0,39,49,23,5,5,23,12,12
glu,5,3,2,vacuole,104,0,19,21,16,5,3,16,8,10
glu,5,3,2,vacuole,105,0,73,180,22,4,1,22,16,16
glu,5,3,2,vacuole,107,0,51,80,19,2,2,19,10,12
glu,5,3,2,vacuole,108,0,62,90,22,5,3,22,14,13
glu,5,3,2,vacuole,109,0,30,36,22,5,5,22,11,11
glu,5,3,2,vacuole,110,0,20,35,15,2,3,15,7,10
glu,5,3,2,vacuole,111,0,1,1,14,2,6,14,3,7
glu,5,3,2,vacuole,112,0,42,81,22,2,0,22,11,9
glu,5,3,2,vacuole,113,0,7,9,14,7,1,14,10,4
glu,5,3,2,vacuole,115,0,31,49,21,6,1,21,13,8
glu,5,3,2,vacuole,116,0,39,60,17,3,2,17,9,12
glu,5,3,2,vacuole,117,0,41,49,17,7,3,17,14,10
glu,5,3,2,vacuole,118,0,8,8,17,3,2,17,5,6
glu,5,3,2,vacuole,119,0,39,49,22,4,3,22,11,10
glu,5,3,2,vacuole,120,0,14,15,18,2,3,18,7,6
glu,5,3,2,vacuole,122,0,57,64,21,5,6,21,13,14
glu,5,3,2,vacuole,124,0,27,30,15,5,7,15,11,12
glu,5,3,2,vacuole,127,0,28,30,20,6,3,20,11,9
glu,5,3,2,vacuole,128,0,28,36,25,7,9,25,13,15
glu,5,3,2,vacuole,129,0,38,48,22,3,8,22,11,14
glu,5,3,2,vacuole,130,0,3,4,31,4,4,31,6,6
glu,5,3,2,vacuole,131,0,1,1,21,6,5,21,7,6
glu,5,3,2,vacuole,132,0,75,90,22,3,1,22,13,10
glu,5,3,2,vacuole,133,0,3,4,24,4,1,24,6,3
glu,5,3,2,vacuole,134,0,14,16,19,6,4,19,10,8
glu,5,3,2,vacuole,135,0,54,90,20,3,1,20,12,11
glu,5,3,2,vacuole,136,0,101,121,22,3,3,22,14,14
glu,5,3,2,vacuole,139,0,25,40,22,4,6,22,12,11
glu,5,3,2,vacuole,140,0,9,9,21,2,3,21,5,6
glu,5,3,2,vacuole,141,0,47,60,24,2,4,24,12,10
glu,5,3,2,vacuole,142,0,8,9,18,7,10,18,10,13
glu,5,3,2,vacuole,144,0,101,156,22,6,1,22,18,14
glu,5,3,2,vacuole,145,0,73,100,24,1,1,24,11,11
glu,5,3,2,vacuole,146,0,36,49,22,2,7,22,9,14
glu,5,3,2,vacuole,147,0,248,360,21,2,0,21,22,18
glu,5,3,2,vacuole,149,0,20,30,26,2,0,26,8,5
glu,5,3,2,vacuole,150,0,30,56,23,4,4,23,12,11
glu,5,3,2,vacuole,152,0,18,20,21,3,4,21,7,9
glu,5,3,2,vacuole,153,0,66,110,21,4,1,21,15,11
glu,5,3,2,vacuole,156,0,42,60,22,3,3,22,9,13
glu,5,3,2,vacuole,157,0,9,9,20,6,2,20,9,5
glu,5,3,2,vacuole,159,0,12,16,24,8,3,24,12,7
glu,5,3,2,vacuole,160,0,10,12,29,3,3,29,6,7
glu,5,3,2,vacuole,165,0,92,126,18,3,2,18,12,16
glu,5,3,2,vacuole,166,0,12,15,28,5,7,28,10,10
glu,5,3,2,vacuole,167,0,51,80,21,3,3,21,13,11
glu,5,3,2,vacuole,168,0,44,64,21,0,4,21,8,12
glu,5,3,2,vacuole,169,0,124,168,24,2,3,24,14,17
glu,5,3,2,vacuole,174,0,9,12,18,3,2,18,6,6
glu,5,3,2,vacuole,175,0,13,16,26,2,1,26,6,5
glu,5,3,2,vacuole,176,0,15,20,23,4,2,23,8,7
glu,5,3,2,vacuole,177,0,83,130,23,0,5,23,13,15
glu,5,3,2,vacuole,178,0,35,42,24,5,2,24,11,9
glu,5,3,2,vacuole,179,0,6,9,22,4,2,22,7,5
glu,5,3,2,vacuole,180,0,8,9,21,1,7,21,4,10
glu,5,3,2,vacuole,183,0,1,1,13,4,4,13,5,5
glu,5,3,2,vacuole,184,0,64,81,22,4,5,22,13,14
glu,5,3,2,vacuole,185,0,76,120,23,4,1,23,16,11
glu,5,3,2,vacuole,186,0,47,64,22,5,4,22,13,12
glu,5,3,2,vacuole,187,0,7,8,18,4,3,18,6,7
glu,5,3,2,vacuole,188,0,5,6,23,4,4,23,6,7
glu,5,3,2,vacuole,190,0,63,108,22,3,7,22,15,16
glu,5,3,2,vacuole,192,0,55,77,21,6,1,21,17,8
glu,5,3,2,vacuole,195,0,34,72,18,1,2,18,9,11
glu,5,3,2,vacuole,196,0,82,110,21,2,6,21,12,17
glu,5,3,2,vacuole,197,0,27,36,24,3,2,24,9,8
glu,5,3,2,vacuole,198,0,5,6,20,7,6,20,9,9
glu,5,3,2,vacuole,200,0,58,72,25,4,2,25,13,10
glu,5,3,2,vacuole,201,0,5,6,20,4,7,20,7,9
glu,5,3,2,vacuole,203,0,89,121,25,2,1,25,13,12
glu,5,3,2,vacuole,204,0,63,81,23,5,4,23,14,13
glu,5,3,2,vacuole,205,0,23,40,27,2,2,27,7,10
glu,5,3,2,vacuole,206,0,57,72,25,2,1,25,11,9
glu,5,3,2,vacuole,207,0,4,4,27,5,0,27,7,2
glu,5,3,2,vacuole,208,0,19,25,19,4,4,19,9,9
glu,5,3,2,vacuole,209,0,24,35,27,2,3,27,9,8
glu,5,3,2,vacuole,210,0,24,24,24,4,7,24,8,13
glu,5,3,2,vacuole,211,0,1,1,21,6,1,21,7,2
glu,5,3,2,vacuole,213,0,11,12,24,7,8,24,11,11
glu,5,3,2,vacuole,214,0,83,100,22,7,4,22,17,14
glu,5,3,2,vacuole,216,0,29,42,25,2,1,25,8,8
glu,5,3,2,vacuole,217,0,50,72,24,2,4,24,11,12
glu,5,3,2,vacuole,219,0,1,1,14,3,4,14,4,5
glu,5,3,2,vacuole,221,0,73,90,24,5,3,24,14,13
glu,5,3,2,vacuole,222,0,29,42,18,4,2,18,10,9
