experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
leu,100,3,4,ER,2,255,483,6480,0,1,0,24,19,15
leu,100,3,4,ER,3,255,1055,8550,0,1,0,30,16,19
leu,100,3,4,ER,4,255,712,9360,0,0,1,26,20,19
leu,100,3,4,ER,5,255,1038,11718,0,0,0,31,18,21
leu,100,3,4,ER,6,255,977,10013,0,1,0,31,18,19
leu,100,3,4,ER,7,255,699,7020,0,0,0,27,13,20
leu,100,3,4,ER,8,255,399,3960,0,1,0,22,13,15
leu,100,3,4,ER,10,255,376,4536,5,1,0,26,13,18
leu,100,3,4,ER,11,255,248,1440,0,0,1,20,8,10
leu,100,3,4,ER,12,255,1580,17112,0,0,0,31,24,23
leu,100,3,4,ER,13,255,912,8262,0,0,0,27,18,17
leu,100,3,4,ER,15,255,944,8505,0,0,0,27,21,15
leu,100,3,4,ER,16,255,578,5376,0,0,0,24,16,14
leu,100,3,4,ER,17,255,119,1440,5,1,1,17,13,11
leu,100,3,4,ER,18,255,411,7560,0,0,1,27,20,15
leu,100,3,4,ER,19,255,555,5776,0,1,0,19,17,19
leu,100,3,4,ER,20,255,124,640,0,1,1,8,9,11
leu,100,3,4,ER,21,255,1205,11400,0,0,0,30,19,20
leu,100,3,4,ER,22,255,132,2310,0,0,3,21,11,13
leu,100,3,4,ER,23,255,1363,12121,0,0,0,31,17,23
leu,100,3,4,ER,24,255,515,5655,0,1,1,29,16,14
leu,100,3,4,ER,25,255,901,10540,0,0,2,31,17,22
leu,100,3,4,ER,26,255,728,8892,0,0,0,26,18,19
leu,100,3,4,ER,27,255,1141,10108,0,0,1,28,19,20
leu,100,3,4,ER,28,255,729,11500,6,0,0,31,23,20
leu,100,3,4,ER,29,255,381,5355,0,0,1,21,15,18
leu,100,3,4,ER,30,255,939,10672,0,1,0,29,17,23
leu,100,3,4,ER,31,255,391,3564,0,2,1,27,13,13
leu,100,3,4,ER,32,255,910,11760,0,0,1,28,20,22
leu,100,3,4,ER,33,255,209,2000,5,0,0,25,10,10
leu,100,3,4,ER,34,255,624,6118,6,0,0,29,14,19
leu,100,3,4,ER,35,255,856,7182,0,1,0,27,15,19
leu,100,3,4,ER,36,255,794,6525,0,0,0,29,15,15
