experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
leu,100,3,4,2,217,10.377880184331797,338.1520737327189,1,331,21,346,0.6160978838930921
leu,100,3,4,3,216,10.00462962962963,89.13888888888889,2,81,18,100,0.6261869242501037
leu,100,3,4,4,274,15.102189781021897,370.90875912408757,6,361,26,381,0.619817618173333
leu,100,3,4,5,282,19.05673758865248,106.15248226950355,10,96,28,117,0.6055428700837648
leu,100,3,4,6,255,20.050980392156863,155.64313725490197,11,146,29,166,0.562220559211298
leu,100,3,4,7,211,21.57345971563981,135.28436018957345,15,126,30,146,0.7482043884110988
leu,100,3,4,8,143,20.79020979020979,352.38461538461536,15,345,28,360,0.5826306102676778
leu,100,3,4,10,187,35.18181818181818,137.77005347593584,29,129,42,148,0.7461556025889089
leu,100,3,4,11,59,33.66101694915254,183.64406779661016,30,179,39,189,0.6328722314848079
leu,100,3,4,12,420,43.59047619047619,156.43333333333334,32,146,56,169,0.41762080885884484
leu,100,3,4,13,232,40.94827586206897,193.39224137931035,32,185,50,203,0.3417123651634091
leu,100,3,4,15,230,50.391304347826086,178.17391304347825,40,171,61,187,0.7978783368409571
leu,100,3,4,16,175,52.62285714285714,203.37714285714284,45,197,61,211,0.43074762054331284
leu,100,3,4,17,71,53.183098591549296,144.11267605633802,48,139,61,150,0.8392199803650008
leu,100,3,4,18,229,58.786026200873366,487.8646288209607,50,481,70,496,0.6793674314332715
leu,100,3,4,19,233,62.622317596566525,155.56652360515022,55,146,72,165,0.5621352893061511
leu,100,3,4,20,89,63.48314606741573,140.5505617977528,59,135,69,147,0.49931789276147986
leu,100,3,4,21,315,70.26031746031747,203.37777777777777,61,194,80,214,0.39840521080793395
leu,100,3,4,22,101,66.00990099009901,499.13861386138615,61,493,72,506,0.6538550902503268
leu,100,3,4,23,304,93.08223684210526,213.76644736842104,85,203,102,226,0.6713867159683135
leu,100,3,4,24,141,123.90070921985816,295.9929078014184,117,289,133,303,0.48281341848881554
leu,100,3,4,25,277,126.57761732851985,151.75451263537906,119,141,136,163,0.6372852150420996
leu,100,3,4,26,251,126.97211155378486,407.7450199203187,119,399,137,418,0.42391769215957925
leu,100,3,4,27,279,131.50179211469535,282.2616487455197,123,273,142,293,0.4016765324665591
leu,100,3,4,28,309,136.01294498381878,57.64724919093851,125,48,148,69,0.7377894567969724
leu,100,3,4,29,171,133.1345029239766,137.94152046783626,126,131,141,149,0.6593210345458175
leu,100,3,4,30,300,135.10333333333332,254.34666666666666,127,243,144,267,0.721589485613172
leu,100,3,4,31,114,136.69298245614036,298.10526315789474,131,292,144,306,0.49548025167793425
leu,100,3,4,32,297,144.02693602693603,311.58249158249157,134,301,154,323,0.5635846947295381
leu,100,3,4,33,90,139.2111111111111,392.93333333333334,134,388,145,399,0.45049077088839784
leu,100,3,4,34,211,142.5829383886256,84.79620853080569,136,76,150,95,0.6341908130744606
leu,100,3,4,35,239,143.13389121338912,405.7573221757322,136,397,152,416,0.5545201289203331
leu,100,3,4,36,174,144.2471264367816,237.76436781609195,137,231,152,246,0.5321849800618036
leu,100,3,4,37,334,146.5868263473054,267.0059880239521,137,255,156,280,0.7144602015719884
leu,100,3,4,38,60,143.61666666666667,71.58333333333333,140,67,149,76,0.3019765912215912
leu,100,3,4,39,261,148.1264367816092,138.35249042145594,141,128,156,151,0.7361072319103834
leu,100,3,4,40,167,146.73652694610777,286.4850299401198,141,279,153,296,0.7304441301605678
leu,100,3,4,41,284,151.91549295774647,346.4964788732394,141,337,164,356,0.666810472026689
leu,100,3,4,42,203,153.10837438423644,64.2807881773399,145,55,161,73,0.48270146471266046
leu,100,3,4,43,209,156.11483253588517,297.39712918660285,149,289,165,307,0.6282817117840201
leu,100,3,4,44,296,159.88513513513513,171.88513513513513,152,161,169,184,0.6236672508087256
leu,100,3,4,45,123,157.7642276422764,154.82926829268294,153,148,164,162,0.6857469155146498
leu,100,3,4,46,293,162.79522184300342,280.9590443686007,153,273,175,291,0.5803796980985918
leu,100,3,4,47,147,163.1768707482993,80.87755102040816,158,73,170,89,0.6258065959464275
leu,100,3,4,48,278,168.96762589928056,96.05755395683454,160,87,180,106,0.17621412174050177
leu,100,3,4,49,352,169.3380681818182,339.8380681818182,160,327,179,353,0.6537424407327144
leu,100,3,4,50,274,168.41970802919707,230.06569343065692,161,218,177,242,0.7142185851360482
leu,100,3,4,52,136,173.39705882352942,321.52941176470586,167,315,180,329,0.6603464027263883
leu,100,3,4,53,283,177.5512367491166,209.8833922261484,169,200,187,221,0.5311307637683501
leu,100,3,4,54,265,177.96603773584906,290.03018867924527,169,280,186,301,0.6156746157275326
leu,100,3,4,55,261,185.67049808429118,81.9272030651341,178,73,195,93,0.5212277544087959
leu,100,3,4,56,138,183.57971014492753,99.1159420289855,178,92,190,108,0.7067920791107413
leu,100,3,4,57,202,188.96039603960395,130.31683168316832,182,122,197,140,0.6884240136395994
leu,100,3,4,58,210,192.04285714285714,279.4952380952381,183,273,202,287,0.6307116914660488
leu,100,3,4,59,91,191.74725274725276,395.86813186813185,187,391,199,402,0.4487955099136822
leu,100,3,4,60,234,201.37179487179486,385.3888888888889,194,376,210,396,0.6268644430343236
leu,100,3,4,61,252,205.31746031746033,408.86507936507934,198,399,214,420,0.643144023004107
leu,100,3,4,62,185,214.1081081081081,430.1189189189189,208,422,221,440,0.6980009007616107
leu,100,3,4,63,229,216.7117903930131,143.13973799126637,209,134,225,154,0.6218501288070293
leu,100,3,4,64,224,216.39732142857142,391.57589285714283,209,382,225,402,0.5156909748938137
