experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
leu,50,3,2,golgi,3,19,2,2,8,11,5,10,12,6
leu,50,3,2,golgi,3,20,1,1,8,11,11,9,12,12
leu,50,3,2,golgi,3,74,9,20,8,10,4,13,12,6
leu,50,3,2,golgi,3,75,1,1,11,11,12,12,12,13
leu,50,3,2,golgi,3,123,6,12,12,4,16,15,6,18
leu,50,3,2,golgi,3,169,6,12,14,4,16,17,6,18
leu,50,3,2,golgi,3,170,3,4,15,13,11,17,15,12
leu,50,3,2,golgi,3,220,4,6,15,13,13,18,14,15
leu,50,3,2,golgi,3,260,17,54,15,12,11,21,15,14
leu,50,3,2,golgi,3,309,16,36,20,12,10,24,15,13
leu,50,3,2,golgi,4,124,17,40,11,5,21,16,9,23
leu,50,3,2,golgi,4,357,6,8,22,17,13,26,18,15
leu,50,3,2,golgi,5,53,4,8,9,8,3,11,10,5
leu,50,3,2,golgi,5,54,2,2,10,12,13,12,13,14
leu,50,3,2,golgi,5,76,14,24,9,6,3,13,9,5
leu,50,3,2,golgi,5,103,4,6,11,12,12,13,15,13
leu,50,3,2,golgi,5,125,46,105,11,8,2,18,13,5
leu,50,3,2,golgi,5,146,11,24,12,13,3,16,15,6
leu,50,3,2,golgi,5,171,9,18,15,13,2,18,15,5
leu,50,3,2,golgi,6,243,4,8,17,13,15,19,15,17
leu,50,3,2,golgi,6,310,17,30,19,13,15,24,15,18
leu,50,3,2,golgi,6,415,4,6,26,6,12,29,7,14
leu,50,3,2,golgi,7,21,5,12,6,15,5,9,17,7
leu,50,3,2,golgi,7,22,1,1,8,17,7,9,18,8
leu,50,3,2,golgi,7,37,3,4,9,14,5,11,16,6
leu,50,3,2,golgi,7,77,1,1,11,18,8,12,19,9
leu,50,3,2,golgi,7,147,1,1,14,15,11,15,16,12
leu,50,3,2,golgi,7,148,3,4,14,17,7,16,19,8
leu,50,3,2,golgi,7,221,11,24,16,17,6,20,19,9
leu,50,3,2,golgi,7,358,1,1,23,14,16,24,15,17
leu,50,3,2,golgi,8,38,17,48,5,8,14,11,12,16
leu,50,3,2,golgi,8,55,1,1,10,5,4,11,6,5
leu,50,3,2,golgi,8,126,20,30,12,11,15,17,13,18
leu,50,3,2,golgi,8,375,2,2,23,4,10,25,5,11
leu,50,3,2,golgi,9,5,1,1,6,2,9,7,3,10
leu,50,3,2,golgi,9,198,2,2,16,17,7,18,18,8
leu,50,3,2,golgi,10,78,93,180,5,1,0,14,5,5
leu,50,3,2,golgi,10,149,84,120,12,1,0,18,5,5
leu,50,3,2,golgi,10,244,46,100,18,1,0,23,5,5
leu,50,3,2,golgi,12,39,9,24,6,1,13,12,3,15
leu,50,3,2,golgi,12,56,5,12,9,1,12,12,3,14
leu,50,3,2,golgi,12,79,2,2,11,1,12,12,2,14
leu,50,3,2,golgi,12,104,31,72,8,7,0,16,10,3
leu,50,3,2,golgi,12,127,37,63,9,17,10,16,20,13
leu,50,3,2,golgi,12,389,2,2,24,5,4,26,6,5
leu,50,3,2,golgi,12,404,10,12,25,5,3,31,6,5
leu,50,3,2,golgi,14,172,6,10,13,1,7,18,3,8
leu,50,3,2,golgi,14,376,2,2,23,11,6,25,12,7
leu,50,3,2,golgi,14,416,20,42,24,9,5,31,12,7
leu,50,3,2,golgi,14,440,2,2,29,9,4,31,10,5
leu,50,3,2,golgi,15,222,6,8,15,1,5,19,2,7
leu,50,3,2,golgi,16,245,15,54,15,3,3,21,6,6
leu,50,3,2,golgi,16,332,5,5,19,6,2,24,7,3
leu,50,3,2,golgi,18,12,11,24,5,10,6,9,12,9
leu,50,3,2,golgi,18,24,1,1,8,11,6,9,12,7
leu,50,3,2,golgi,18,25,19,28,5,12,9,12,14,11
leu,50,3,2,golgi,18,59,13,45,8,9,5,13,12,8
leu,50,3,2,golgi,18,80,4,4,11,11,5,13,12,7
leu,50,3,2,golgi,18,128,86,150,8,2,13,18,5,18
leu,50,3,2,golgi,18,199,20,36,13,5,1,19,8,3
leu,50,3,2,golgi,18,225,2,2,17,16,9,18,17,11
leu,50,3,2,golgi,18,261,20,48,17,2,12,21,5,16
leu,50,3,2,golgi,18,311,6,8,19,8,18,23,10,19
leu,50,3,2,golgi,18,359,2,2,22,8,17,24,9,18
leu,50,3,2,golgi,18,390,5,12,23,9,16,26,11,18
leu,50,3,2,golgi,18,405,1,1,26,11,16,27,12,17
leu,50,3,2,golgi,19,23,14,20,5,3,9,10,5,11
leu,50,3,2,golgi,19,58,7,12,9,3,9,12,5,11
leu,50,3,2,golgi,20,1,6,6,4,4,13,7,6,14
