experiment,condition,hour,field,organelle,idx-cell,idx-orga,volume-pixel,volume-bbox,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
leu,75,3,3,peroxisome,1,12,26,28,7,1,17,14,3,19
leu,75,3,3,peroxisome,1,31,29,54,8,1,22,14,4,25
leu,75,3,3,peroxisome,1,32,56,81,6,14,18,15,17,21
leu,75,3,3,peroxisome,1,109,45,99,7,35,4,18,38,7
leu,75,3,3,peroxisome,1,231,21,42,14,7,29,21,10,31
leu,75,3,3,peroxisome,1,276,26,72,15,21,7,23,24,10
leu,75,3,3,peroxisome,1,315,12,16,18,36,5,22,38,7
leu,75,3,3,peroxisome,1,354,26,54,20,9,10,29,12,12
leu,75,3,3,peroxisome,1,411,27,54,22,35,5,31,38,7
leu,75,3,3,peroxisome,1,431,21,54,22,15,17,28,18,20
leu,75,3,3,peroxisome,1,478,3,4,28,15,18,30,17,19
leu,75,3,3,peroxisome,1,501,5,8,29,15,17,31,17,19
leu,75,3,3,peroxisome,2,133,15,24,11,12,2,15,14,5
leu,75,3,3,peroxisome,2,185,13,16,14,12,2,18,14,4
leu,75,3,3,peroxisome,2,335,44,156,16,13,4,29,16,8
leu,75,3,3,peroxisome,2,388,2,2,23,4,2,25,5,3
leu,75,3,3,peroxisome,2,389,26,63,24,12,5,31,15,8
leu,75,3,3,peroxisome,2,452,1,1,27,4,1,28,5,2
leu,75,3,3,peroxisome,2,453,18,36,24,7,9,30,10,11
leu,75,3,3,peroxisome,2,515,2,2,30,8,9,31,9,11
leu,75,3,3,peroxisome,3,13,22,30,5,10,4,10,13,6
leu,75,3,3,peroxisome,3,33,42,72,7,15,10,15,18,13
leu,75,3,3,peroxisome,3,72,53,99,5,10,2,16,13,5
leu,75,3,3,peroxisome,3,73,36,72,8,10,16,16,13,19
leu,75,3,3,peroxisome,3,74,89,240,5,12,13,17,16,18
leu,75,3,3,peroxisome,3,104,39,120,6,0,10,16,3,14
leu,75,3,3,peroxisome,3,184,9,15,14,0,9,19,1,12
leu,75,3,3,peroxisome,3,275,5,5,18,0,7,23,1,8
leu,75,3,3,peroxisome,3,477,32,72,23,0,11,31,3,14
leu,75,3,3,peroxisome,4,108,44,88,7,17,0,18,19,4
leu,75,3,3,peroxisome,4,211,62,120,11,6,7,21,9,11
leu,75,3,3,peroxisome,5,15,13,24,8,14,14,12,16,17
leu,75,3,3,peroxisome,5,36,8,18,10,14,14,13,16,17
leu,75,3,3,peroxisome,5,38,4,4,9,16,5,11,17,7
leu,75,3,3,peroxisome,5,75,47,81,7,0,6,16,3,9
leu,75,3,3,peroxisome,5,77,25,63,7,6,0,14,9,3
leu,75,3,3,peroxisome,5,79,5,6,10,15,5,13,17,6
leu,75,3,3,peroxisome,5,136,3,4,13,14,15,15,16,16
leu,75,3,3,peroxisome,5,277,1,1,19,0,8,20,1,9
leu,75,3,3,peroxisome,5,355,14,28,19,0,8,26,2,10
leu,75,3,3,peroxisome,5,356,68,224,17,3,0,31,7,4
leu,75,3,3,peroxisome,5,432,4,4,26,0,8,28,1,10
leu,75,3,3,peroxisome,6,14,2,2,8,4,7,10,5,8
leu,75,3,3,peroxisome,6,76,9,18,10,5,5,13,7,8
leu,75,3,3,peroxisome,6,105,2,2,12,4,7,13,5,9
leu,75,3,3,peroxisome,6,253,133,350,12,4,2,26,9,7
leu,75,3,3,peroxisome,7,298,31,54,16,3,2,25,5,5
leu,75,3,3,peroxisome,8,134,46,90,9,4,19,19,7,22
leu,75,3,3,peroxisome,8,188,3,3,12,24,7,15,25,8
leu,75,3,3,peroxisome,8,280,5,6,19,24,7,22,25,9
leu,75,3,3,peroxisome,8,482,5,6,27,14,13,30,16,14
leu,75,3,3,peroxisome,8,517,5,5,26,12,2,31,13,3
leu,75,3,3,peroxisome,8,518,24,72,23,13,5,31,16,8
leu,75,3,3,peroxisome,9,34,10,18,9,2,10,12,4,13
leu,75,3,3,peroxisome,9,37,12,27,9,9,4,12,12,7
leu,75,3,3,peroxisome,9,78,3,4,11,10,3,12,12,5
leu,75,3,3,peroxisome,9,106,16,60,11,1,11,16,5,14
leu,75,3,3,peroxisome,9,107,61,200,8,3,1,18,7,6
leu,75,3,3,peroxisome,9,110,16,48,11,8,2,15,12,5
leu,75,3,3,peroxisome,9,162,3,4,14,7,3,15,9,5
leu,75,3,3,peroxisome,9,214,31,60,14,1,5,19,4,9
leu,75,3,3,peroxisome,9,232,5,8,16,4,13,18,6,15
leu,75,3,3,peroxisome,9,252,13,27,17,0,8,20,3,11
leu,75,3,3,peroxisome,9,256,16,27,17,9,14,20,12,17
leu,75,3,3,peroxisome,9,257,21,45,16,11,3,21,14,6
leu,75,3,3,peroxisome,9,299,2,2,20,2,12,21,3,14
leu,75,3,3,peroxisome,9,300,20,48,19,5,3,23,8,7
leu,75,3,3,peroxisome,9,314,8,16,20,1,11,24,3,13
leu,75,3,3,peroxisome,9,316,13,30,19,10,3,24,13,5
leu,75,3,3,peroxisome,9,338,19,45,19,9,15,24,12,18
leu,75,3,3,peroxisome,9,358,3,4,23,1,11,25,3,12
leu,75,3,3,peroxisome,9,359,11,36,22,9,14,25,13,17
leu,75,3,3,peroxisome,9,360,9,27,22,12,4,25,15,7
leu,75,3,3,peroxisome,9,391,11,27,23,7,14,26,10,17
leu,75,3,3,peroxisome,9,392,1,1,24,14,5,25,15,6
leu,75,3,3,peroxisome,9,410,7,12,24,4,3,26,6,6
leu,75,3,3,peroxisome,9,433,13,36,24,1,10,28,4,13
leu,75,3,3,peroxisome,9,435,11,24,24,12,4,28,15,6
leu,75,3,3,peroxisome,9,457,18,63,24,9,6,31,12,9
leu,75,3,3,peroxisome,9,483,14,36,27,12,3,31,15,6
leu,75,3,3,peroxisome,9,502,14,32,27,1,9,31,3,13
leu,75,3,3,peroxisome,9,516,2,2,30,9,7,31,10,9
leu,75,3,3,peroxisome,10,39,4,4,9,10,9,13,11,10
leu,75,3,3,peroxisome,10,40,34,72,7,13,6,13,16,10
leu,75,3,3,peroxisome,10,41,5,6,9,15,4,12,16,6
leu,75,3,3,peroxisome,10,109,24,40,7,4,15,17,5,19
leu,75,3,3,peroxisome,10,254,1,1,14,1,10,15,2,11
leu,75,3,3,peroxisome,10,411,8,18,24,4,16,30,5,19
leu,75,3,3,peroxisome,11,35,25,54,7,2,8,13,5,11
leu,75,3,3,peroxisome,11,43,45,96,7,15,12,15,18,16
leu,75,3,3,peroxisome,11,108,9,48,9,0,10,13,3,14
leu,75,3,3,peroxisome,11,139,26,54,10,16,5,16,19,8
leu,75,3,3,peroxisome,11,255,33,99,15,2,15,26,5,18
leu,75,3,3,peroxisome,11,281,21,39,14,20,15,27,23,16
leu,75,3,3,peroxisome,11,339,16,16,21,18,7,25,20,9
leu,75,3,3,peroxisome,11,455,24,48,23,2,12,31,4,15
leu,75,3,3,peroxisome,12,1,2,2,8,3,10,10,4,11
leu,75,3,3,peroxisome,12,135,29,54,9,1,3,18,3,6
leu,75,3,3,peroxisome,12,137,3,3,11,12,3,14,13,4
leu,75,3,3,peroxisome,12,187,73,240,10,8,0,22,13,4
leu,75,3,3,peroxisome,12,279,25,45,17,7,19,22,10,22
leu,75,3,3,peroxisome,12,317,4,6,20,14,6,23,16,7
leu,75,3,3,peroxisome,12,361,24,54,22,7,19,28,10,22
leu,75,3,3,peroxisome,12,362,1,1,23,13,17,24,14,18
leu,75,3,3,peroxisome,12,434,9,20,24,1,5,29,3,7
leu,75,3,3,peroxisome,12,456,2,2,27,1,5,29,2,6
leu,75,3,3,peroxisome,12,481,15,36,25,2,6,31,4,9
leu,75,3,3,peroxisome,13,42,5,8,8,13,7,12,15,8
leu,75,3,3,peroxisome,13,365,115,224,17,19,9,31,23,13
leu,75,3,3,peroxisome,13,484,13,20,26,17,12,31,19,14
leu,75,3,3,peroxisome,13,519,2,2,29,13,10,31,14,11
leu,75,3,3,peroxisome,14,111,25,48,10,7,2,14,11,5
leu,75,3,3,peroxisome,14,258,83,220,13,8,2,24,12,7
leu,75,3,3,peroxisome,14,363,1,1,23,8,3,24,9,4
leu,75,3,3,peroxisome,15,259,78,208,11,12,8,24,16,12
leu,75,3,3,peroxisome,15,364,28,81,20,6,0,29,9,3
leu,75,3,3,peroxisome,15,366,20,36,23,12,8,27,15,11
leu,75,3,3,peroxisome,16,2,5,6,6,12,6,9,13,8
leu,75,3,3,peroxisome,16,16,26,63,6,5,10,13,8,13
leu,75,3,3,peroxisome,16,45,11,24,6,11,5,12,13,7
leu,75,3,3,peroxisome,16,138,5,5,10,1,5,15,2,6
leu,75,3,3,peroxisome,16,282,52,112,11,9,0,25,13,2
leu,75,3,3,peroxisome,16,340,27,63,18,13,16,25,16,19
leu,75,3,3,peroxisome,16,413,7,12,24,13,16,27,15,18
leu,75,3,3,peroxisome,16,436,3,3,24,6,10,27,7,11
leu,75,3,3,peroxisome,16,459,47,144,22,10,14,31,14,18
leu,75,3,3,peroxisome,16,485,16,28,24,6,10,31,8,12
leu,75,3,3,peroxisome,16,487,30,72,23,16,8,31,19,11
leu,75,3,3,peroxisome,17,17,7,8,8,7,18,12,8,20
leu,75,3,3,peroxisome,17,44,88,240,5,5,8,17,9,13
leu,75,3,3,peroxisome,17,80,271,648,3,9,3,21,15,9
